训练实验,留出实验,训练E_MPa,留出E独立拟合_MPa,E迁移虚功RMSE_N,E迁移相对RMSE,E留出观测数,阶段2训练点数,阶段2留出点数,训练Y_MPa,训练H_MPa,阶段2迁移RMSE_MPa,状态,备注
S16_XY_0.2,S15_XY_0.2,3410.4231892442936,3536.4456959127488,75.57085045627487,0.19104395161625395,96,222,258,39.49256659103651,156.39344708256243,11.101862386118986,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S17_XY_20,S15_XY_0.2,4997.673918545973,3536.4456959127488,176.89345533293155,0.4471886252148233,96,0,258,,,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S18_XY_2,S15_XY_0.2,4605.755779963847,3536.4456959127488,138.99840806284226,0.35138952366373744,96,93,258,43.77022296985942,632.2712836702859,52.81713518835412,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S15_XY_0.2,S16_XY_0.2,3536.4456959127488,3410.4231892442936,32.02496911144366,0.08839416465790255,82,258,222,34.0550813176409,154.56311626634022,9.261939887382077,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S17_XY_20,S16_XY_0.2,4997.673918545973,3410.4231892442936,170.57482975983808,0.4708144927732962,82,0,222,,,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S18_XY_2,S16_XY_0.2,4605.755779963847,3410.4231892442936,129.87723216378762,0.35848245177841964,82,93,222,43.77022296985942,632.2712836702859,41.63248896184323,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S15_XY_0.2,S17_XY_20,3536.4456959127488,4997.673918545973,190.5673060693506,0.30340055555069706,8,258,0,34.0550813176409,154.56311626634022,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S16_XY_0.2,S17_XY_20,3410.4231892442936,4997.673918545973,205.76815208414706,0.32760169068167005,8,222,0,39.49256659103651,156.39344708256243,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S18_XY_2,S17_XY_20,4605.755779963847,4997.673918545973,72.39324731821017,0.11525666132086086,8,93,0,43.77022296985942,632.2712836702859,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S15_XY_0.2,S18_XY_2,3536.4456959127488,4605.755779963847,119.20171656789914,0.23321599716523317,66,258,93,34.0550813176409,154.56311626634022,16.499201531801074,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S16_XY_0.2,S18_XY_2,3410.4231892442936,4605.755779963847,133.12395300171184,0.2604546003176659,66,222,93,39.49256659103651,156.39344708256243,11.721620512615317,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S17_XY_20,S18_XY_2,4997.673918545973,4605.755779963847,45.00340584199349,0.08804834755289605,66,0,93,,,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S20_X_2,S19_X_0.2,17600.491867687673,5389.402870585776,362.5261212520992,2.2648422994566277,24,35,112,41.73617104052888,18526.974314099192,25.22978635790758,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S21_X_20,S19_X_0.2,16912.331255071265,5389.402870585776,342.099944359287,2.137231992968246,24,0,112,,,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S19_X_0.2,S20_X_2,5389.402870585776,17600.491867687673,286.304928461221,0.6986093434738861,27,112,35,8.942001750993953,23357.944451920375,20.907308560713435,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S21_X_20,S20_X_2,16912.331255071265,17600.491867687673,49.247760296859425,0.12016889011817451,27,0,35,,,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S19_X_0.2,S21_X_20,5389.402870585776,16912.331255071265,302.43532264352933,0.6837216845435179,17,112,0,8.942001750993953,23357.944451920375,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S20_X_2,S21_X_20,17600.491867687673,16912.331255071265,38.894330054958175,0.08792920295130924,17,35,0,41.73617104052888,18526.974314099192,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
