实验编号,状态,配对JPG-DAT数,有效帧数,起始照片,结束照片,DIC标定/mm/pixel,DAT标定/mm/pixel,ROI,DAT点数,DAT<18>记录数,DAT<53>记录数,Job变形图数,Job覆盖有效帧,Job缺少有效帧数,DAT可用全场帧,DAT不可用帧,DAT质量审计,帧力索引,DIC元数据,原始Job,备注
S15_XY_0.2,VFM_READY,286,284,000001.jpg,000284.jpg,0.087464,0.087464,0;2;False;395;413;329;329;388;406;0;525;585;13;13;13;1;5,100491,100491,100491,285,完整,0,284,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S15_XY_0.2_DAT逐帧质量审计.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S15_XY_0.2_帧—力—时间索引.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S15_XY_0.2_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S15_XY_0.2\Job.m2inp,"配置排除帧：000285.jpg；000285.jpg 为视觉断裂帧，但同名 DAT 仅约 5,277 点，显著低于前序约 98,000 点完整场；保留原始 JPG/DAT，正式 DIC/VFM 使用 000284.jpg 作为最后完整场帧。；DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。"
S16_XY_0.2,VFM_READY,258,257,000001.jpg,000257.jpg,0.087209,0.087209,0;2;False;402;410;312;320;402;410;0;548;547;15;15;15;3;5,10098,10098,10098,258,完整,0,257,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2_DAT逐帧质量审计.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2_帧—力—时间索引.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\Job.m2inp,DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。
S17_XY_20,VFM_READY,20,12,000003.jpg,000014.jpg,0.087464,0.087464,0;2;False;393;409;316;321;393;409;0;546;562;15;15;15;3;5,10403,10403,10403,20,完整,0,12,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20_DAT逐帧质量审计.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20_帧—力—时间索引.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\Job.m2inp,DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。
S18_XY_2,VFM_READY,249,126,000003.jpg,000128.jpg,0.087464,0.087464,0;2;False;403;425;301;306;392;417;0;541;567;15;15;15;3;5,9314,9314,9314,249,完整,0,126,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2_DAT逐帧质量审计.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2_帧—力—时间索引.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S18_XY_2\Job.m2inp,DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。
S19_X_0.2,VFM_READY,128,126,000002.jpg,000127.jpg,0.084746,0.084746,0;2;False;461;184;136;777;0;0;0;507;487;15;15;15;3;5,9144,9144,9144,128,完整,0,126,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2_DAT逐帧质量审计.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2_帧—力—时间索引.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\Job.m2inp,DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。
S20_X_2,VFM_READY,133,63,000005.jpg,000067.jpg,0.084034,0.084034,0;2;False;471;221;121;709;0;0;0;512;498;15;15;15;3;5,7936,7936,7936,132,完整,0,63,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2_DAT逐帧质量审计.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2_帧—力—时间索引.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\Job.m2inp,DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。
S21_X_20,VFM_READY,80,36,000010.jpg,000045.jpg,0.087716,0.087716,0;2;False;458;238;144;689;0;0;0;509;507;15;15;15;3;5,7771,7771,7771,80,完整,0,36,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20_DAT逐帧质量审计.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20_帧—力—时间索引.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S21_X_20\Job.m2inp,DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。
S22_Y_0.2,VFM_READY,233,223,000008.jpg,001784.jpg,0.083333,0.083333,0;2;False;547;291;122;532;0;0;0;637;565;15;15;15;3;5,6168,6168,6168,224,完整,0,223,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2_DAT逐帧质量审计.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2_帧—力—时间索引.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\Job.m2inp,"配置排除帧：000002.jpg, 000003.jpg, 000004.jpg, 000005.jpg, 000006.jpg, 000007.jpg, 000009.jpg, 000010.jpg；DAT 质量审计确认这些帧含 <18> 位移记录但没有 <53> 应变记录，不能进入完整 DIC/VFM 场；原始 JPG/DAT 保留不改。；DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。"
S23_Y_2,DATA_LIMITED,194,191,000008.jpg,001528.jpg,0.082645,0.082645,0;2;False;541;316;127;546;0;0;0;584;527;15;15;15;3;5,6380,6380,6380,194,完整,0,191,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S23_Y_2_DAT逐帧质量审计.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S23_Y_2_帧—力—时间索引.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S23_Y_2_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\Job.m2inp,DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。
S24_Y_20,PRELOAD_RELEASE_ONLY,157,UNKNOWN,UNKNOWN,UNKNOWN,0.083333,0.083333,0;2;False;541;259;122;616;0;0;0;560;479;15;15;15;3;5,7064,7064,7064,175,不完整,0,0,0,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S24_Y_20_DAT逐帧质量审计.csv,未生成,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S24_Y_20_DIC元数据.json,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S24_Y_20\Job.m2inp,DAT逐字段映射已由同版本 Results Viewer 与同帧 DAT 交叉验证；不是官方 DAT 格式文档。
