frame_index,photo,time_role,photo_time_s,Boundary0_X2_N,Boundary1_Y2_N,Boundary2_Y1_N,Boundary3_X1_N
0,000000.jpg,reference,,0.000000,0.000000,0.000000,0.000000
1,000001.jpg,synchronized,0.105000000000,0.000000,0.000000,0.000000,0.000000
2,000002.jpg,synchronized,0.205014084507,18.000000,16.960000,18.700000,16.360000
3,000003.jpg,synchronized,0.305028169014,31.000000,30.960000,31.700000,30.360000
4,000004.jpg,synchronized,0.405042253521,46.000000,43.960000,44.700000,43.360000
5,000005.jpg,synchronized,0.505056338028,60.000000,58.960000,59.700000,57.360000
6,000006.jpg,synchronized,0.605070422535,75.000000,72.960000,73.700000,72.360000
7,000007.jpg,synchronized,0.705084507042,88.000000,85.960000,87.700000,86.360000
8,000008.jpg,synchronized,0.805098591549,103.000000,100.960000,102.700000,100.360000
9,000009.jpg,synchronized,0.905112676056,118.112676,115.185352,117.812676,115.472676
10,000010.jpg,synchronized,1.005126760563,134.000000,131.960000,133.700000,130.360000
11,000011.jpg,synchronized,1.105140845070,149.000000,144.960000,146.700000,144.360000
12,000012.jpg,synchronized,1.205154929577,162.000000,159.960000,161.700000,157.360000
13,000013.jpg,synchronized,1.305169014085,176.000000,172.960000,175.700000,171.360000
14,000014.jpg,synchronized,1.405183098592,191.000000,187.960000,190.700000,185.360000
15,000015.jpg,synchronized,1.505197183099,205.000000,201.960000,204.700000,199.360000
16,000016.jpg,synchronized,1.605211267606,219.000000,216.960000,219.700000,213.360000
17,000017.jpg,synchronized,1.705225352113,234.000000,229.960000,233.700000,227.360000
18,000018.jpg,synchronized,1.805239436620,247.000000,244.960000,246.700000,242.360000
19,000019.jpg,synchronized,1.905253521127,262.000000,257.960000,261.700000,255.360000
20,000020.jpg,synchronized,2.005267605634,275.535211,272.227606,275.235211,270.627606
21,000021.jpg,synchronized,2.105281690141,290.000000,287.960000,291.700000,284.360000
22,000022.jpg,synchronized,2.205295774648,304.000000,301.960000,305.700000,298.360000
23,000023.jpg,synchronized,2.305309859155,319.000000,314.960000,318.700000,312.360000
24,000024.jpg,synchronized,2.405323943662,332.000000,328.960000,332.700000,324.360000
25,000025.jpg,synchronized,2.505338028169,346.000000,341.960000,345.700000,337.360000
26,000026.jpg,synchronized,2.605352112676,360.000000,355.960000,359.700000,351.360000
27,000027.jpg,synchronized,2.705366197183,374.000000,368.960000,373.700000,365.360000
28,000028.jpg,synchronized,2.805380281690,387.000000,382.960000,386.700000,379.360000
29,000029.jpg,synchronized,2.905394366197,400.000000,395.960000,400.700000,392.360000
30,000030.jpg,synchronized,3.005408450704,414.000000,409.960000,414.700000,406.360000
31,000031.jpg,synchronized,3.105422535211,430.000000,425.960000,430.700000,422.360000
32,000032.jpg,synchronized,3.205436619718,443.000000,437.960000,442.700000,435.360000
33,000033.jpg,synchronized,3.305450704225,456.000000,451.960000,456.700000,447.360000
34,000034.jpg,synchronized,3.405464788732,470.000000,463.960000,470.700000,460.360000
35,000035.jpg,synchronized,3.505478873239,484.000000,477.960000,482.700000,474.360000
36,000036.jpg,synchronized,3.605492957746,497.000000,490.960000,495.700000,486.360000
37,000037.jpg,synchronized,3.705507042254,510.000000,503.960000,509.700000,499.360000
38,000038.jpg,synchronized,3.805521126761,523.000000,517.960000,522.700000,512.360000
39,000039.jpg,synchronized,3.905535211268,537.000000,529.960000,535.700000,526.360000
40,000040.jpg,synchronized,4.005549295775,550.000000,541.960000,548.700000,539.360000
41,000041.jpg,synchronized,4.105563380282,563.563380,556.086761,562.826761,554.050141
42,000042.jpg,synchronized,4.205577464789,577.000000,570.960000,577.700000,568.360000
43,000043.jpg,synchronized,4.305591549296,591.000000,582.960000,589.700000,581.360000
44,000044.jpg,synchronized,4.405605633803,604.000000,595.960000,602.700000,593.360000
45,000045.jpg,synchronized,4.505619718310,617.000000,608.960000,615.700000,605.360000
46,000046.jpg,synchronized,4.605633802817,630.000000,621.960000,628.700000,618.360000
47,000047.jpg,synchronized,4.705647887324,643.000000,634.960000,641.700000,630.360000
48,000048.jpg,synchronized,4.805661971831,655.000000,646.960000,654.700000,642.360000
49,000049.jpg,synchronized,4.905676056338,668.000000,659.960000,666.700000,655.360000
50,000050.jpg,synchronized,5.005690140845,681.000000,672.960000,679.700000,668.360000
51,000051.jpg,synchronized,5.105704225352,693.000000,685.960000,692.700000,681.360000
52,000052.jpg,synchronized,5.205718309859,706.718310,698.396620,706.136620,696.514930
53,000053.jpg,synchronized,5.305732394366,719.000000,710.960000,719.700000,709.360000
54,000054.jpg,synchronized,5.405746478873,733.000000,724.960000,732.700000,721.360000
55,000055.jpg,synchronized,5.505760563380,745.000000,735.960000,744.700000,733.360000
56,000056.jpg,synchronized,5.605774647887,758.000000,748.960000,756.700000,745.360000
57,000057.jpg,synchronized,5.705788732394,770.000000,760.960000,769.700000,757.360000
58,000058.jpg,synchronized,5.805802816901,782.000000,772.960000,781.700000,768.360000
59,000059.jpg,synchronized,5.905816901408,794.000000,785.960000,794.700000,780.360000
