照片,时间/s,X向力/N,Y向力/N
000001.jpg,0.105,0,0
000002.jpg,0.205,17.18,17.83
000003.jpg,0.305,30.68,31.33
000004.jpg,0.405,44.68,44.33
000005.jpg,0.5051,58.68,59.33
000006.jpg,0.6051,73.68,73.33
000007.jpg,0.7051,87.18,86.83
000008.jpg,0.8051,101.68,101.83
000009.jpg,0.9051,116.792676,116.499014
000010.jpg,1.0051,132.18,132.83
000011.jpg,1.1051,146.68,145.83
000012.jpg,1.2052,159.68,160.83
000013.jpg,1.3052,173.68,174.33
000014.jpg,1.4052,188.18,189.33
000015.jpg,1.5052,202.18,203.33
000016.jpg,1.6052,216.18,218.33
000017.jpg,1.7052,230.68,231.83
000018.jpg,1.8052,244.68,245.83
000019.jpg,1.9053,258.68,259.83
000020.jpg,2.0053,273.081408,273.731408
000021.jpg,2.1053,287.18,289.83
000022.jpg,2.2053,301.18,303.83
000023.jpg,2.3053,315.68,316.83
000024.jpg,2.4053,328.18,330.83
000025.jpg,2.5053,341.68,343.83
000026.jpg,2.6054,355.68,357.83
000027.jpg,2.7054,369.68,371.33
000028.jpg,2.8054,383.18,384.83
000029.jpg,2.9054,396.18,398.33
000030.jpg,3.0054,410.18,412.33
000031.jpg,3.1054,426.18,428.33
000032.jpg,3.2054,439.18,440.33
000033.jpg,3.3055,451.68,454.33
000034.jpg,3.4055,465.18,467.33
000035.jpg,3.5055,479.18,480.33
000036.jpg,3.6055,491.68,493.33
000037.jpg,3.7055,504.68,506.83
000038.jpg,3.8055,517.68,520.33
000039.jpg,3.9055,531.68,532.83
000040.jpg,4.0055,544.68,545.33
000041.jpg,4.1056,558.806761,559.456761
000042.jpg,4.2056,572.68,574.33
000043.jpg,4.3056,586.18,586.33
000044.jpg,4.4056,598.68,599.33
000045.jpg,4.5056,611.18,612.33
000046.jpg,4.6056,624.18,625.33
000047.jpg,4.7056,636.68,638.33
000048.jpg,4.8057,648.68,650.83
000049.jpg,4.9057,661.68,663.33
000050.jpg,5.0057,674.68,676.33
000051.jpg,5.1057,687.18,689.33
000052.jpg,5.2057,701.61662,702.26662
000053.jpg,5.3057,714.18,715.33
000054.jpg,5.4057,727.18,728.83
000055.jpg,5.5058,739.18,740.33
000056.jpg,5.6058,751.68,752.83
000057.jpg,5.7058,763.68,765.33
000058.jpg,5.8058,775.18,777.33
000059.jpg,5.9058,787.18,790.33
000060.jpg,6.0058,799.18,802.33
000061.jpg,6.1058,811.68,814.33
000062.jpg,6.2059,823.68,826.33
000063.jpg,6.3059,837.863099,839.576479
000064.jpg,6.4059,850.18,851.83
000065.jpg,6.5059,861.18,863.83
000066.jpg,6.6059,872.18,875.83
000067.jpg,6.7059,884.68,888.33
000068.jpg,6.8059,895.18,899.33
000069.jpg,6.906,907.18,910.83
000070.jpg,7.006,918.18,921.83
000071.jpg,7.106,928.68,934.33
000072.jpg,7.206,941.18,946.33
000073.jpg,7.306,952.215211,956.351127
000074.jpg,7.406,964.68,969.83
000075.jpg,7.506,975.68,981.83
000076.jpg,7.6061,986.68,992.83
000077.jpg,7.7061,998.18,1002.83
000078.jpg,7.8061,1008.18,1014.33
000079.jpg,7.9061,1018.68,1025.83
000080.jpg,8.0061,1029.68,1036.83
000081.jpg,8.1061,1040.18,1047.33
000082.jpg,8.2061,1050.68,1058.33
000083.jpg,8.3062,1060.68,1068.33
000084.jpg,8.4062,1072.018028,1079.083521
000085.jpg,8.5062,1084.18,1091.33
000086.jpg,8.6062,1094.18,1100.83
000087.jpg,8.7062,1103.18,1111.83
000088.jpg,8.8062,1113.18,1121.83
000089.jpg,8.9062,1123.18,1131.83
000090.jpg,9.0063,1132.68,1140.83
000091.jpg,9.1063,1142.68,1151.33
000092.jpg,9.2063,1152.18,1161.83
000093.jpg,9.3063,1161.68,1170.33
000094.jpg,9.4063,1170.68,1180.33
000095.jpg,9.5063,1180.165915,1190.153944
000096.jpg,9.6063,1191.18,1201.33
000097.jpg,9.7064,1200.18,1209.83
000098.jpg,9.8064,1209.18,1219.33
000099.jpg,9.9064,1218.18,1227.83
000100.jpg,10.0064,1226.18,1236.83
000101.jpg,10.1064,1235.68,1245.33
000102.jpg,10.2064,1243.68,1253.83
000103.jpg,10.3064,1252.18,1263.33
000104.jpg,10.4065,1260.18,1271.33
000105.jpg,10.5065,1268.18,1279.33
000106.jpg,10.6065,1276.637746,1287.808873
000107.jpg,10.7065,1286.18,1296.33
000108.jpg,10.8065,1293.68,1303.83
000109.jpg,10.9065,1301.18,1311.83
000110.jpg,11.0065,1309.18,1319.33
000111.jpg,11.1065,1315.68,1326.33
000112.jpg,11.2066,1322.18,1333.33
000113.jpg,11.3066,1329.68,1340.83
000114.jpg,11.4066,1336.68,1347.33
000115.jpg,11.5066,1343.18,1354.33
000116.jpg,11.6066,1349.68,1360.33
000117.jpg,11.7066,1356.630704,1367.963803
000118.jpg,11.8066,1363.18,1373.33
000119.jpg,11.9067,1369.68,1378.83
000120.jpg,12.0067,1375.18,1384.33
000121.jpg,12.1067,1380.18,1390.33
000122.jpg,12.2067,1385.68,1395.33
000123.jpg,12.3067,1390.68,1400.33
000124.jpg,12.4067,1395.18,1404.33
000125.jpg,12.5067,1400.18,1409.33
000126.jpg,12.6068,1404.18,1413.33
000127.jpg,12.7068,1408.68,1417.33
000128.jpg,12.8068,1412.468732,1421.33
000129.jpg,12.9068,1416.68,1425.33
000130.jpg,13.0068,1420.18,1428.33
000131.jpg,13.1068,1424.18,1430.83
000132.jpg,13.2068,1427.18,1434.33
000133.jpg,13.3069,1429.18,1436.33
000134.jpg,13.4069,1432.18,1439.33
000135.jpg,13.5069,1434.68,1441.83
000136.jpg,13.6069,1436.68,1443.33
000137.jpg,13.7069,1438.68,1445.33
000138.jpg,13.8069,1440.18,1447.33
000139.jpg,13.9069,1443.623662,1448.33
000140.jpg,14.007,1444.68,1450.83
000141.jpg,14.107,1446.18,1451.33
000142.jpg,14.207,1447.68,1453.33
000143.jpg,14.307,1449.68,1454.33
000144.jpg,14.407,1450.18,1454.33
000145.jpg,14.507,1451.18,1456.33
000146.jpg,14.607,1452.18,1457.33
000147.jpg,14.7071,1454.18,1458.33
000148.jpg,14.8071,1454.68,1459.33
000149.jpg,14.9071,1455.637746,1459.83
000150.jpg,15.0071,1455.68,1460.83
000151.jpg,15.1071,1457.68,1461.83
000152.jpg,15.2071,1459.18,1462.83
000153.jpg,15.3071,1459.68,1463.33
000154.jpg,15.4072,1460.68,1464.33
000155.jpg,15.5072,1461.68,1464.83
000156.jpg,15.6072,1462.68,1465.33
000157.jpg,15.7072,1463.18,1466.33
000158.jpg,15.8072,1464.18,1466.83
000159.jpg,15.9072,1464.68,1467.83
000160.jpg,16.0072,1465.560282,1468.449718
000161.jpg,16.1073,1466.18,1469.33
000162.jpg,16.2073,1466.68,1470.33
000163.jpg,16.3073,1468.68,1471.33
000164.jpg,16.4073,1470.18,1472.33
000165.jpg,16.5073,1471.18,1473.33
000166.jpg,16.6073,1472.18,1474.33
000167.jpg,16.7073,1473.18,1475.83
000168.jpg,16.8074,1474.68,1476.83
000169.jpg,16.9074,1475.68,1477.33
000170.jpg,17.0074,1476.18,1478.83
000171.jpg,17.1074,1477.18,1480.83
000172.jpg,17.2074,1478.68,1480.83
000173.jpg,17.3074,1480.68,1481.83
000174.jpg,17.4074,1481.68,1483.83
000175.jpg,17.5075,1482.68,1484.83
000176.jpg,17.6075,1484.68,1485.83
000177.jpg,17.7075,1485.68,1487.33
000178.jpg,17.8075,1487.18,1488.33
000179.jpg,17.9075,1488.68,1490.33
000180.jpg,18.0075,1490.18,1491.83
000181.jpg,18.1075,1491.68,1492.33
000182.jpg,18.2075,1492.405352,1493.83
000183.jpg,18.3076,1493.68,1495.83
000184.jpg,18.4076,1495.18,1496.83
000185.jpg,18.5076,1497.68,1498.33
000186.jpg,18.6076,1498.68,1499.83
000187.jpg,18.7076,1500.18,1501.33
000188.jpg,18.8076,1502.18,1503.33
000189.jpg,18.9076,1503.68,1504.33
000190.jpg,19.0077,1505.68,1505.33
000191.jpg,19.1077,1506.18,1506.33
000192.jpg,19.2077,1508.18,1508.33
000193.jpg,19.3077,1509.475775,1509.977887
000194.jpg,19.4077,1510.68,1511.83
000195.jpg,19.5077,1512.18,1512.83
000196.jpg,19.6077,1513.68,1513.83
000197.jpg,19.7078,1515.68,1515.83
000198.jpg,19.8078,1516.68,1517.33
000199.jpg,19.9078,1518.68,1518.83
000200.jpg,20.0078,1520.18,1519.83
000201.jpg,20.1078,1522.68,1521.83
000202.jpg,20.2078,1523.18,1523.33
000203.jpg,20.3078,1524.18,1524.83
000204.jpg,20.4079,1525.320845,1525.900423
000205.jpg,20.5079,1527.18,1527.33
000206.jpg,20.6079,1529.18,1528.33
000207.jpg,20.7079,1530.18,1529.83
000208.jpg,20.8079,1531.18,1531.33
000209.jpg,20.9079,1533.18,1532.83
000210.jpg,21.0079,1534.68,1533.83
000211.jpg,21.108,1535.68,1535.33
000212.jpg,21.208,1537.68,1536.83
000213.jpg,21.308,1538.68,1538.33
000214.jpg,21.408,1540.18,1539.33
000215.jpg,21.508,1540.18,1540.83
000216.jpg,21.608,1542.18,1542.33
000217.jpg,21.708,1543.18,1543.83
000218.jpg,21.8081,1545.18,1544.83
000219.jpg,21.9081,1546.18,1545.83
000220.jpg,22.0081,1547.68,1546.83
000221.jpg,22.1081,1548.68,1548.83
000222.jpg,22.2081,1550.18,1550.83
000223.jpg,22.3081,1552.18,1551.33
000224.jpg,22.4081,1552.539155,1552.33
000225.jpg,22.5082,1553.18,1553.83
000226.jpg,22.6082,1554.68,1555.33
000227.jpg,22.7082,1556.18,1556.33
000228.jpg,22.8082,1557.18,1557.83
000229.jpg,22.9082,1558.68,1559.33
000230.jpg,23.0082,1560.18,1559.83
000231.jpg,23.1082,1561.18,1561.33
000232.jpg,23.2083,1562.68,1561.83
000233.jpg,23.3083,1563.68,1563.83
000234.jpg,23.4083,1565.18,1565.33
000235.jpg,23.5083,1566.532113,1565.83
000236.jpg,23.6083,1567.18,1566.83
000237.jpg,23.7083,1568.18,1568.33
000238.jpg,23.8083,1569.68,1569.33
000239.jpg,23.9084,1570.68,1570.83
000240.jpg,24.0084,1571.18,1570.83
000241.jpg,24.1084,1572.68,1572.83
000242.jpg,24.2084,1574.18,1573.33
000243.jpg,24.3084,1575.68,1574.83
000244.jpg,24.4084,1576.18,1575.83
000245.jpg,24.5084,1577.18,1577.33
