照片,时间/s,X向力/N,Y向力/N,DIC导出文件,合并文件,点数,状态
000001.jpg,0.1020,0.000000,0.000000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000001.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000001_DIC全场—力.csv,10098,READY
000002.jpg,0.2025,19.335625,18.275625,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000002.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000002_DIC全场—力.csv,10098,READY
000003.jpg,0.3030,34.820000,34.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000003.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000003_DIC全场—力.csv,10098,READY
000004.jpg,0.4035,50.820000,49.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000004.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000004_DIC全场—力.csv,10098,READY
000005.jpg,0.5041,66.820000,65.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000005.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000005_DIC全场—力.csv,10098,READY
000006.jpg,0.6046,81.820000,79.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000006.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000006_DIC全场—力.csv,10098,READY
000007.jpg,0.7051,97.320000,94.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000007.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000007_DIC全场—力.csv,10098,READY
000008.jpg,0.8056,112.320000,110.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000008.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000008_DIC全场—力.csv,10098,READY
000009.jpg,0.9061,128.445000,125.447500,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000009.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000009_DIC全场—力.csv,10098,READY
000010.jpg,1.0066,144.820000,141.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000010.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000010_DIC全场—力.csv,10098,READY
000011.jpg,1.1072,159.320000,156.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000011.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000011_DIC全场—力.csv,10098,READY
000012.jpg,1.2077,173.820000,172.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000012.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000012_DIC全场—力.csv,10098,READY
000013.jpg,1.3082,189.320000,186.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000013.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000013_DIC全场—力.csv,10098,READY
000014.jpg,1.4087,204.320000,200.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000014.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000014_DIC全场—力.csv,10098,READY
000015.jpg,1.5092,219.320000,215.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000015.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000015_DIC全场—力.csv,10098,READY
000016.jpg,1.6097,233.820000,230.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000016.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000016_DIC全场—力.csv,10098,READY
000017.jpg,1.7103,251.320000,248.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000017.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000017_DIC全场—力.csv,10098,READY
000018.jpg,1.8108,265.820000,261.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000018.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000018_DIC全场—力.csv,10098,READY
000019.jpg,1.9113,280.820000,275.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000019.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000019_DIC全场—力.csv,10098,READY
000020.jpg,2.0118,295.320000,289.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000020.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000020_DIC全场—力.csv,10098,READY
000021.jpg,2.1123,309.820000,304.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000021.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000021_DIC全场—力.csv,10098,READY
000022.jpg,2.2128,324.320000,318.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000022.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000022_DIC全场—力.csv,10098,READY
000023.jpg,2.3133,338.820000,332.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000023.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000023_DIC全场—力.csv,10098,READY
000024.jpg,2.4139,354.468437,348.978750,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000024.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000024_DIC全场—力.csv,10098,READY
000025.jpg,2.5144,369.320000,362.260000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000025.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000025_DIC全场—力.csv,10098,READY
000026.jpg,2.6149,384.820000,376.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000026.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000026_DIC全场—力.csv,10098,READY
000027.jpg,2.7154,398.820000,390.760000,D:\2026.9.21_finally\_matchid_export\S16_XY_0.2\000027.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S16_XY_0.2\merged\000027_DIC全场—力.csv,10098,READY
