照片,时间/s,X向力/N,Y向力/N,DIC导出文件,合并文件,点数,状态
000003.jpg,0.0500,0.000000,0.000000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000003.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000003_DIC全场—力.csv,10403,READY
000004.jpg,0.0703,293.950000,285.950000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000004.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000004_DIC全场—力.csv,10403,READY
000005.jpg,0.0905,420.950000,415.950000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000005.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000005_DIC全场—力.csv,10403,READY
000006.jpg,0.1108,680.450000,666.950000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000006.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000006_DIC全场—力.csv,10403,READY
000007.jpg,0.1311,941.950000,917.950000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000007.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000007_DIC全场—力.csv,10403,READY
000008.jpg,0.1514,1186.950000,1157.450000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000008.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000008_DIC全场—力.csv,10403,READY
000009.jpg,0.1716,1409.950000,1379.450000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000009.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000009_DIC全场—力.csv,10403,READY
000010.jpg,0.1919,1607.450000,1569.950000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000010.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000010_DIC全场—力.csv,10403,READY
000011.jpg,0.2122,1698.586364,1658.313636,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000011.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000011_DIC全场—力.csv,10403,READY
000012.jpg,0.2325,1634.450000,1589.450000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000012.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000012_DIC全场—力.csv,10403,READY
000013.jpg,0.2527,943.950000,889.450000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000013.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000013_DIC全场—力.csv,10403,READY
000014.jpg,0.2730,190.950000,159.450000,D:\2026.9.21_finally\_matchid_export\S17_XY_20\000014.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S17_XY_20\merged\000014_DIC全场—力.csv,10403,READY
