照片,DAT,时间/s,X向力/N,Y向力/N,JPG原始路径,DAT原始路径
000003.jpg,000003.jpg.dat,0.0500,0.000000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000003.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000003.jpg.dat
000004.jpg,000004.jpg.dat,0.0703,293.950000,285.950000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000004.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000004.jpg.dat
000005.jpg,000005.jpg.dat,0.0905,420.950000,415.950000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000005.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000005.jpg.dat
000006.jpg,000006.jpg.dat,0.1108,680.450000,666.950000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000006.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000006.jpg.dat
000007.jpg,000007.jpg.dat,0.1311,941.950000,917.950000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000007.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000007.jpg.dat
000008.jpg,000008.jpg.dat,0.1514,1186.950000,1157.450000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000008.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000008.jpg.dat
000009.jpg,000009.jpg.dat,0.1716,1409.950000,1379.450000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000009.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000009.jpg.dat
000010.jpg,000010.jpg.dat,0.1919,1607.450000,1569.950000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000010.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000010.jpg.dat
000011.jpg,000011.jpg.dat,0.2122,1698.586364,1658.313636,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000011.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000011.jpg.dat
000012.jpg,000012.jpg.dat,0.2325,1634.450000,1589.450000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000012.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000012.jpg.dat
000013.jpg,000013.jpg.dat,0.2527,943.950000,889.450000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000013.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000013.jpg.dat
000014.jpg,000014.jpg.dat,0.2730,190.950000,159.450000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000014.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S17_XY_20\000014.jpg.dat
