照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000003.jpg,0.0500,0.000000,0.000000,_matchid_export\S18_XY_2\000003.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000003_DIC全场—力.csv,9312,9314,2,READY
000004.jpg,0.0700,19.040000,19.870000,_matchid_export\S18_XY_2\000004.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000004_DIC全场—力.csv,9312,9314,2,READY
000005.jpg,0.0900,45.540000,45.370000,_matchid_export\S18_XY_2\000005.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000005_DIC全场—力.csv,9312,9314,2,READY
000006.jpg,0.1101,73.040000,73.370000,_matchid_export\S18_XY_2\000006.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000006_DIC全场—力.csv,9312,9314,2,READY
000007.jpg,0.1301,102.040000,102.370000,_matchid_export\S18_XY_2\000007.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000007_DIC全场—力.csv,9312,9314,2,READY
000008.jpg,0.1501,115.540000,116.870000,_matchid_export\S18_XY_2\000008.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000008_DIC全场—力.csv,9312,9314,2,READY
000009.jpg,0.1701,146.040000,146.370000,_matchid_export\S18_XY_2\000009.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000009_DIC全场—力.csv,9312,9314,2,READY
000010.jpg,0.1902,175.540000,176.870000,_matchid_export\S18_XY_2\000010.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000010_DIC全场—力.csv,9312,9314,2,READY
000011.jpg,0.2102,206.040000,206.370000,_matchid_export\S18_XY_2\000011.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000011_DIC全场—力.csv,9312,9314,2,READY
000012.jpg,0.2302,236.540000,236.370000,_matchid_export\S18_XY_2\000012.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000012_DIC全场—力.csv,9312,9314,2,READY
000013.jpg,0.2502,254.380000,254.090000,_matchid_export\S18_XY_2\000013.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000013_DIC全场—力.csv,9312,9314,2,READY
000014.jpg,0.2703,280.540000,280.870000,_matchid_export\S18_XY_2\000014.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000014_DIC全场—力.csv,9312,9314,2,READY
000015.jpg,0.2903,312.040000,310.370000,_matchid_export\S18_XY_2\000015.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000015_DIC全场—力.csv,9312,9314,2,READY
000016.jpg,0.3103,342.040000,340.370000,_matchid_export\S18_XY_2\000016.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000016_DIC全场—力.csv,9312,9314,2,READY
000017.jpg,0.3303,372.540000,369.870000,_matchid_export\S18_XY_2\000017.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000017_DIC全场—力.csv,9312,9314,2,READY
000018.jpg,0.3504,402.540000,399.370000,_matchid_export\S18_XY_2\000018.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000018_DIC全场—力.csv,9312,9314,2,READY
000019.jpg,0.3704,416.540000,413.870000,_matchid_export\S18_XY_2\000019.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000019_DIC全场—力.csv,9312,9314,2,READY
000020.jpg,0.3904,446.540000,443.370000,_matchid_export\S18_XY_2\000020.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000020_DIC全场—力.csv,9312,9314,2,READY
000021.jpg,0.4104,476.540000,472.870000,_matchid_export\S18_XY_2\000021.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000021_DIC全场—力.csv,9312,9314,2,READY
000022.jpg,0.4305,506.040000,502.370000,_matchid_export\S18_XY_2\000022.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000022_DIC全场—力.csv,9312,9314,2,READY
000023.jpg,0.4505,536.540000,531.370000,_matchid_export\S18_XY_2\000023.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000023_DIC全场—力.csv,9312,9314,2,READY
000024.jpg,0.4705,557.352000,552.678000,_matchid_export\S18_XY_2\000024.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S18_XY_2\merged\000024_DIC全场—力.csv,9312,9314,2,READY
