照片,时间/s,X向力/N,Y向力/N,DIC导出文件,合并文件,点数,状态
000002.jpg,0.1690,0.000000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000002.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000002_DIC全场—力.csv,9144,READY
000003.jpg,0.2704,20.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000003.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000003_DIC全场—力.csv,9144,READY
000004.jpg,0.3718,31.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000004.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000004_DIC全场—力.csv,9144,READY
000005.jpg,0.4732,41.824000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000005.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000005_DIC全场—力.csv,9144,READY
000006.jpg,0.5746,53.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000006.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000006_DIC全场—力.csv,9144,READY
000007.jpg,0.6760,64.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000007.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000007_DIC全场—力.csv,9144,READY
000008.jpg,0.7774,75.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000008.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000008_DIC全场—力.csv,9144,READY
000009.jpg,0.8789,85.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000009.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000009_DIC全场—力.csv,9144,READY
000010.jpg,0.9803,95.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000010.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000010_DIC全场—力.csv,9144,READY
000011.jpg,1.0817,106.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000011.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000011_DIC全场—力.csv,9144,READY
000012.jpg,1.1831,116.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000012.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000012_DIC全场—力.csv,9144,READY
000013.jpg,1.2845,127.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000013.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000013_DIC全场—力.csv,9144,READY
000014.jpg,1.3859,137.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000014.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000014_DIC全场—力.csv,9144,READY
000015.jpg,1.4873,149.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000015.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000015_DIC全场—力.csv,9144,READY
000016.jpg,1.5887,159.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000016.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000016_DIC全场—力.csv,9144,READY
000017.jpg,1.6901,169.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000017.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000017_DIC全场—力.csv,9144,READY
000018.jpg,1.7915,178.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000018.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000018_DIC全场—力.csv,9144,READY
000019.jpg,1.8929,190.504000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000019.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000019_DIC全场—力.csv,9144,READY
000020.jpg,1.9943,201.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000020.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000020_DIC全场—力.csv,9144,READY
000021.jpg,2.0958,211.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000021.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000021_DIC全场—力.csv,9144,READY
000022.jpg,2.1972,221.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000022.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000022_DIC全场—力.csv,9144,READY
000023.jpg,2.2986,231.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000023.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000023_DIC全场—力.csv,9144,READY
000024.jpg,2.4000,242.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000024.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000024_DIC全场—力.csv,9144,READY
000025.jpg,2.5014,252.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000025.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000025_DIC全场—力.csv,9144,READY
000026.jpg,2.6028,261.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000026.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000026_DIC全场—力.csv,9144,READY
000027.jpg,2.7042,272.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000027.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000027_DIC全场—力.csv,9144,READY
000028.jpg,2.8056,283.316000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000028.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000028_DIC全场—力.csv,9144,READY
000029.jpg,2.9070,293.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000029.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000029_DIC全场—力.csv,9144,READY
000030.jpg,3.0084,303.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000030.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000030_DIC全场—力.csv,9144,READY
000031.jpg,3.1098,312.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000031.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000031_DIC全场—力.csv,9144,READY
000032.jpg,3.2112,322.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000032.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000032_DIC全场—力.csv,9144,READY
000033.jpg,3.3126,333.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000033.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000033_DIC全场—力.csv,9144,READY
000034.jpg,3.4141,343.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000034.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000034_DIC全场—力.csv,9144,READY
000035.jpg,3.5155,353.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000035.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000035_DIC全场—力.csv,9144,READY
000036.jpg,3.6169,363.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000036.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000036_DIC全场—力.csv,9144,READY
000037.jpg,3.7183,373.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000037.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000037_DIC全场—力.csv,9144,READY
000038.jpg,3.8197,383.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000038.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000038_DIC全场—力.csv,9144,READY
000039.jpg,3.9211,392.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000039.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000039_DIC全场—力.csv,9144,READY
000040.jpg,4.0225,403.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000040.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000040_DIC全场—力.csv,9144,READY
000041.jpg,4.1239,413.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000041.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000041_DIC全场—力.csv,9144,READY
000042.jpg,4.2253,424.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000042.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000042_DIC全场—力.csv,9144,READY
000043.jpg,4.3267,434.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000043.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000043_DIC全场—力.csv,9144,READY
000044.jpg,4.4281,444.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000044.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000044_DIC全场—力.csv,9144,READY
000045.jpg,4.5295,453.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000045.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000045_DIC全场—力.csv,9144,READY
000046.jpg,4.6310,462.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000046.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000046_DIC全场—力.csv,9144,READY
000047.jpg,4.7324,473.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000047.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000047_DIC全场—力.csv,9144,READY
000048.jpg,4.8338,483.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000048.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000048_DIC全场—力.csv,9144,READY
000049.jpg,4.9352,493.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000049.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000049_DIC全场—力.csv,9144,READY
000050.jpg,5.0366,503.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000050.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000050_DIC全场—力.csv,9144,READY
000051.jpg,5.1380,512.604000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000051.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000051_DIC全场—力.csv,9144,READY
000052.jpg,5.2394,522.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000052.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000052_DIC全场—力.csv,9144,READY
000053.jpg,5.3408,532.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000053.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000053_DIC全场—力.csv,9144,READY
000054.jpg,5.4422,541.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000054.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000054_DIC全场—力.csv,9144,READY
000055.jpg,5.5436,551.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000055.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000055_DIC全场—力.csv,9144,READY
000056.jpg,5.6450,563.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000056.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000056_DIC全场—力.csv,9144,READY
000057.jpg,5.7464,572.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000057.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000057_DIC全场—力.csv,9144,READY
000058.jpg,5.8478,581.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000058.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000058_DIC全场—力.csv,9144,READY
000059.jpg,5.9493,590.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000059.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000059_DIC全场—力.csv,9144,READY
000060.jpg,6.0507,600.764000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000060.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000060_DIC全场—力.csv,9144,READY
000061.jpg,6.1521,610.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000061.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000061_DIC全场—力.csv,9144,READY
000062.jpg,6.2535,620.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000062.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000062_DIC全场—力.csv,9144,READY
000063.jpg,6.3549,629.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000063.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000063_DIC全场—力.csv,9144,READY
000064.jpg,6.4563,638.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000064.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000064_DIC全场—力.csv,9144,READY
000065.jpg,6.5577,648.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000065.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000065_DIC全场—力.csv,9144,READY
000066.jpg,6.6591,656.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000066.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000066_DIC全场—力.csv,9144,READY
000067.jpg,6.7605,666.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000067.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000067_DIC全场—力.csv,9144,READY
000068.jpg,6.8619,675.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000068.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000068_DIC全场—力.csv,9143,READY
000069.jpg,6.9633,684.772000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000069.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000069_DIC全场—力.csv,9144,READY
000070.jpg,7.0647,694.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000070.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000070_DIC全场—力.csv,9144,READY
000071.jpg,7.1662,703.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000071.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000071_DIC全场—力.csv,9144,READY
000072.jpg,7.2676,711.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000072.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000072_DIC全场—力.csv,9144,READY
