照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000005.jpg,0.1050,0.000000,0.000000,_matchid_export\S20_X_2\000005.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000005_DIC全场—力.csv,7930,7932,2,READY
000006.jpg,0.1249,96.650000,0.000000,_matchid_export\S20_X_2\000006.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000006_DIC全场—力.csv,7933,7935,2,READY
000007.jpg,0.1449,119.650000,0.000000,_matchid_export\S20_X_2\000007.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000007_DIC全场—力.csv,7934,7936,2,READY
000008.jpg,0.1648,143.150000,0.000000,_matchid_export\S20_X_2\000008.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000008_DIC全场—力.csv,7933,7935,2,READY
000009.jpg,0.1847,166.650000,0.000000,_matchid_export\S20_X_2\000009.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000009_DIC全场—力.csv,7933,7935,2,READY
000010.jpg,0.2047,190.150000,0.000000,_matchid_export\S20_X_2\000010.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000010_DIC全场—力.csv,7930,7932,2,READY
000011.jpg,0.2246,209.504839,0.000000,_matchid_export\S20_X_2\000011.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000011_DIC全场—力.csv,7931,7933,2,READY
000012.jpg,0.2445,226.150000,0.000000,_matchid_export\S20_X_2\000012.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000012_DIC全场—力.csv,7932,7934,2,READY
000013.jpg,0.2645,249.650000,0.000000,_matchid_export\S20_X_2\000013.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000013_DIC全场—力.csv,7934,7936,2,READY
000014.jpg,0.2844,273.650000,0.000000,_matchid_export\S20_X_2\000014.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000014_DIC全场—力.csv,7934,7936,2,READY
