实验编号,照片,DAT,status,version,conversion_mm_per_pixel,point_count,point_count_reference,point_count_fraction,record_counts,error
S20_X_2,000005.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000005.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7932,7934,,"{'18': 7932, '53': 7932}",
S20_X_2,000006.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000006.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000007.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000007.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7936,7934,,"{'18': 7936, '53': 7936}",
S20_X_2,000008.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000008.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000009.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000009.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000010.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000010.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7932,7934,,"{'18': 7932, '53': 7932}",
S20_X_2,000011.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000011.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7933,7934,,"{'18': 7933, '53': 7933}",
S20_X_2,000012.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000012.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000013.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000013.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7936,7934,,"{'18': 7936, '53': 7936}",
S20_X_2,000014.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000014.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7936,7934,,"{'18': 7936, '53': 7936}",
S20_X_2,000015.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000015.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7932,7934,,"{'18': 7932, '53': 7932}",
S20_X_2,000016.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000016.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000017.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000017.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7936,7934,,"{'18': 7936, '53': 7936}",
S20_X_2,000018.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000018.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000019.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000019.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000020.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000020.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000021.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000021.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000022.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000022.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7936,7934,,"{'18': 7936, '53': 7936}",
S20_X_2,000023.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000023.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7933,7934,,"{'18': 7933, '53': 7933}",
S20_X_2,000024.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000024.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7936,7934,,"{'18': 7936, '53': 7936}",
S20_X_2,000025.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000025.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7933,7934,,"{'18': 7933, '53': 7933}",
S20_X_2,000026.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000026.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000027.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000027.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000028.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000028.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7932,7934,,"{'18': 7932, '53': 7932}",
S20_X_2,000029.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000029.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000030.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000030.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7933,7934,,"{'18': 7933, '53': 7933}",
S20_X_2,000031.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000031.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000032.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000032.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7933,7934,,"{'18': 7933, '53': 7933}",
S20_X_2,000033.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000033.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000034.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000034.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000035.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000035.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000036.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000036.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000037.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000037.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
