照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000008.jpg,0.7611,0.000000,0.000000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000008.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000008_DIC全场—力.csv,6166,6168,2,READY
000016.jpg,1.5639,0.000000,175.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000016.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000016_DIC全场—力.csv,6166,6168,2,READY
000024.jpg,2.3668,0.000000,267.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000024.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000024_DIC全场—力.csv,6166,6168,2,READY
000032.jpg,3.1696,0.000000,356.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000032.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000032_DIC全场—力.csv,6166,6168,2,READY
000040.jpg,3.9724,0.000000,443.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000040.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000040_DIC全场—力.csv,6166,6168,2,READY
000048.jpg,4.7753,0.000000,528.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000048.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000048_DIC全场—力.csv,6166,6168,2,READY
000056.jpg,5.5781,0.000000,610.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000056.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000056_DIC全场—力.csv,6166,6168,2,READY
000064.jpg,6.3809,0.000000,688.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000064.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000064_DIC全场—力.csv,6166,6168,2,READY
000072.jpg,7.1837,0.000000,765.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000072.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000072_DIC全场—力.csv,6166,6168,2,READY
000080.jpg,7.9866,0.000000,841.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000080.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000080_DIC全场—力.csv,6166,6168,2,READY
000088.jpg,8.7894,0.000000,913.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000088.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000088_DIC全场—力.csv,6166,6168,2,READY
000096.jpg,9.5922,0.000000,983.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000096.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000096_DIC全场—力.csv,6166,6168,2,READY
000104.jpg,10.3951,0.000000,1049.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000104.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000104_DIC全场—力.csv,6166,6168,2,READY
000112.jpg,11.1979,0.000000,1110.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000112.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000112_DIC全场—力.csv,6166,6168,2,READY
000120.jpg,12.0007,0.000000,1165.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000120.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000120_DIC全场—力.csv,6166,6168,2,READY
000128.jpg,12.8035,0.000000,1215.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000128.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000128_DIC全场—力.csv,6166,6168,2,READY
000136.jpg,13.6064,0.000000,1259.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000136.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000136_DIC全场—力.csv,6165,6167,2,READY
000144.jpg,14.4092,0.000000,1296.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000144.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000144_DIC全场—力.csv,6166,6168,2,READY
000152.jpg,15.2120,0.000000,1327.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000152.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000152_DIC全场—力.csv,6165,6167,2,READY
