照片,DAT,时间/s,X向力/N,Y向力/N,JPG原始路径,DAT原始路径
000008.jpg,000008.jpg.dat,0.7611,0.000000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000008.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000008.jpg.dat
000016.jpg,000016.jpg.dat,1.5639,0.000000,175.300000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000016.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000016.jpg.dat
000024.jpg,000024.jpg.dat,2.3668,0.000000,267.300000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000024.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000024.jpg.dat
000032.jpg,000032.jpg.dat,3.1696,0.000000,356.300000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000032.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000032.jpg.dat
000040.jpg,000040.jpg.dat,3.9724,0.000000,443.300000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000040.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000040.jpg.dat
000048.jpg,000048.jpg.dat,4.7753,0.000000,528.300000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000048.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000048.jpg.dat
000056.jpg,000056.jpg.dat,5.5781,0.000000,610.300000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000056.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000056.jpg.dat
000064.jpg,000064.jpg.dat,6.3809,0.000000,688.300000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000064.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000064.jpg.dat
000072.jpg,000072.jpg.dat,7.1837,0.000000,765.800000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000072.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000072.jpg.dat
000080.jpg,000080.jpg.dat,7.9866,0.000000,841.300000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000080.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S22_Y_0.2\000080.jpg.dat
