实验编号,照片,DAT,status,version,conversion_mm_per_pixel,point_count,point_count_reference,point_count_fraction,record_counts,error
S23_Y_2,000008.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000008.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000016.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000016.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000024.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000024.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000032.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000032.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000040.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000040.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000048.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000048.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000056.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000056.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000064.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000064.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000072.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000072.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000080.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000080.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000088.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000088.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000096.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000096.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000104.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000104.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000112.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000112.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000120.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000120.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000128.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000128.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000136.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000136.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000144.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000144.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
S23_Y_2,000152.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000152.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.082645,6380,6380,,"{'18': 6380, '53': 6380}",
