nu,E_MPa,rmse_N,max_abs_residual_N,relative_rmse,observation_count
-0.99,196.40761049373526,359.07561338896556,665.8259385674102,0.5873775001455303,82
-0.989,237.3327929116535,358.3933256402419,672.6375316422078,0.5862614107836189,82
-0.988,281.8979736785986,357.6478220101462,679.1415603469973,0.5850419125992052,82
-0.987,330.02027495091636,356.84000462682593,685.3332576945088,0.5837204812975625,82
-0.986,381.60994856650086,355.97086969743157,691.2085919535486,0.5822987464788189,82
-0.985,436.5708019811221,355.04150340379965,696.7642705853755,0.580778484924098,82
-0.984,494.80065129425196,354.0530774597418,701.99774009689,0.5791616133281126,82
-0.983,556.1917973224195,353.00684436586283,706.9071819045755,0.5774501805369737,82
-0.982,620.631520557169,351.9041323995736,711.4915043406011,0.5756463593528325,82
-0.981,688.0025907810048,350.7463403792288,715.7503309670841,0.5737524379690322,82
-0.98,758.1837871072971,349.53493224209126,719.6839853957483,0.5717708111007185,82
-0.979,831.0504242567024,348.2714314761282,723.2934728377711,0.5697039708763466,82
-0.978,906.4748809802953,346.9574154454808,726.5804586321786,0.5675544975552588,82
-0.977,984.327126684059,345.5945096488497,729.5472440205949,0.5653250501355258,82
-0.976,1064.475242496489,344.18438194903035,732.1967394513093,0.5630183569145952,82
-0.975,1146.785933245174,342.7287368104512,734.5324357065712,0.5606372060630295,82
-0.974,1231.1250270642104,341.22930957984636,736.558373153753,0.5581844362688058,82
-0.973,1317.3579596361217,339.6878608431895,738.279109423743,0.5556629275063625,82
-0.972,1405.3502403738287,338.10617088975334,739.6996858187908,0.5530755919808829,82
-0.971,1494.9678981643262,336.4860343117043,740.8255927473721,0.5504253652942882,82
-0.97,1586.0779046203438,334.82925476502174,741.6627344756853,0.5477151978751255,82
-0.969,1678.5485731140584,333.1376399148099,742.217393474582,0.5449480467100861,82
-0.968,1772.2499321928071,331.41299658527413,742.4961946273542,0.5421268674103156,82
-0.967,1867.0540722962483,329.6571261318175,742.5060695482862,0.5392546066410676,82
-0.966,1962.8354650032545,327.8718200499056,742.2542212446315,0.5363341949386664,82
-0.965,2059.4712543317423,326.0588558325913,741.7480893360066,0.5333685399342264,82
-0.964,2156.8415198923117,324.21999308591194,740.9953160255964,0.5303605199992015,82
-0.963,2254.829511954925,322.35696990879757,740.0037129972704,0.5273129783236236,82
-0.962,2353.32185872477,320.47149954168833,738.7812293921738,0.5242287174338943,82
-0.961,2452.208746337685,318.56526728576205,737.3359209977729,0.5211104941532455,82
-0.96,2551.3840722763453,316.63992769254395,735.6759207620946,0.5179610150044885,82
-0.959,2650.7455730753627,314.6971020217136,733.8094107261295,0.5147829320514846,82
-0.958,2750.1949273265996,312.7383759631498,731.7445954483981,0.5115788391728551,82
-0.957,2849.637835115819,310.765297617668,729.4896769775638,0.5083512687588627,82
-0.956,2948.984075119222,308.7793757295022,727.0528314119907,0.5051026888200978,82
-0.955,3048.1475406639897,306.7820781623685,724.4421870692504,0.5018355004946158,82
-0.954,3147.046256112592,304.77483060991574,721.6658042740173,0.49855203593848674,82
-0.953,3245.602374967175,302.75901553050517,718.7316567594603,0.4952545565833036,82
-0.952,3343.742161109708,300.7359712955725,715.6476146652963,0.4919452517430682,82
-0.951,3441.395954597074,298.70699154028785,712.4214291050057,0.48862623755199863,82
-0.95,3538.4981234200086,296.6733247048429,709.0607182654206,0.48529955621416426,82
-0.949,3634.9870026118815,294.63617375444056,705.5729549938235,0.48196717554544355,82
-0.948,3730.80482205976,292.59669606593576,701.9654558209261,0.4786309887880909,82
-0.947,3825.8976243277343,290.55600346905914,698.2453713624392,0.47529281467817036,82
-0.946,3920.215173751868,288.5151624302387,694.4196780374501,0.47195439774625186,82
-0.945,4013.7108580100553,286.47519436720984,690.4951710383068,0.46861740883205166,82
-0.944,4106.341583308486,284.43707608284984,686.4784584841972,0.46528344579410097,82
-0.943,4198.067664261766,282.40174030699245,682.375956688909,0.4619540343960486,82
-0.942,4288.852709476346,280.3700763353454,678.1938864724015,0.45863062935180493,82
-0.941,4378.663503778104,278.3429307550542,673.9382704455983,0.45531461551242264,82
-0.94,4467.469887955726,276.3211082469038,669.6149311982786,0.4520073091783416,82
-0.939,4555.244636822413,274.305372454636,665.2294903208918,0.4487099595214224,82
-0.938,4641.963336330242,272.2964469123575,660.7873681925668,0.44542375010200463,82
-0.9369999999999999,4727.604260405114,270.29501602153107,656.2937844694322,0.442149800467073,82
-0.9359999999999999,4812.148248105389,268.30172606956086,651.7537592095022,0.4388891678164641,82
-0.9349999999999999,4895.578581645188,266.3171862825109,647.1721145728337,0.43564284872490816,82
-0.9339999999999999,4977.88086576392,264.3419699050112,642.5534770382739,0.4324117809085441,82
-0.9329999999999999,5059.042908866871,262.3766153009221,637.9022800809339,0.42919684502539107,82
-0.9319999999999999,5139.054606308447,260.42162706882624,633.2227672574065,0.4259988665000756,82
-0.9309999999999999,5217.907826139368,258.4774771669097,628.5189956487512,0.4228186173639169,82
-0.9299999999999999,5295.596297592261,256.5446060422607,623.794839614245,0.41965681810223887,82
-0.929,5372.115502536525,254.6234237600715,619.0539948119537,0.4165141395015237,82
-0.9279999999999999,5447.462570093155,252.71431112865906,614.2999824451138,0.4133912044897256,82
-0.927,5521.636174562899,250.81762081663933,609.5361536963203,0.41028858996374945,82
-0.9259999999999999,5594.636436787845,248.93367845896768,604.7656943143003,0.407206828598717,82
-0.925,5666.46482903474,247.06278374894774,599.9916293209416,0.4041464106342795,82
-0.9239999999999999,5737.124083461678,245.20521151363067,595.2168278088202,0.4011077856337608,82
-0.923,5806.618104203392,243.3612127703815,590.4440078021667,0.39809136421249347,82
-0.9219999999999999,5874.951883089149,241.5310157626593,585.675741156557,0.39509751973215224,82
-0.921,5942.131418986181,239.71482697337106,580.9144584750759,0.3921265899584032,82
-0.9199999999999999,6008.163640744985,237.91283211438738,576.1624540207954,0.38917887867955797,82
-0.919,6073.056333706431,236.12519709107679,571.4218906076263,0.386254657284363,82
-0.9179999999999999,6136.818069718157,234.35206894090797,566.694804453439,0.38335416629736957,82
-0.917,6199.458140595195,232.5935767453962,561.9831099813092,0.38047761687069975,82
-0.916,6260.986494951068,230.849832514827,557.2886045563365,0.37762519223128144,82
