实验编号,照片,时间/s,点数,参考帧点数,当前帧点数,匹配点数,参考帧缺失点数,当前帧新增点数,平均exx,平均eyy,平均exy,X向力/N,Y向力/N,边界σx/MPa,边界σy/MPa,等效应力/MPa,等效塑性应变,X虚场系数/N每MPa,Y虚场系数/N每MPa,基线X虚场系数/N每MPa,基线Y虚场系数/N每MPa,积分面积/mm2,面积比,有效三角形数,排除点数,积分方法,基线方法,逐点/基线系数差异X/%,逐点/基线系数差异Y/%,阶段1内部虚功X/N,阶段1外部虚功X/N,阶段1残差X/N,阶段1内部虚功Y/N,阶段1外部虚功Y/N,阶段1残差Y/N,阶段2模型等效应力/MPa,阶段2内部虚功X/N,阶段2残差X/N,阶段2内部虚功Y/N,阶段2残差Y/N
S15_XY_0.2,000001.jpg,0.105000,100489,100489,100489,100489,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.00000000
S15_XY_0.2,000002.jpg,0.205000,100489,100489,100489,100489,0,0,-0.0001284675609,-0.0001847552215,-3.845380837e-05,17.18000000,17.83000000,0.59703244,0.61962097,0.60864116,0.0005308224935,-0.005825735433,-0.00713409533,-0.007799539869,-0.00662156579,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,-25.30667795,7.74030730,-20.60169788,17.18000000,-37.78169788,-25.22848460,17.83000000,-43.05848460,,0.00000000,-17.18000000,0.00000000,-17.83000000
S15_XY_0.2,000003.jpg,0.305000,100489,100489,100489,100489,0,0,-0.0001176617906,-0.000126419954,1.931772337e-05,30.68000000,31.33000000,1.06617900,1.08876753,1.07765083,0.0006253387407,-0.004730061736,-0.004966031841,-0.005710534182,-0.005527245529,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,-17.16953992,-10.15358708,-16.72703884,30.68000000,-47.40703884,-17.56150598,31.33000000,-48.89150598,,0.00000000,-30.68000000,0.00000000,-31.33000000
S15_XY_0.2,000004.jpg,0.405000,100489,100489,100489,100489,0,0,-0.0001956742317,-0.0001599357138,1.141054402e-05,44.68000000,44.33000000,1.55270135,1.54053829,1.54665569,0.0009025739692,-0.007521448077,-0.007256208945,-0.00781236419,-0.008560290952,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,-3.72379098,-15.23408508,-26.59829007,44.68000000,-71.27829007,-25.66031811,44.33000000,-69.99031811,,0.00000000,-44.68000000,0.00000000,-44.33000000
S15_XY_0.2,000005.jpg,0.505100,100489,100489,100489,100489,0,0,-0.0001827271404,-0.0001554917226,4.749934386e-05,58.68000000,59.33000000,2.03922371,2.06181225,2.05061129,0.001064641246,-0.006975111488,-0.006616061006,-0.007500987717,-0.008070963727,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,-7.01075976,-18.02638161,-24.66626595,58.68000000,-83.34626595,-23.39654651,59.33000000,-82.72654651,34.21971992,979.22662077,920.54662077,990.07354142,930.74354142
S15_XY_0.2,000006.jpg,0.605100,100489,100489,100489,100489,0,0,-0.0002157728534,-0.0001407042611,9.532089306e-06,73.68000000,73.33000000,2.56049767,2.54833461,2.55443785,0.001260100053,-0.007874275928,-0.006693360509,-0.007420781896,-0.008991798615,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,6.11113544,-25.56149447,-27.84600426,73.68000000,-101.52600426,-23.66990273,73.33000000,-96.99990273,34.24993063,987.90224440,914.22224440,983.20944057,909.87944057
S15_XY_0.2,000007.jpg,0.705100,100487,100489,100487,100487,2,0,-0.0001072204905,-0.0001497046828,7.126669244e-06,87.18000000,86.83000000,3.02964422,3.01748117,3.02358104,0.001325982422,-0.004520497137,-0.005440581647,-0.006359101598,-0.005470003051,763.84763690,0.92247854,199700,0,pointwise_triangle,mean_strain_rectangle,-28.91295937,-0.53786814,-15.98595016,87.18000000,-103.16595016,-19.23966865,86.83000000,-106.06966865,34.26011361,987.83418146,900.65418146,983.86834109,897.03834109
S15_XY_0.2,000008.jpg,0.805100,100489,100489,100489,100489,0,0,-5.46315562e-05,-2.885635314e-05,5.52001519e-05,101.68000000,101.83000000,3.53354238,3.53875512,3.53615163,0.001335044418,-0.001509658784,-0.001365761043,-0.001652226987,-0.002191643988,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,-8.62885086,-37.68326193,-5.33864514,101.68000000,-107.01864514,-4.82977587,101.83000000,-106.65977587,34.26151426,985.17007557,883.49007557,986.62341459,884.79341459
S15_XY_0.2,000009.jpg,0.905100,100489,100489,100489,100489,0,0,0.0001041682104,-1.473842344e-05,-4.284648028e-05,116.79267600,116.49901400,4.05873201,4.04852678,4.05363903,0.001346204975,0.003466725823,0.001055745016,0.000814496486,0.003302944771,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,325.62808830,-68.03624980,12.25947159,116.79267600,-104.53320441,3.73345822,116.49901400,-112.76555578,34.26323927,987.18592720,870.39325120,984.70375962,868.20474562
S15_XY_0.2,000010.jpg,1.005100,100489,100489,100489,100489,0,0,0.0001332597376,8.289545655e-05,3.853494133e-05,132.18000000,132.83000000,4.59346609,4.61605463,4.60480191,0.001412414142,0.005748706122,0.004648467617,0.004449000471,0.005503011546,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,29.21343029,-15.52865956,20.32929715,132.18000000,-111.85070285,16.43849546,132.83000000,-116.39150454,34.27347277,983.81379242,851.63379242,988.65173284,855.82173284
S15_XY_0.2,000011.jpg,1.105100,100489,100489,100489,100489,0,0,0.0002903789006,0.000181911067,6.572225701e-05,146.68000000,145.83000000,5.09736424,5.06782539,5.08265919,0.001328255716,0.01140081845,0.009229442193,0.009737369069,0.01200735675,763.89353661,0.92253398,199712,0,pointwise_triangle,mean_strain_rectangle,17.08315015,-23.13510474,40.31700717,146.68000000,-106.36299283,32.63831354,145.83000000,-113.19168646,34.26046498,988.71964715,842.03964715,982.99008824,837.16008824
