照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000001.jpg,0.105000,0.00000000,0.00000000,0.00000000
000002.jpg,0.205000,0.59703244,0.61962097,0.60864116
000003.jpg,0.305000,1.06617900,1.08876753,1.07765083
000004.jpg,0.405000,1.55270135,1.54053829,1.54665569
000005.jpg,0.505100,2.03922371,2.06181225,2.05061129
000006.jpg,0.605100,2.56049767,2.54833461,2.55443785
000007.jpg,0.705100,3.02964422,3.01748117,3.02358104
000008.jpg,0.805100,3.53354238,3.53875512,3.53615163
000009.jpg,0.905100,4.05873201,4.04852678,4.05363903
000010.jpg,1.005100,4.59346609,4.61605463,4.60480191
000011.jpg,1.105100,5.09736424,5.06782539,5.08265919
000012.jpg,1.205200,5.54913500,5.58909934,5.56922472
000013.jpg,1.305200,6.03565736,6.05824590,6.04698327
000014.jpg,1.405200,6.53955552,6.57951986,6.55962899
000015.jpg,1.505200,7.02607788,7.06604221,7.04614505
000016.jpg,1.605200,7.51260023,7.58731617,7.55023547
000017.jpg,1.705200,8.01649839,8.05646273,8.03655508
000018.jpg,1.805200,8.50302075,8.54298508,8.52307319
000019.jpg,1.905300,8.98954311,9.02950744,9.00959175
000020.jpg,2.005300,9.49001503,9.51260357,9.50132944
000021.jpg,2.105300,9.97996362,10.07205535,10.02632669
000022.jpg,2.205300,10.46648598,10.55857771,10.51283437
000023.jpg,2.305300,10.97038413,11.01034847,10.99042080
000024.jpg,2.405300,11.40477910,11.49687083,11.45110270
000025.jpg,2.505300,11.87392565,11.94864159,11.91145937
000026.jpg,2.605400,12.36044801,12.43516395,12.39797483
000027.jpg,2.705400,12.84697037,12.90431050,12.87573620
000028.jpg,2.805400,13.31611693,13.37345706,13.34487939
000029.jpg,2.905400,13.76788769,13.84260362,13.80539730
000030.jpg,3.005400,14.25441005,14.32912598,14.29191449
000031.jpg,3.105400,14.81043560,14.88515153,14.84793456
000032.jpg,3.205400,15.26220636,15.30217070,15.28222772
000033.jpg,3.305500,15.69660132,15.78869305,15.74284921
000034.jpg,3.405500,16.16574788,16.24046381,16.20323505
000035.jpg,3.505500,16.65227024,16.69223457,16.67228833
000036.jpg,3.605500,17.08666520,17.14400534,17.11540731
000037.jpg,3.705500,17.53843596,17.61315189,17.57591304
000038.jpg,3.805500,17.99020672,18.08229845,18.03642892
000039.jpg,3.905500,18.47672908,18.51669342,18.49674363
000040.jpg,4.005500,18.92849984,18.95108838,18.93980421
000041.jpg,4.105600,19.41942735,19.44201588,19.43073146
000042.jpg,4.205600,19.90154456,19.95888469,19.93027649
000043.jpg,4.305600,20.37069111,20.37590385,20.37329798
