照片,时间/s,等效塑性应变,等效应力/MPa,Linear模型应力/MPa,Ludwik模型应力/MPa,Swift模型应力/MPa,Voce I（通用）模型应力/MPa,Voce II（通用）模型应力/MPa
000001.jpg,0.105000,0,0.00000000,,,,,
000002.jpg,0.205000,0.0005308152411,0.60864116,,,,,
000003.jpg,0.305000,0.000625325825,1.07765083,,,,,
000004.jpg,0.405000,0.0009025554254,1.54665569,,,,,
000005.jpg,0.505100,0.001064616685,2.05061129,34.21963179,23.86505382,23.86507860,11.85459692,10.43820094
000006.jpg,0.605100,0.001260069433,2.55443785,34.24984158,24.58804347,24.58806319,13.11585372,12.07232284
000007.jpg,0.705100,0.001325946162,3.02358104,34.26002369,24.81091188,24.81093020,13.53212714,12.60698690
000008.jpg,0.805100,0.001335002054,3.53615163,34.26142340,24.84083244,24.84085059,13.58900808,12.67986358
000009.jpg,0.905100,0.00134615645,4.05363903,34.26314745,24.87745773,24.87747565,13.65895650,12.76942251
000010.jpg,1.005100,0.001412358948,4.60480191,34.27337992,25.08983321,25.08984990,14.07154272,13.29633021
000011.jpg,1.105100,0.001328194923,5.08265919,34.26037126,24.81835742,24.81837570,13.54625953,12.62509761
000012.jpg,1.205200,0.001285317876,5.56922472,34.25374405,24.67457031,24.67458947,13.27591791,12.27818645
000013.jpg,1.305200,0.001275117312,6.04698327,34.25216742,24.63978268,24.63980207,13.21132876,12.19515778
000014.jpg,1.405200,0.001260357896,6.55962899,34.24988616,24.58904006,24.58905977,13.11768611,12.07468149
000015.jpg,1.505200,0.001163241012,7.04614505,34.23487547,24.24238501,24.24240704,12.49596014,11.27181750
000016.jpg,1.605200,0.001260580242,7.55023547,34.24992053,24.58980811,24.58982781,13.11909845,12.07649942
000017.jpg,1.705200,0.001123339182,8.03655508,34.22870812,24.09301849,24.09304158,12.23769585,10.93679272
000018.jpg,1.805200,0.001082898006,8.52307319,34.22245741,23.93710946,23.93713369,11.97424912,10.59413323
000019.jpg,1.905300,0.001072187031,9.00959175,34.22080189,23.89501484,23.89503940,11.90418778,10.50285134
000020.jpg,2.005300,0.001053724413,9.50132944,34.21794825,23.82163657,23.82166168,11.78313950,10.34498656
000021.jpg,2.105300,0.0009753717638,10.02632669,,,,,
000022.jpg,2.205300,0.0008465326495,10.51283437,,,,,
000023.jpg,2.305300,0.0007653828331,10.99042080,,,,,
000024.jpg,2.405300,0.0007570600416,11.45110270,,,,,
000025.jpg,2.505300,0.0006287206813,11.91145937,,,,,
000026.jpg,2.605400,0.0006350074718,12.39797483,,,,,
000027.jpg,2.705400,0.0005134826138,12.87573620,,,,,
000028.jpg,2.805400,0.0003987938931,13.34487939,,,,,
000029.jpg,2.905400,0.0003568534536,13.80539730,,,,,
000030.jpg,3.005400,0.00030841936,14.29191449,,,,,
000031.jpg,3.105400,0.0001735314832,14.84793456,,,,,
000032.jpg,3.205400,0.000185292079,15.28222772,,,,,
000033.jpg,3.305500,0.0002031371815,15.74284921,,,,,
000034.jpg,3.405500,0.0002668460063,16.20323505,,,,,
000035.jpg,3.505500,0.0003272827409,16.67228833,,,,,
000036.jpg,3.605500,0.0004552288186,17.11540731,,,,,
000037.jpg,3.705500,0.0004651368534,17.57591304,,,,,
000038.jpg,3.805500,0.0006408427123,18.03642892,,,,,
000039.jpg,3.905500,0.0007081339358,18.49674363,,,,,
000040.jpg,4.005500,0.0008184510604,18.93980421,,,,,
000041.jpg,4.105600,0.0008674252993,19.43073146,,,,,
000042.jpg,4.205600,0.0009555931092,19.93027649,,,,,
000043.jpg,4.305600,0.001072466783,20.37329798,34.22084513,23.89611867,23.89614322,11.90601919,10.50523829
000044.jpg,4.405600,0.001150370041,20.81638954,34.23288610,24.19467144,24.19469381,12.41283335,11.16408082
000045.jpg,4.505600,0.001261762105,21.25949138,34.25010320,24.59388870,24.59390838,13.12660480,12.08616095
000046.jpg,4.605600,0.001477623655,21.71126155,34.28346743,25.29132702,25.29134258,14.47401973,13.80809398
