实验编号,照片,时间/s,点数,平均exx,平均eyy,平均exy,X向力/N,Y向力/N,边界σx/MPa,边界σy/MPa,等效应力/MPa,等效塑性应变,X虚场系数/N每MPa,Y虚场系数/N每MPa,阶段1内部虚功X/N,阶段1外部虚功X/N,阶段1残差X/N,阶段1内部虚功Y/N,阶段1外部虚功Y/N,阶段1残差Y/N,阶段2模型等效应力/MPa,阶段2内部虚功X/N,阶段2残差X/N,阶段2内部虚功Y/N,阶段2残差Y/N
S17_XY_20,000003.jpg,0.050000,10403,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.00000000
S17_XY_20,000004.jpg,0.070300,10403,0.000907775161,0.0009707149861,4.061712967e-05,293.95000000,285.95000000,10.63547881,10.18487571,10.41748880,0.001002743019,0.04216767726,0.04154972734,190.57805733,293.95000000,-103.37194267,187.78521450,285.95000000,-98.16478550,,0.00000000,-293.95000000,0.00000000,-285.95000000
S17_XY_20,000005.jpg,0.090500,10403,0.002207475536,0.002246063828,2.249043545e-05,420.95000000,415.95000000,15.23049773,14.81517416,15.02714111,0.0003039425663,0.09885958806,0.09963589279,446.79881526,420.95000000,25.84881526,450.30734735,415.95000000,34.35734735,,0.00000000,-420.95000000,0.00000000,-415.95000000
S17_XY_20,000006.jpg,0.110800,10403,0.003176383351,0.003525128809,-1.273392291e-05,680.45000000,666.95000000,24.61953243,23.75521194,24.19895164,5.300365823e-05,0.1516814943,0.1469605303,685.52897357,680.45000000,5.07897357,664.19243814,666.95000000,-2.75756186,,0.00000000,-680.45000000,0.00000000,-666.95000000
S17_XY_20,000007.jpg,0.131100,10403,0.004445853504,0.004838833413,-2.52366625e-05,941.95000000,917.95000000,34.08092964,32.69524971,33.40964852,6.042472389e-05,0.2092423852,0.2045289774,945.67711303,941.95000000,3.72711303,924.37472783,917.95000000,6.42472783,,0.00000000,-941.95000000,0.00000000,-917.95000000
S17_XY_20,000008.jpg,0.151400,10403,0.005633616168,0.006098038931,-5.983456695e-05,1186.95000000,1157.45000000,42.94533621,41.22568417,42.11185190,0.0001197606469,0.2640650819,0.2587603397,1193.44990285,1186.95000000,6.49990285,1169.47496409,1157.45000000,12.02496409,,0.00000000,-1186.95000000,0.00000000,-1157.45000000
S17_XY_20,000009.jpg,0.171600,10403,0.006942581082,0.007405745266,-0.0001232837643,1409.95000000,1379.45000000,51.01375524,49.13280921,50.09977107,0.0005228930584,0.3219093869,0.3175456014,1454.87894017,1409.95000000,44.92894017,1435.15668313,1379.45000000,55.70668313,,0.00000000,-1409.95000000,0.00000000,-1379.45000000
S17_XY_20,000010.jpg,0.191900,10403,0.008213196866,0.008789140152,-0.0002163801788,1607.45000000,1569.95000000,58.15955237,55.91797733,57.07178979,0.001253382084,0.3817254254,0.3760052745,1725.21928499,1607.45000000,117.76928499,1699.36689492,1569.95000000,129.41689492,,0.00000000,-1607.45000000,0.00000000,-1569.95000000
S17_XY_20,000011.jpg,0.212200,10403,0.009638071037,0.01027980631,-0.0002381956166,1698.58636400,1658.31363600,61.45698006,59.06528507,60.29671842,0.003262996855,0.44685188,0.4408188131,2019.56021145,1698.58636400,320.97384745,1992.29358848,1658.31363600,333.97995248,,0.00000000,-1698.58636400,0.00000000,-1658.31363600
S17_XY_20,000012.jpg,0.232500,10403,0.01123877084,0.01199027002,-0.0003266532731,1634.45000000,1589.45000000,59.13644616,56.61252209,57.91574533,0.007232111428,0.5211678548,0.5140694187,2355.43344495,1634.45000000,720.98344495,2323.35185437,1589.45000000,733.90185437,,0.00000000,-1634.45000000,0.00000000,-1589.45000000
S17_XY_20,000013.jpg,0.252700,10403,0.01283761751,0.01374303163,-0.0003276748053,943.95000000,889.45000000,34.15329215,31.68014582,32.98632638,0.01748094483,0.5968218357,0.5877776876,2697.35383634,943.95000000,1753.40383634,2656.47854315,889.45000000,1767.02854315,,0.00000000,-943.95000000,0.00000000,-889.45000000
S17_XY_20,000014.jpg,0.273000,10403,0.01476198731,0.01587757205,-0.0003709255984,190.95000000,159.45000000,6.90880993,5.67923914,6.38346521,0.02890511828,0.6886802911,0.6767981532,3112.51082654,190.95000000,2921.56082654,3058.80915531,159.45000000,2899.35915531,,0.00000000,-190.95000000,0.00000000,-159.45000000
