照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000003.jpg,0.050000,0.00000000,0.00000000,0.00000000
000004.jpg,0.070000,0.72322114,0.74241563,0.73300689
000005.jpg,0.090000,1.72980519,1.69518858,1.71275927
000006.jpg,0.110100,2.77437354,2.74137064,2.75802019
000007.jpg,0.130100,3.87591835,3.82491635,3.85067068
000008.jpg,0.150100,4.38870645,4.36668920,4.37773935
000009.jpg,0.170100,5.54722771,5.46891674,5.50848973
000010.jpg,0.190200,6.66776467,6.60850791,6.63833465
000011.jpg,0.210200,7.82628593,7.71073544,7.76915518
000012.jpg,0.230200,8.98480719,8.83164480,8.90921345
000013.jpg,0.250200,9.66244717,9.49372859,9.57920231
000014.jpg,0.270300,10.65611655,10.49432700,10.57614994
000015.jpg,0.290300,11.85262212,11.59655453,11.72668535
000016.jpg,0.310300,12.99215123,12.71746389,12.85700849
000017.jpg,0.330300,14.15067249,13.81969142,13.98811909
000018.jpg,0.350400,15.29020160,14.92191895,15.10942689
000019.jpg,0.370400,15.82198185,15.46369180,15.64591393
000020.jpg,0.390400,16.96151096,16.56591933,16.76721548
000021.jpg,0.410400,18.10104007,17.66814686,17.88852232
000022.jpg,0.430500,19.22157703,18.77037440,18.99999424
000023.jpg,0.450500,20.38009829,19.85392010,20.12216953
000024.jpg,0.470500,21.17062762,20.65006465,20.91520535
000025.jpg,0.490500,21.99443120,21.44187502,21.72342430
000026.jpg,0.510600,23.13396031,22.54410255,22.84474350
000027.jpg,0.530600,24.23550511,23.59028462,23.91942250
000028.jpg,0.550600,25.31805777,24.65514850,24.99319753
000029.jpg,0.570600,26.38161827,25.70133056,26.04813781
000030.jpg,0.590600,26.89440637,26.20573977,26.55677082
000031.jpg,0.610700,27.95796687,27.25192184,27.61171540
000032.jpg,0.630700,29.00253522,28.24205843,28.62987285
000033.jpg,0.650700,30.04710358,29.26955867,29.66597440
000034.jpg,0.670700,31.03469547,30.25969527,30.65454376
000035.jpg,0.690800,31.89891435,31.15149075,31.53184703
000036.jpg,0.710800,32.51608331,31.75424107,32.14193448
000037.jpg,0.730800,33.46569091,32.74437767,33.11092742
000038.jpg,0.750800,34.39630635,33.71583244,34.06116771
000039.jpg,0.770900,35.32692179,34.64992357,34.99333460
000040.jpg,0.790900,36.21955292,35.58401470,35.90600246
000041.jpg,0.810900,36.65637241,36.05106026,36.35749570
000042.jpg,0.830900,37.58698785,37.00383321,37.29882972
000043.jpg,0.851000,38.49861114,37.88187887,38.19397967
000044.jpg,0.871000,39.41023443,38.77860635,39.09824704
000045.jpg,0.891000,40.30286557,39.65665201,39.98367550
000046.jpg,0.911000,41.15751240,40.53469767,40.84966610
000047.jpg,0.931100,41.57533974,40.94569777,41.26412176
000048.jpg,0.951100,42.44897872,41.78637979,42.12158810
000049.jpg,0.971100,43.28463340,42.60837998,42.95049972
000050.jpg,0.991100,44.08230378,43.41169835,43.75085583
000051.jpg,1.011200,44.87997416,44.17765307,44.53296737
000052.jpg,1.031200,45.30767742,44.60165572,44.95882445
000053.jpg,1.051200,46.00051112,45.27988060,45.64446253
000054.jpg,1.071200,46.74120504,46.00847168,46.37917967
000055.jpg,1.091200,47.48189896,46.71838094,47.10478111
000056.jpg,1.111300,48.16561643,47.39092655,47.78298164
000057.jpg,1.131300,48.81134959,48.02610852,48.42350437
000058.jpg,1.151300,49.13421617,48.34369950,48.74376574
000059.jpg,1.171300,49.74196503,48.94151782,49.34661066
000060.jpg,1.191400,50.34971389,49.52065432,49.94034558
000061.jpg,1.211400,50.90048629,50.06242718,50.48667380
000062.jpg,1.231400,51.43226654,50.58551821,51.01416312
000063.jpg,1.251400,51.75817187,50.91656011,51.34253966
000064.jpg,1.271500,52.13497616,51.27674564,51.71120257
000065.jpg,1.291500,52.57179565,51.72510939,52.15360734
000066.jpg,1.311500,52.98962299,52.11742766,52.55895326
000067.jpg,1.331500,53.35047388,52.49106411,52.92600240
000068.jpg,1.351600,53.63535615,52.80865509,53.22682086
000069.jpg,1.371600,53.76830122,52.97679150,53.37694793
