照片,时间/s,等效塑性应变,等效应力/MPa,Linear模型应力/MPa,Ludwik模型应力/MPa,Swift模型应力/MPa,Voce I（通用）模型应力/MPa,Voce II（通用）模型应力/MPa
000003.jpg,0.050000,0,0.00000000,,,,,
000004.jpg,0.070000,0.0001232939451,0.73300689,,,,,
000005.jpg,0.090000,0.0001554148355,1.71275927,,,,,
000006.jpg,0.110100,0.0001063029128,2.75802019,,,,,
000007.jpg,0.130100,0.0002160286957,3.85067068,,,,,
000008.jpg,0.150100,0.0002755641207,4.37773935,,,,,
000009.jpg,0.170100,0.0003817889961,5.50848973,,,,,
000010.jpg,0.190200,0.0003814063814,6.63833465,,,,,
000011.jpg,0.210200,0.0002718880441,7.76915518,,,,,
000012.jpg,0.230200,0.0003462577872,8.90921345,,,,,
000013.jpg,0.250200,0.0005010050744,9.57920231,,,,,
000014.jpg,0.270300,0.0004085920551,10.57614994,,,,,
000015.jpg,0.290300,0.0004563345879,11.72668535,,,,,
000016.jpg,0.310300,0.0004126317372,12.85700849,,,,,
000017.jpg,0.330300,0.0004502228979,13.98811909,,,,,
000018.jpg,0.350400,0.0003691989179,15.10942689,,,,,
000019.jpg,0.370400,0.0005158195738,15.64591393,,,,,
000020.jpg,0.390400,0.0006683662156,16.76721548,,,,,
000021.jpg,0.410400,0.0006157389955,17.88852232,,,,,
000022.jpg,0.430500,0.0005505711647,18.99999424,,,,,
000023.jpg,0.450500,0.0005333617323,20.12216953,,,,,
000024.jpg,0.470500,0.0006904755846,20.91520535,,,,,
000025.jpg,0.490500,0.0007484733859,21.72342430,,,,,
000026.jpg,0.510600,0.0007938593909,22.84474350,,,,,
000027.jpg,0.530600,0.0007366375132,23.91942250,,,,,
000028.jpg,0.550600,0.0008038894885,24.99319753,,,,,
000029.jpg,0.570600,0.0007248239731,26.04813781,,,,,
000030.jpg,0.590600,0.0009221452365,26.55677082,,,,,
000031.jpg,0.610700,0.0009198903295,27.61171540,,,,,
000032.jpg,0.630700,0.0009311776254,28.62987285,,,,,
000033.jpg,0.650700,0.00102695095,29.66597440,44.41756859,39.41667150,42.04872627,32.67822414,33.00089999
000034.jpg,0.670700,0.001046584324,30.65454376,44.42998216,39.49765392,42.07307612,32.86425501,33.18361570
000035.jpg,0.690800,0.001061678436,31.53184703,44.43952569,39.55912443,42.09177478,33.00628201,33.32308707
000036.jpg,0.710800,0.001198072172,32.14193448,44.52576317,40.08622257,42.25990158,34.25139883,34.54487129
000037.jpg,0.730800,0.001252624063,33.11092742,44.56025462,40.28418184,42.32672732,34.73062468,35.01466379
000038.jpg,0.750800,0.001364320666,34.06116771,44.63087689,40.66972406,42.46282154,35.67972158,35.94431304
000039.jpg,0.770900,0.00142300257,34.99333460,44.66797961,40.86264958,42.53393093,36.16155957,36.41588037
000040.jpg,0.790900,0.001421992097,35.90600246,44.66734072,40.85937961,42.53270871,36.15335821,36.40785611
000041.jpg,0.810900,0.001575919928,36.35749570,44.76466447,41.33818130,42.71799075,37.36513188,37.59259304
000042.jpg,0.830900,0.001682731512,37.29882972,44.83219808,41.64972738,42.84550764,38.16306246,38.37174036
000043.jpg,0.851000,0.001771844506,38.19397967,44.88854144,41.89824395,42.95124753,38.80309799,38.99612929
000044.jpg,0.871000,0.001831361333,39.09824704,44.92617206,42.05893186,43.02154527,39.21799264,39.40059916
000045.jpg,0.891000,0.001910886373,39.98367550,44.97645325,42.26750206,43.11507529,39.75712258,39.92584488
000046.jpg,0.911000,0.001920280482,40.84966610,44.98239285,42.29169773,43.12609376,39.81967991,39.98676615
000047.jpg,0.931100,0.002132157064,41.26412176,45.11635577,42.81473016,43.37294716,41.16974216,41.30022133
000048.jpg,0.951100,0.002172476424,42.12158810,45.14184844,42.90970050,43.41956716,41.41390585,41.53749401
000049.jpg,0.971100,0.002380216869,42.95049972,45.27319621,43.37865172,43.65801007,42.61117744,42.69973461
000050.jpg,0.991100,0.002442803331,43.75085583,45.31276767,43.51376076,43.72927683,42.95274795,43.03092507
000051.jpg,1.011200,0.002471177211,44.53296737,45.33070758,43.57413971,43.76150032,43.10479676,43.17829700
000052.jpg,1.031200,0.002674729484,44.95882445,45.45940730,43.99238460,43.99112456,44.14626905,44.18678649
000053.jpg,1.051200,0.002891860811,45.64446253,45.59669264,44.41242996,44.23314002,45.16732833,45.17386348
000054.jpg,1.071200,0.002950238689,46.37917967,45.63360314,44.52122030,44.29770418,45.42700947,45.42463589
000055.jpg,1.091200,0.003254682963,47.10478111,45.82609371,45.06322781,44.63103876,46.68692778,46.63976517
000056.jpg,1.111300,0.003280838878,47.78298164,45.84263127,45.10795181,44.65941740,46.78816184,46.73728656
000057.jpg,1.131300,0.003477564081,48.42350437,45.96701445,45.43585181,44.87157577,47.51645268,47.43836450
000058.jpg,1.151300,0.0036493561,48.74376574,46.07563316,45.71075019,45.05502213,48.10707123,48.00626549
000059.jpg,1.171300,0.003827949879,49.34661066,46.18855241,45.98620292,45.24397225,48.67939718,48.55602849
000060.jpg,1.191400,0.00396359432,49.94034558,46.27431614,46.18889800,45.38630877,49.08748712,48.94770687
000061.jpg,1.211400,0.004089588736,50.48667380,46.35397846,46.37246072,45.51762823,49.44715168,49.29269095
000062.jpg,1.231400,0.004398659928,51.01416312,46.54939448,46.80504503,45.83621339,50.25610547,50.06793045
000063.jpg,1.251400,0.004592352125,51.34253966,46.67185999,47.06438609,46.03336363,50.71424272,50.50659252
000064.jpg,1.271500,0.004772473475,51.71120257,46.78574507,47.29813278,46.21501666,51.10948044,50.88484779
000065.jpg,1.291500,0.005027628503,52.15360734,46.94707160,47.61793421,46.46963242,51.62264999,51.37578886
000066.jpg,1.311500,0.00517955773,52.55895326,47.04313169,47.80248471,46.61976649,51.90416449,51.64506545
000067.jpg,1.331500,0.005450770624,52.92600240,47.21461110,48.12185567,46.88511066,52.36595253,52.08680832
000068.jpg,1.351600,0.005701621133,53.22682086,47.37321601,48.40657387,47.12757011,52.75056361,52.45487101
000069.jpg,1.371600,0.005801404379,53.37694793,47.43630583,48.51716075,47.22324235,52.89310945,52.59134973
000070.jpg,1.391600,0.006196189948,53.65953121,47.68591637,48.94088487,47.59756557,53.40430222,53.08129744
000071.jpg,1.411600,0.006374564363,53.89530704,47.79869692,49.12556595,47.76454999,53.61000839,53.27879188
000072.jpg,1.431700,0.006736601255,54.10312930,48.02760150,49.48854073,48.09950086,53.98486337,53.63947954
000073.jpg,1.451700,0.007016669052,54.26296026,48.20467959,49.75920162,48.35507149,54.23970179,53.88552988
000074.jpg,1.471700,0.007386737331,54.37877741,48.43866216,50.10441071,48.68819249,54.53536600,54.17228159
000075.jpg,1.491700,0.00766091565,54.46106843,48.61201652,50.35171118,48.93173989,54.72777615,54.35993574
000076.jpg,1.511800,0.007910586259,54.59294075,48.76987541,50.57106868,49.15117670,54.88549177,54.51459451
000077.jpg,1.531800,0.008292451479,54.67741602,49.01131682,50.89651618,49.48260969,55.09812260,54.72473110
000078.jpg,1.551800,0.008561406485,54.76249087,49.18136864,51.11889964,49.71308969,55.22948369,54.85580260
000079.jpg,1.571800,0.008947127886,54.82812721,49.42524819,51.42865906,50.03950709,55.39476839,55.02260616
000080.jpg,1.591800,0.009261118447,54.85609058,49.62377458,51.67333730,50.30173931,55.51165203,55.14226980
000081.jpg,1.611900,0.009677512891,54.91260726,49.88704774,51.98818510,50.64483488,55.64559240,55.28182652
000082.jpg,1.631900,0.009994694298,54.97883839,50.08759160,52.22111331,50.90272654,55.73361125,55.37546225
000083.jpg,1.651900,0.01026034126,55.03535509,50.25555184,52.41187215,51.11648403,55.79917979,55.44654482
000084.jpg,1.671900,0.01071046027,55.08275220,50.54014798,52.72662316,51.47416985,55.89550237,55.55373566
000085.jpg,1.692000,0.01105435892,55.12775862,50.75758432,52.96032904,51.74373810,55.95822033,55.62592209
000086.jpg,1.712000,0.01139353273,55.15751287,50.97203329,53.18542382,52.00655284,56.01215261,55.69007525
000087.jpg,1.732000,0.01182981961,55.21402955,51.24788381,53.46753110,52.34029745,56.07156014,55.76378107
000088.jpg,1.752000,0.01218879746,55.28026077,51.47485425,53.69372491,52.61136727,56.11321403,55.81806425
000089.jpg,1.772100,0.01252478981,55.34649683,51.68729168,53.90085197,52.86227315,56.14712252,55.86442214
000090.jpg,1.792100,0.01289955166,55.40301353,51.92424185,54.12691048,53.13901578,56.17992276,55.91174947
000091.jpg,1.812100,0.01326589771,55.43417025,52.15587097,54.34307455,53.40645477,56.20755474,55.95416556
000092.jpg,1.832100,0.01361483669,55.49720804,52.37649415,54.54475073,53.65842317,56.23035296,55.99152265
000093.jpg,1.852200,0.01398315413,55.56344895,52.60936972,54.75337091,53.92153723,56.25119355,56.02818017
000094.jpg,1.872200,0.01440894984,55.63880456,52.87858700,54.98935895,54.22216697,56.27174393,56.06752419
000095.jpg,1.892200,0.01479464641,55.70443597,53.12245085,55.19854948,54.49129479,56.28755835,56.10077603
000096.jpg,1.912200,0.01512792639,55.77007213,53.33317334,55.37596789,54.72147029,56.29938475,56.12794920
000097.jpg,1.932300,0.01557031796,55.80774993,53.61288366,55.60689731,55.02368768,56.31282792,56.16211497
000098.jpg,1.952300,0.01601248138,55.89282499,53.89244973,55.83273226,55.32207438,56.32407899,56.19442780
000099.jpg,1.972300,0.01634593758,55.95846112,54.10328363,55.99990151,55.54473717,56.33133693,56.21777113
000100.jpg,1.992300,0.01688733317,56.02410197,54.44559109,56.26582778,55.90204314,56.34123571,56.25410441
000101.jpg,2.012400,0.01735457433,56.08121401,54.74101303,56.49012302,56.20634320,56.34820990,56.28416461
000102.jpg,2.032400,0.01758509264,56.12699314,54.88676253,56.59907888,56.35512130,56.35119784,56.29862283
000103.jpg,2.052400,0.01804004031,56.19424742,55.17441169,56.81093759,56.64618991,56.35634232,56.32654170
000104.jpg,2.072400,0.01856782672,56.25076413,55.50811449,57.05164128,56.97971067,56.36124471,56.35806282
000105.jpg,2.092400,0.01910041663,56.31640019,55.84485439,57.28927321,57.31188634,56.36524372,56.38910385
000106.jpg,2.112500,0.01949501176,56.36379754,56.09434453,57.46207729,57.55523835,56.36770148,56.41169596
000107.jpg,2.132500,0.01992573989,56.42943358,56.36668042,57.64766905,57.81826629,56.36997530,56.43602981
000108.jpg,2.152500,0.02045593556,56.45739652,56.70190652,57.87194056,58.13839420,56.37228486,56.46559398
000109.jpg,2.172500,0.02105161426,56.53275210,57.07853549,58.11865401,58.49340737,56.37435599,56.49839583
000110.jpg,2.192600,0.02149374129,56.57042989,57.35807855,58.29833070,58.75381536,56.37560292,56.52251431
000111.jpg,2.212600,0.02208960301,56.62636976,57.73482324,58.53605214,59.10072770,56.37696891,56.55477402
000112.jpg,2.232600,0.02256971183,56.65434671,58.03838099,58.72404074,59.37696231,56.37785508,56.58060079
000113.jpg,2.252600,0.02319566516,56.69109326,58.43415166,58.96458284,59.73283679,56.37878148,56.61409696
000114.jpg,2.272700,0.02376208693,56.73884489,58.79228240,59.17799398,60.05081714,56.37944109,56.64427097
000115.jpg,2.292700,0.0242368102,56.78621879,59.09243504,59.35387047,60.31444023,56.37988940,56.66948082
000116.jpg,2.312700,0.02484330915,56.84218651,59.47590531,59.57476359,60.64752569,56.38035089,56.70160471
000117.jpg,2.332700,0.02551746415,56.87933397,59.90215239,59.81549563,61.01301623,56.38074784,56.73722531
000118.jpg,2.352800,0.02617615683,56.90733407,60.31862312,60.04603955,61.36544274,56.38104464,56.77196137
000119.jpg,2.372800,0.02689054031,56.92617287,60.77030540,60.29109895,61.74260421,56.38128913,56.80957735
000120.jpg,2.392800,0.02748941121,56.96385047,61.14895270,60.49271445,62.05484559,56.38144646,56.84107624
000121.jpg,2.412800,0.02818198968,57.01120569,61.58684835,60.72171913,62.41160580,56.38158698,56.87747391
000122.jpg,2.432900,0.02898313948,57.03920567,62.09339026,60.98130023,62.81866878,56.38170756,56.91954733
000123.jpg,2.452900,0.02967901318,57.05804447,62.53336938,61.20234130,63.16750159,56.38178504,56.95607266
000124.jpg,2.472900,0.03049204102,57.07461961,63.04742140,61.45561612,63.56966541,56.38185199,56.99873063
000125.jpg,2.492900,0.0312451906,57.09572207,63.52361427,61.68565690,63.93718608,56.38189726,57.03823523
000126.jpg,2.513000,0.03342522796,52.07043076,,,,,
000127.jpg,2.533000,0.04046592129,29.06492898,,,,,
000128.jpg,2.553000,0.04758752535,5.91538837,,,,,
