照片,时间/s,等效塑性应变,等效应力/MPa,Linear模型应力/MPa,Ludwik模型应力/MPa,Swift模型应力/MPa,Voce I（通用）模型应力/MPa,Voce II（通用）模型应力/MPa
000001.jpg,0.105000,0,0.00000000,,,,,
000002.jpg,0.205000,0.0005487649839,0.63368020,,,,,
000003.jpg,0.305000,0.0006572866065,1.12198457,,,,,
000004.jpg,0.405000,0.0009484423991,1.61028393,,,,,
000005.jpg,0.505100,0.00112539768,2.13497188,35.59892966,25.50673108,25.50675458,12.88197513,12.52020974
000006.jpg,0.605100,0.001335839074,2.65952549,35.63320291,26.27932591,26.27934429,14.54383094,14.48890813
000007.jpg,0.705100,0.001415672212,3.14796887,35.64620482,26.54619953,26.54621634,15.15688227,15.20861258
000008.jpg,0.805100,0.00143983997,3.68162622,35.65014087,26.62453650,26.62455287,15.34062180,15.42362183
000009.jpg,0.905100,0.001466251506,4.22040266,35.65444235,26.70891414,26.70893004,15.54044575,15.65708669
000010.jpg,1.005100,0.001548944346,4.79423996,35.66791001,26.96521775,26.96523229,16.15955776,16.37799234
000011.jpg,1.105100,0.00147866936,5.29175593,35.65646477,26.74815262,26.74816831,15.63404630,15.76631360
000012.jpg,1.205200,0.001450294769,5.79833839,35.65184358,26.65808837,26.65810456,15.41984194,15.51622461
000013.jpg,1.305200,0.00145451122,6.29575157,35.65253029,26.67156343,26.67157954,15.45174661,15.55350197
000014.jpg,1.405200,0.00145488715,6.82948715,35.65259151,26.67276327,26.67277938,15.45458990,15.55682360
000015.jpg,1.505200,0.001372007295,7.33601810,35.63909340,26.40181998,26.40183764,14.82273898,14.81677963
000016.jpg,1.605200,0.001483822629,7.86084643,35.65730405,26.76435628,26.76437189,15.67282389,15.81154036
000017.jpg,1.705200,0.001360929588,8.36717286,35.63728924,26.36458837,26.36460625,14.73752025,14.71667842
000018.jpg,1.805200,0.001334572577,8.87370595,35.63299664,26.27498714,26.27500555,14.53402926,14.47737235
000019.jpg,1.905300,0.001339220656,9.38023951,35.63375365,26.29089390,26.29091222,14.56999000,14.51969075
000020.jpg,2.005300,0.001334776603,9.89220692,35.63302987,26.27568632,26.27570473,14.53560842,14.47923096
