样本末帧,E/MPa,虚功均方根残差/N,样本点数,Y/MPa,H/MPa,拟合均方根残差/MPa
000003.jpg,9611.85138008889,16.676164069591007,4,,,
000004.jpg,6557.4257087884835,15.011432596339311,6,,,
000005.jpg,6081.551052444261,13.28118480793448,8,,,
000006.jpg,5993.816298191695,12.003378808055178,10,,,
000007.jpg,5774.168816482697,11.29753147570344,12,,,
000008.jpg,5332.700150108035,12.406904771140226,14,,,
000009.jpg,5082.2094332841025,12.684996077052892,16,,,
000010.jpg,4916.721470874631,12.767987555511647,18,,,
000011.jpg,4781.377827763951,12.844584371277762,20,,,
000012.jpg,4585.88259015818,14.166805801174535,22,,,
000013.jpg,4514.817568921351,13.944579272954238,24,,,
000014.jpg,4375.012457911786,15.073444370365355,26,,,
000015.jpg,4288.041515759785,15.393096717920235,28,,,
000016.jpg,4198.699610728076,15.979038805619469,30,,,
000017.jpg,4108.050296959844,16.848020853677156,32,,,
000018.jpg,4045.1881219706606,17.212867838576148,34,,,
000019.jpg,3974.813382133627,17.896250072643472,36,,,
000020.jpg,3900.6053498448505,18.90319879668736,38,,,
000021.jpg,3837.9894449960407,19.656742008234076,40,,,
000022.jpg,3786.1370540735047,20.19127860398192,42,,,
000023.jpg,3736.731376466036,20.778866165229925,44,,,
000024.jpg,3690.8848551246742,21.34322050063336,46,,,
000025.jpg,3650.239979306855,21.820040542512306,48,,,
000026.jpg,3614.808404269574,22.16396143145754,50,,,
000027.jpg,3580.7362530379273,22.56749556271451,52,,,
000028.jpg,3544.5670683774533,23.15731766740502,54,,,
000029.jpg,3511.7537346472204,23.677693847752618,56,,,
000030.jpg,3470.8889109177962,24.783008197434242,58,,,
000031.jpg,3446.138125348436,25.029607579943267,60,,,
000032.jpg,3422.9463795640986,25.25895513645562,62,,,
000033.jpg,3400.409240923964,25.53066033115208,64,,,
000034.jpg,3379.5977120551115,25.770761360598485,66,,,
000035.jpg,3355.9751330969743,26.249384160445622,68,,,
000036.jpg,3330.6917492341977,26.921166528480377,70,,,
000037.jpg,3313.8835708421507,27.078727653910107,72,,,
000038.jpg,3293.7541789775632,27.518162384221302,74,,,
000039.jpg,3274.9313625994832,27.906460535881344,76,,,
000040.jpg,3256.8062470792393,28.305029190896686,78,,,
000041.jpg,3238.094079458834,28.79898904755226,80,,,
000042.jpg,3221.413268675937,29.204389580339637,82,,,
000049.jpg,,,2,106.23334753656322,-75746.65241446302,2.5121479338940403e-15
000050.jpg,,,3,22.236936425071043,4189.742869959192,0.21533582158739883
000051.jpg,,,4,20.78387172319694,5572.324290428799,0.25453001172569917
000052.jpg,,,5,20.045659428837002,6246.542541364165,0.24153189006777184
000053.jpg,,,6,19.557813449723184,6681.415835312587,0.23035280013762585
000054.jpg,,,7,18.966217743867528,7201.153537959821,0.2398731872754886
000055.jpg,,,8,19.270043176569672,6943.562333988183,0.23075132071184296
000056.jpg,,,9,19.29384222500321,6923.688638469341,0.2176262268656287
000057.jpg,,,10,20.505463166827,5954.775787872549,0.3312514366756141
000058.jpg,,,11,20.626750424928737,5858.03727812241,0.31858563300187115
000059.jpg,,,12,20.426924717903965,6017.489063682411,0.3193148797103137
000060.jpg,,,13,20.439863071134567,6007.5599138730895,0.3068420646916359
000061.jpg,,,14,20.694948659453914,5818.574580221311,0.3163950227570659
000062.jpg,,,15,20.780964359356467,5755.5915820291075,0.3091330197893821
000063.jpg,,,16,20.678169364154712,5830.746923643704,0.30713287111022186
000064.jpg,,,17,20.772474249315476,5764.5336019351425,0.30370693249703207
000065.jpg,,,18,21.103933081788085,5540.649574969857,0.3549279905641717
000066.jpg,,,19,21.258668637218754,5437.066055613761,0.3626313280308143
000067.jpg,,,20,21.30418341043221,5406.857781990044,0.35544787284564194
000068.jpg,,,21,21.34125764925667,5382.726233641086,0.34841418058815665
000069.jpg,,,22,21.358658901446383,5371.577052382902,0.3408057568087287
