照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000001.jpg,0.102000,0.00000000,0.00000000,0.00000000
000002.jpg,0.202500,0.75413583,0.69162121,0.72490304
000003.jpg,0.303000,1.35806366,1.31545451,1.33726830
000004.jpg,0.403500,1.98210211,1.86419128,1.92585577
000005.jpg,0.504100,2.60614055,2.46969393,2.54066668
000006.jpg,0.604600,3.19117660,2.99950875,3.09979010
000007.jpg,0.705100,3.79571384,3.56716748,3.68675744
000008.jpg,0.805600,4.38074988,4.17267013,4.28050480
000009.jpg,0.906100,5.00966363,4.74742460,4.88382735
000010.jpg,1.006600,5.64832797,5.36475347,5.51201429
000011.jpg,1.107200,6.21386281,5.93241220,6.07802682
000012.jpg,1.207700,6.77939765,6.51899290,6.65301855
000013.jpg,1.308200,7.38393489,7.04880771,7.22220517
000014.jpg,1.408700,7.96897094,7.59754449,7.78990172
000015.jpg,1.509200,8.55400698,8.16520322,8.36638355
000016.jpg,1.609700,9.11954182,8.71394000,8.92365693
000017.jpg,1.710300,9.80208387,9.39513048,9.60507511
000018.jpg,1.810800,10.36761871,9.90602334,10.14470025
000019.jpg,1.911300,10.95265475,10.43583816,10.70360835
000020.jpg,2.011800,11.51818959,10.96565298,11.25210054
000021.jpg,2.112300,12.08372443,11.53331171,11.81813499
000022.jpg,2.212800,12.64925927,12.04420457,12.35784599
000023.jpg,2.313300,13.21479411,12.59294135,12.91510077
000024.jpg,2.413900,13.82512075,13.20672235,13.52652756
000025.jpg,2.514400,14.40436740,13.70933685,14.06973320
000026.jpg,2.614900,15.00890464,14.25807363,14.64792868
000027.jpg,2.715400,15.55493828,14.78788845,15.18594935
000028.jpg,2.815900,16.10097192,15.29878131,15.71523967
000029.jpg,2.916400,16.64700556,15.82859613,16.25326188
000030.jpg,3.017000,17.19303919,16.35841094,16.79128955
000031.jpg,3.117500,17.77685641,16.89591281,17.35316333
000032.jpg,3.218000,18.36311128,17.45588450,17.92672335
000033.jpg,3.318500,18.90914492,17.98569931,18.46474875
000034.jpg,3.419000,19.45517856,18.47767022,18.98530737
