实验编号,照片,时间/s,点数,参考帧点数,当前帧点数,匹配点数,参考帧缺失点数,当前帧新增点数,平均exx,平均eyy,平均exy,X向力/N,Y向力/N,边界σx/MPa,边界σy/MPa,等效应力/MPa,等效塑性应变,X虚场系数/N每MPa,Y虚场系数/N每MPa,基线X虚场系数/N每MPa,基线Y虚场系数/N每MPa,积分面积/mm2,面积比,有效三角形数,排除点数,积分方法,基线方法,逐点/基线系数差异X/%,逐点/基线系数差异Y/%,阶段1内部虚功X/N,阶段1外部虚功X/N,阶段1残差X/N,阶段1内部虚功Y/N,阶段1外部虚功Y/N,阶段1残差Y/N,阶段2模型等效应力/MPa,阶段2内部虚功X/N,阶段2残差X/N,阶段2内部虚功Y/N,阶段2残差Y/N
S17_XY_20,000003.jpg,0.050000,10403,10403,10403,10403,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.00000000
S17_XY_20,000004.jpg,0.070300,10403,10403,10403,10403,0,0,0.000907775161,0.0009707149861,4.061712967e-05,293.95000000,285.95000000,11.20270435,10.68413432,10.95263041,0.001000967248,0.03981712003,0.03939876081,0.04003260499,0.03960815129,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,-0.53827365,-0.52865504,189.31225977,293.95000000,-104.63774023,187.32315233,285.95000000,-98.62684767,,0.00000000,-293.95000000,0.00000000,-285.95000000
S17_XY_20,000005.jpg,0.090500,10403,10403,10403,10403,0,0,0.002207475536,0.002246063828,2.249043545e-05,420.95000000,415.95000000,16.04279094,15.54140818,15.79806783,0.0003089807379,0.09410085744,0.09478918563,0.0938540393,0.09498000995,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,0.26298084,-0.20090998,447.40669228,420.95000000,26.45669228,450.67937916,415.95000000,34.72937916,,0.00000000,-420.95000000,0.00000000,-415.95000000
S17_XY_20,000006.jpg,0.110800,10403,10403,10403,10403,0,0,0.003176383351,0.003525128809,-1.273392291e-05,680.45000000,666.95000000,25.93257416,24.91968311,25.44125545,3.921457683e-05,0.1437088562,0.1398817757,0.1440014186,0.1400932158,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,-0.20316632,-0.15092812,683.27011848,680.45000000,2.82011848,665.07409497,666.95000000,-1.87590503,,0.00000000,-680.45000000,0.00000000,-666.95000000
S17_XY_20,000007.jpg,0.131100,10403,10403,10403,10403,0,0,0.004445853504,0.004838833413,-2.52366625e-05,941.95000000,917.95000000,35.89857922,34.29795803,35.12563098,7.577729643e-05,0.1985173921,0.1949543864,0.1986478341,0.1949715486,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,-0.06566495,-0.00880239,943.85972853,941.95000000,1.90972853,926.91926033,917.95000000,8.96926033,,0.00000000,-941.95000000,0.00000000,-917.95000000
S17_XY_20,000008.jpg,0.151400,10403,10403,10403,10403,0,0,0.005633616168,0.006098038931,-5.983456695e-05,1186.95000000,1157.45000000,45.23575414,43.24655104,44.27467989,0.0001376384182,0.2505953247,0.2464881853,0.250694698,0.246668735,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,-0.03963918,-0.07319522,1191.46656453,1186.95000000,4.51656453,1171.93898823,1157.45000000,14.48898823,,0.00000000,-1186.95000000,0.00000000,-1157.45000000
S17_XY_20,000009.jpg,0.171600,10403,10403,10403,10403,0,0,0.006942581082,0.007405745266,-0.0001232837643,1409.95000000,1379.45000000,53.73448886,51.54128025,52.67214172,0.0005381497623,0.3055684159,0.3025751158,0.3056101775,0.3027070219,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,-0.01366498,-0.04357551,1452.83856004,1409.95000000,42.88856004,1438.60678207,1379.45000000,59.15678207,,0.00000000,-1409.95000000,0.00000000,-1379.45000000
S17_XY_20,000010.jpg,0.191900,10403,10403,10403,10403,0,0,0.008213196866,0.008789140152,-0.0002163801788,1607.45000000,1569.95000000,61.26139516,58.65905465,60.00256414,0.001267474562,0.3625533443,0.3588156989,0.3623975558,0.3584349346,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,0.04298831,0.10622968,1723.77592487,1607.45000000,116.32592487,1706.00512410,1569.95000000,136.05512410,,0.00000000,-1607.45000000,0.00000000,-1569.95000000
S17_XY_20,000011.jpg,0.212200,10403,10403,10403,10403,0,0,0.009638071037,0.01027980631,-0.0002381956166,1698.58636400,1658.31363600,64.73468566,61.96064218,63.39320162,0.003276253694,0.4242679076,0.4204670784,0.4242264683,0.4202198032,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,0.00976820,0.05884427,2017.20054797,1698.58636400,318.61418397,1999.12933730,1658.31363600,340.81570130,,0.00000000,-1698.58636400,0.00000000,-1658.31363600
S17_XY_20,000012.jpg,0.232500,10403,10403,10403,10403,0,0,0.01123877084,0.01199027002,-0.0003266532731,1634.45000000,1589.45000000,62.29038995,59.38764573,60.89093146,0.007244079859,0.4944054783,0.4895627067,0.494779609,0.4900474832,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,-0.07561562,-0.09892441,2350.67273259,1634.45000000,716.22273259,2327.64756044,1589.45000000,738.19756044,,0.00000000,-1634.45000000,0.00000000,-1589.45000000
S17_XY_20,000013.jpg,0.252700,10403,10403,10403,10403,0,0,0.01283761751,0.01374303163,-0.0003276748053,943.95000000,889.45000000,35.97480106,33.23309415,34.68531256,0.01748726517,0.5663921652,0.5604082898,0.5666030086,0.5603114405,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,-0.03721184,0.01728490,2692.93662195,943.95000000,1748.98662195,2664.48602163,889.45000000,1775.03602163,,0.00000000,-943.95000000,0.00000000,-889.45000000
S17_XY_20,000014.jpg,0.273000,10403,10403,10403,10403,0,0,0.01476198731,0.01587757205,-0.0003709255984,190.95000000,159.45000000,7.27727980,5.95763321,6.71541740,0.02890606762,0.6531902764,0.6447056195,0.6538104029,0.6451720713,702.26552897,1.00000000,20400,0,pointwise_triangle,mean_strain_rectangle,-0.09484806,-0.07229882,3105.62208435,190.95000000,2914.67208435,3065.28140754,159.45000000,2905.83140754,,0.00000000,-190.95000000,0.00000000,-159.45000000
