照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000003.jpg,0.050000,0.00000000,0.00000000,0.00000000
000004.jpg,0.070000,0.76382303,0.78881661,0.77662151
000005.jpg,0.090000,1.82691706,1.80113786,1.81416484
000006.jpg,0.110100,2.93012784,2.91270631,2.92145603
000007.jpg,0.130100,4.09351376,4.06397362,4.07882392
000008.jpg,0.150100,4.63508997,4.63960728,4.63735027
000009.jpg,0.170100,5.85865102,5.81072403,5.83483515
000010.jpg,0.190200,7.04209531,7.02153966,7.03184002
000011.jpg,0.210200,8.26565637,8.19265641,8.22939922
000012.jpg,0.230200,9.48921742,9.38362260,9.43686310
000013.jpg,0.250200,10.20490034,10.08708662,10.14650648
000014.jpg,0.270300,11.25435467,11.15022244,11.20265154
000015.jpg,0.290300,12.51803248,12.32133919,12.42085394
000016.jpg,0.310300,13.72153516,13.51230538,13.61812580
000017.jpg,0.330300,14.94509621,14.68342213,14.81599236
000018.jpg,0.350400,16.14859888,15.85453888,16.00359523
000019.jpg,0.370400,16.71023346,16.43017254,16.57197795
000020.jpg,0.390400,17.91373614,17.60128929,17.75957418
000021.jpg,0.410400,19.11723881,18.77240604,18.94717602
000022.jpg,0.430500,20.30068311,19.94352280,20.12448011
000023.jpg,0.450500,21.52424416,21.09479011,21.31276246
000024.jpg,0.470500,22.35915408,21.94069369,22.15288830
000025.jpg,0.490500,23.22920628,22.78199221,23.00885910
000026.jpg,0.510600,24.43270896,23.95310896,24.19647404
000027.jpg,0.530600,25.59609487,25.06467740,25.33456661
000028.jpg,0.550600,26.73942241,26.19609528,26.47194103
000029.jpg,0.570600,27.86269158,27.30766372,27.58936512
000030.jpg,0.590600,28.40426778,27.84359851,28.12812433
000031.jpg,0.610700,29.52753694,28.95516695,29.24555298
000032.jpg,0.630700,30.63074773,30.00718708,30.32377624
000033.jpg,0.650700,31.73395851,31.09890609,31.42124579
000034.jpg,0.670700,32.77699416,32.15092622,32.46848753
000035.jpg,0.690800,33.68973059,33.09845892,33.39802039
000036.jpg,0.710800,34.34154764,33.73888114,34.04421538
000037.jpg,0.730800,35.34446654,34.79090127,35.07096064
000038.jpg,0.750800,36.32732705,35.82307197,36.07784257
000039.jpg,0.770900,37.31018757,36.81554379,37.06534118
000040.jpg,0.790900,38.25293133,37.80801562,38.03242531
000041.jpg,0.810900,38.71427402,38.30425153,38.51089986
000042.jpg,0.830900,39.69713454,39.31657279,39.50822834
000043.jpg,0.851000,40.65993668,40.24949630,40.45627803
000044.jpg,0.871000,41.62273882,41.20226925,41.41410492
000045.jpg,0.891000,42.56548258,42.13519277,42.35197708
