照片,时间/s,等效塑性应变,等效应力/MPa,Linear模型应力/MPa,Ludwik模型应力/MPa,Swift模型应力/MPa,Voce I（通用）模型应力/MPa,Voce II（通用）模型应力/MPa
000003.jpg,0.050000,0,0.00000000,,,,,
000004.jpg,0.070000,0.0001178375406,0.77662151,,,,,
000005.jpg,0.090000,0.0001138486867,1.81416484,,,,,
000006.jpg,0.110100,0.0001408729491,2.92145603,,,,,
000007.jpg,0.130100,0.0001135121354,4.07882392,,,,,
000008.jpg,0.150100,0.0001653721179,4.63735027,,,,,
000009.jpg,0.170100,0.0002133853397,5.83483515,,,,,
000010.jpg,0.190200,0.0001855025607,7.03184002,,,,,
000011.jpg,0.210200,0.000160230748,8.22939922,,,,,
000012.jpg,0.230200,0.0001325592574,9.43686310,,,,,
000013.jpg,0.250200,0.0002017198929,10.14650648,,,,,
000014.jpg,0.270300,0.0001257091962,11.20265154,,,,,
000015.jpg,0.290300,0.0002102133123,12.42085394,,,,,
000016.jpg,0.310300,0.0001218661823,13.61812580,,,,,
000017.jpg,0.330300,0.0001576921696,14.81599236,,,,,
000018.jpg,0.350400,0.0002678089761,16.00359523,,,,,
000019.jpg,0.370400,0.0001559672829,16.57197795,,,,,
000020.jpg,0.390400,0.0001905945222,17.75957418,,,,,
000021.jpg,0.410400,0.0002082769595,18.94717602,,,,,
000022.jpg,0.430500,0.0001894064928,20.12448011,,,,,
000023.jpg,0.450500,0.0002469190536,21.31276246,,,,,
000024.jpg,0.470500,0.0001515765286,22.15288830,,,,,
000025.jpg,0.490500,0.0001385336491,23.00885910,,,,,
000026.jpg,0.510600,0.000148753238,24.19647404,,,,,
000027.jpg,0.530600,0.000193120685,25.33456661,,,,,
000028.jpg,0.550600,0.0002268464194,26.47194103,,,,,
000029.jpg,0.570600,0.0002129525495,27.58936512,,,,,
000030.jpg,0.590600,0.0001799078695,28.12812433,,,,,
000031.jpg,0.610700,0.0001809790641,29.24555298,,,,,
000032.jpg,0.630700,0.0002075688089,30.32377624,,,,,
000033.jpg,0.650700,0.0001765995784,31.42124579,,,,,
000034.jpg,0.670700,0.0002026370159,32.46848753,,,,,
000035.jpg,0.690800,0.0002498660775,33.39802039,,,,,
000036.jpg,0.710800,0.0002328303935,34.04421538,,,,,
000037.jpg,0.730800,0.0002243466445,35.07096064,,,,,
000038.jpg,0.750800,0.0002706723562,36.07784257,,,,,
000039.jpg,0.770900,0.0002995499323,37.06534118,,,,,
000040.jpg,0.790900,0.0002907586467,38.03242531,,,,,
000041.jpg,0.810900,0.0003830899265,38.51089986,,,,,
000042.jpg,0.830900,0.0004777192951,39.50822834,,,,,
000043.jpg,0.851000,0.0005315440354,40.45627803,,,,,
000044.jpg,0.871000,0.0005477693366,41.41410492,,,,,
000045.jpg,0.891000,0.0006018753729,42.35197708,,,,,
000046.jpg,0.911000,0.0005766643396,43.26949957,,,,,
000047.jpg,0.931100,0.0007746611079,43.70850333,,,,,
000048.jpg,0.951100,0.0007868779231,44.61663742,,,,,
000049.jpg,0.971100,0.0009629878118,45.49464526,,,,,
000050.jpg,0.991100,0.001002161289,46.34252600,53.76702719,50.95516441,53.27169738,48.04700385,48.39613282
000051.jpg,1.011200,0.001002686122,47.17084206,53.76720139,50.95636128,53.27191243,48.04922739,48.39832958
000052.jpg,1.031200,0.001187484118,47.62194361,53.82853795,51.35004224,53.34755987,48.80633169,49.14308229
000053.jpg,1.051200,0.00138568121,48.34817077,53.89432183,51.72173038,53.42852510,49.56368035,49.88143625
000054.jpg,1.071200,0.001418064616,49.12640502,53.90507025,51.77840534,53.44173762,49.68231299,49.99647238
000055.jpg,1.091200,0.001698363315,49.89486389,53.99810459,52.23053389,53.55590904,50.65276490,50.93094453
000056.jpg,1.111300,0.001698111868,50.61323407,53.99802113,52.23015566,53.55580677,50.65193796,50.93015333
000057.jpg,1.131300,0.001874747553,51.29169479,54.05664853,52.48559457,53.62757899,51.21459168,51.46641099
000058.jpg,1.151300,0.002035946157,51.63092515,54.11015219,52.70262602,53.69296109,51.69743796,51.92322042
000059.jpg,1.171300,0.002192952814,52.26947642,54.16226449,52.90134116,53.75653557,52.14126253,52.34026436
000060.jpg,1.191400,0.002309765405,52.89825835,54.20103592,53.04201833,53.80376639,52.45539562,52.63374861
000061.jpg,1.211400,0.002416696057,53.47694545,54.23652742,53.16595384,53.84695063,52.73147639,52.89049628
000062.jpg,1.231400,0.002707933532,54.03567782,54.33319247,53.48283282,53.96432164,53.43113414,53.53605304
000063.jpg,1.251400,0.00289007533,54.38357108,54.39364741,53.66756676,54.03754427,53.83247004,53.90295530
000064.jpg,1.271500,0.003058646356,54.77400274,54.44959806,53.83052033,54.10518734,54.18092717,54.21944804
000065.jpg,1.291500,0.003299519755,55.24273077,54.52954669,54.05148196,54.20163772,54.64316287,54.63625578
000066.jpg,1.311500,0.003438060912,55.67196548,54.57553008,54.17285847,54.25700321,54.89123113,54.85850045
000067.jpg,1.331500,0.003697128369,56.06087458,54.66151753,54.38983125,54.36032240,55.32284253,55.24275447
000068.jpg,1.351600,0.003938445087,56.37974994,54.74161330,54.58139476,54.45631479,55.68986739,55.56708238
000069.jpg,1.371600,0.004032443535,56.53900849,54.77281246,54.65350976,54.49364178,55.82433163,55.68535072
000070.jpg,1.391600,0.004417709691,56.83832911,54.90068669,54.93589954,54.64625778,56.32980727,56.12736295
000071.jpg,1.411600,0.00458742682,57.08795013,54.95701774,55.05415798,54.71329840,56.53095357,56.30217214
000072.jpg,1.431700,0.004943267611,57.30784215,55.07512536,55.29130865,54.85348703,56.91442779,56.63390907
000073.jpg,1.451700,0.005217760646,57.47725960,55.16623274,55.46520033,54.96128456,57.17810153,56.86103246
000074.jpg,1.471700,0.005584215365,57.60009176,55.28786324,55.68642949,55.10473543,57.49145624,57.13027679
000075.jpg,1.491700,0.005855537281,57.68698192,55.37791808,55.84295397,55.21060887,57.69796814,57.30760162
000076.jpg,1.511800,0.00610044408,57.82666500,55.45920544,55.97939772,55.30593042,57.86764606,57.45345267
000077.jpg,1.531800,0.00647982878,57.91626346,55.58512756,56.18246274,55.45313872,58.10237202,57.65589969
000078.jpg,1.551800,0.006745842324,58.00625753,55.67342049,56.31931674,55.55603031,58.24865608,57.78281829
000079.jpg,1.571800,0.007128634151,58.07590124,55.80047347,56.50895943,55.70362250,58.43579129,57.94662772
000080.jpg,1.591800,0.007442064907,58.10564062,55.90450471,56.65834229,55.82406341,58.57074626,58.06629815
000081.jpg,1.611900,0.007856626873,58.16550477,56.04210256,56.84847796,55.98280699,58.72715901,58.20746731
000082.jpg,1.631900,0.008171239482,58.23553901,56.14652608,56.98755440,56.10285726,58.83106718,58.30336090
000083.jpg,1.651900,0.008434999655,58.29540317,56.23407109,57.10093041,56.20322575,58.90946381,58.37725625
000084.jpg,1.671900,0.008883669754,58.34548785,56.38298982,57.28751781,56.37338167,59.02668877,58.49115776
000085.jpg,1.692000,0.009225806599,58.39351924,56.49654894,57.42486414,56.50265202,59.10406098,58.56939629
000086.jpg,1.712000,0.009564198148,58.42491608,56.60886496,57.55680758,56.63009980,59.17167070,58.64052112
000087.jpg,1.732000,0.009998368972,58.48478022,56.75297121,57.72080388,56.79303281,59.24706939,58.72397790
000088.jpg,1.752000,0.01035533112,58.55481455,56.87145102,57.85147712,56.92650108,59.30072898,58.78698795
000089.jpg,1.772100,0.01068898447,58.62485401,56.98219438,57.97044123,57.05085785,59.34495678,58.84197914
000090.jpg,1.792100,0.01106190484,58.68471818,57.10597091,58.09998617,57.18940069,59.38843126,58.89959546
000091.jpg,1.812100,0.01142724409,58.71782663,57.22723118,58.22359679,57.32467130,59.42566604,58.95265181
000092.jpg,1.832100,0.01177396491,58.78449181,57.34231177,58.33805575,57.45263474,59.45670583,59.00034047
000093.jpg,1.852200,0.01214007859,58.85453639,57.46382908,58.45606432,57.58732219,59.48549607,59.04827558
000094.jpg,1.872200,0.01256336635,58.93435530,57.60432312,58.58905050,57.74249343,59.51433494,59.10105212
000095.jpg,1.892200,0.01294679593,59.00399379,57.73158778,58.70649538,57.88254921,59.53688707,59.14678207
000096.jpg,1.912200,0.01327789802,59.07363731,57.84148434,58.80572334,58.00310927,59.55398319,59.18491748
000097.jpg,1.932300,0.01371907963,59.11354675,57.98791755,58.93494982,58.16320612,59.57378545,59.23407310
000098.jpg,1.952300,0.01415861444,59.20354104,58.13380417,59.06047219,58.32209201,59.59059185,59.28145435
000099.jpg,1.972300,0.01448961272,59.27318453,58.24366628,59.15298368,58.44134314,59.60158706,59.31625166
000100.jpg,1.992300,0.0150290061,59.34283302,58.42269710,59.30022725,58.63494496,59.61689517,59.37160236
000101.jpg,2.012400,0.01549417578,59.40308829,58.57709223,59.42389603,58.80118764,59.62788643,59.41821717
000102.jpg,2.032400,0.01572318278,59.45165363,58.65310226,59.48370557,58.88278826,59.63265100,59.44084633
000103.jpg,2.052400,0.01617591939,59.52281664,58.80337072,59.59995127,59.04364317,59.64097823,59.48505468
000104.jpg,2.072400,0.0167019377,59.58268082,58.97796220,59.73183097,59.22976473,59.64907788,59.53567320
000105.jpg,2.092400,0.0172323727,59.65232424,59.15401963,59.86153888,59.41662055,59.65581705,59.58605959
000106.jpg,2.112500,0.01762527251,59.70240917,59.28442756,59.95559813,59.55449648,59.66003373,59.62303454
000107.jpg,2.132500,0.01805398549,59.77205257,59.42672229,60.05636135,59.70443001,59.66399637,59.66310133
000108.jpg,2.152500,0.01858306538,59.80179149,59.60232995,60.17814316,59.88873857,59.66810660,59.71221646
000109.jpg,2.172500,0.01917618111,59.88161036,59.79919183,60.31145304,60.09441142,59.67186460,59.76692503
000110.jpg,2.192600,0.01961707694,59.92151979,59.94553019,60.40845621,60.24666094,59.67417691,59.80739993
000111.jpg,2.212600,0.02021106407,59.98101247,60.14268130,60.53645671,60.45092490,59.67675959,59.86172168
000112.jpg,2.232600,0.02069021811,60.01076624,60.30171799,60.63756505,60.61499539,59.67847217,59.90540144
000113.jpg,2.252600,0.02131495652,60.04976593,60.50907580,60.76665415,60.82798376,59.68030030,59.96220446
000114.jpg,2.272700,0.02187976612,60.10038899,60.69654256,60.88081457,61.01964304,59.68163081,60.01344422
000115.jpg,2.292700,0.02235303272,60.15044908,60.85362514,60.97469453,61.17958976,59.68255326,60.05631300
000116.jpg,2.312700,0.02295751469,60.20997125,61.05425961,61.09234798,61.38303184,59.68352237,60.11099763
000117.jpg,2.332700,0.02363038879,60.24955847,61.27759420,61.22047132,61.60838311,59.68437777,60.17179731
000118.jpg,2.352800,0.02428813835,60.27933676,61.49590879,61.34296097,61.82755519,59.68503403,60.23117437
000119.jpg,2.372800,0.02500195332,60.29929138,61.73283213,61.47296378,62.06418044,59.68558914,60.29556559
000120.jpg,2.392800,0.02559953019,60.33920061,61.93117471,61.57956267,62.26130311,59.68595487,60.34944275
000121.jpg,2.412800,0.02629056001,60.38924091,62.16053540,61.70041064,62.48816525,59.68628961,60.41172107
000122.jpg,2.432900,0.02709083531,60.41901908,62.42615590,61.83726983,62.74945441,59.68658539,60.48382046
000123.jpg,2.452900,0.02778600702,60.43897370,62.65689133,61.95358837,62.97519291,59.68678093,60.54643500
000124.jpg,2.472900,0.02859847092,60.45674711,62.92655738,62.08665686,63.23758631,59.68695479,60.61960069
000125.jpg,2.492900,0.02935088963,60.47888293,63.17629374,62.20725554,63.47923048,59.68707584,60.68734966
000126.jpg,2.513000,0.03169796188,55.15402896,,,,,
000127.jpg,2.533000,0.03950309084,30.78053499,,,,,
000128.jpg,2.553000,0.04739469475,6.25922995,,,,,
