实验编号,状态,帧数,E/MPa,Y/MPa,H/MPa,虚功文件
S15_XY_0.2,SELF_VFM_REVIEW_REQUIRED,284,3536.445695876974,34.05508131776048,154.5631162695147,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\实验结果\S15_XY_0.2\S15_XY_0.2_内外虚功.csv
S16_XY_0.2,SELF_VFM_REVIEW_REQUIRED,257,3410.423189261645,39.4925665907021,156.39344709148475,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\实验结果\S16_XY_0.2\S16_XY_0.2_内外虚功.csv
S17_XY_20,SELF_VFM_REVIEW_REQUIRED,12,4997.673917987656,,,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\实验结果\S17_XY_20\S17_XY_20_内外虚功.csv
S18_XY_2,SELF_VFM_REVIEW_REQUIRED,126,4605.755779901481,43.77022296971994,632.2712836830689,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\实验结果\S18_XY_2\S18_XY_2_内外虚功.csv
S19_X_0.2,SELF_VFM_REVIEW_REQUIRED,126,5389.4028705137525,8.942001752111508,23357.944451827185,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\实验结果\S19_X_0.2\S19_X_0.2_内外虚功.csv
S20_X_2,SELF_VFM_REVIEW_REQUIRED,63,17600.49186814066,41.73617104187737,18526.974313753166,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\实验结果\S20_X_2\S20_X_2_内外虚功.csv
S21_X_20,SELF_VFM_REVIEW_REQUIRED,36,16912.33125528379,,,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\实验结果\S21_X_20\S21_X_20_内外虚功.csv
S22_Y_0.2,SELF_VFM_REVIEW_REQUIRED,223,10535.036031296924,103.58182390274595,238.03856294076718,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\实验结果\S22_Y_0.2\S22_Y_0.2_内外虚功.csv
S23_Y_2,跳过：配置禁止正式 VFM,,,,,
S24_Y_20,跳过：配置禁止正式 VFM,,,,,
