experiment_id,status,force_file,image_folder,camera_setting_fps,camera_setting_source,photo_count,first_image,last_image,force_start_index,force_peak_index,force_fracture_index,force_analysis_end_index,end_event_label,visual_fracture_confirmed,visual_fracture_frame,visual_fracture_time_estimate,last_force_supported_photo,force_missing_at_visual_fracture,camera_actual_fps,effective_time,photo_displacement,force_displacement,stress_strain,stress_strain_plot,stress_strain_report,vfm_allowed,vfm_error,notes
S15_XY_0.2,VFM_READY,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/xy-1-0.1_state_20250529102303_20250529102339.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/biaxal/S15_XY_0.2,10.0,历史批次候选值；原始相机元数据未找到,284,000001.jpg,000284.jpg,105,28387,28463,28463,自动掉载,False,UNKNOWN,,UNKNOWN,False,9.96338543867061,28.404,5.6808000000000005,5.890600000000001,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S15_XY_0.2_应力应变.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S15_XY_0.2_应力应变.png,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S15_XY_0.2_应力应变分析.md,True,,正式索引仅使用同名 JPG+DAT；000285.jpg 视觉断裂证据保留，但不进入正式 DIC/VFM 帧。；终点判定：自动掉载
S16_XY_0.2,VFM_READY,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/xy-2-0.1_state_20250529104919_20250529104947.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/biaxal/S16_XY_0.2,10.0,历史批次样例与帧号/力时间一致性；原始相机元数据未找到,257,000001.jpg,000257.jpg,102,25690,25773,25773,自动掉载,False,UNKNOWN,,UNKNOWN,False,9.948702005285249,25.732,5.1464,5.310500000000001,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S16_XY_0.2_应力应变.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S16_XY_0.2_应力应变.png,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S16_XY_0.2_应力应变分析.md,True,,旋转版本 258 个 JPG/DAT 配对帧；用于第一份闭环验证。；终点判定：自动掉载
S17_XY_20,VFM_READY,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/xy-3-10_state_20250529111421_20250529111422.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/biaxal/S17_XY_20,50.0,历史批次候选值；原始相机元数据未找到,12,000003.jpg,000014.jpg,50,209,273,273,自动掉载,False,UNKNOWN,,UNKNOWN,False,49.32735426008968,0.22300000000000003,4.460000000000001,4.7666,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S17_XY_20_应力应变.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S17_XY_20_应力应变.png,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S17_XY_20_应力应变分析.md,True,,两侧相对速度按目录 20 mm/s 记录；力文件名中的 10 mm/s 为单个执行通道速度，Pos 斜率与该解释一致。；终点判定：自动掉载
S18_XY_2,VFM_READY,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/xy-04-1_state_20250529112959_20250529113217.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/biaxal/S18_XY_2,50.0,历史批次候选值；原始相机元数据未找到,126,000003.jpg,000128.jpg,50,2473,2550,2550,自动掉载,False,UNKNOWN,,UNKNOWN,False,49.940071913703555,2.503,5.006,5.2979,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S18_XY_2_应力应变.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S18_XY_2_应力应变.png,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S18_XY_2_应力应变分析.md,True,,两个候选状态文件中选择 Press 行数更多且覆盖更完整的 113217 导出。；终点判定：自动掉载
S19_X_0.2,VFM_READY,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/x-05-0.1_state_20250529133138_20250529133153.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/unixal/S19_X_0.2,10.0,历史批次候选值；原始相机元数据未找到,126,000002.jpg,000127.jpg,169,12749,12827,12827,自动掉载,False,UNKNOWN,,UNKNOWN,False,9.861154938466393,12.676,2.5352,2.794999999999998,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S19_X_0.2_应力应变.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S19_X_0.2_应力应变.png,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S19_X_0.2_应力应变分析.md,True,,单轴 X；Y 为非加载方向，正式输出中置零，X 保留校正后真实力。；终点判定：自动掉载
S20_X_2,VFM_READY,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/x-6-1_state_20250529133928_20250529133930.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/unixal/S20_X_2,50.0,历史批次候选值；原始相机元数据未找到,63,000005.jpg,000067.jpg,105,1266,1341,1341,自动掉载,False,UNKNOWN,,UNKNOWN,False,50.16181229773463,1.236,2.472,2.6494,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S20_X_2_应力应变.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S20_X_2_应力应变.png,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S20_X_2_应力应变分析.md,True,,单轴 X；Y 为非加载方向，正式输出中置零，X 保留校正后真实力。；终点判定：自动掉载
S21_X_20,VFM_READY,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/x-7-10_state_20250529134610_20250529134611.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/unixal/S21_X_20,200.0,历史批次候选值；原始相机元数据未找到,36,000010.jpg,000045.jpg,50,167,227,227,自动掉载,False,UNKNOWN,,UNKNOWN,False,197.74011299435028,0.177,3.54,3.8016999999999994,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S21_X_20_应力应变.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S21_X_20_应力应变.png,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S21_X_20_应力应变分析.md,True,,单轴 X；Y 为非加载方向，正式输出中置零，X 保留校正后真实力。；终点判定：自动掉载
S22_Y_0.2,VFM_READY,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/y-9-0.1_state_20250529140828_20250529141127.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/unixal/S22_Y_0.2,10.0,历史批次候选值；原始相机元数据未找到,223,000008.jpg,001784.jpg,159,109550,178732,178732,自动掉载,False,UNKNOWN,,UNKNOWN,False,9.931219594027848,178.83,35.766000000000005,36.2344,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S22_Y_0.2_应力应变.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S22_Y_0.2_应力应变.png,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S22_Y_0.2_应力应变分析.md,True,,单轴 Y；X 为非加载方向，正式输出中置零，Y 保留校正后真实力。DAT 为稀疏帧，只使用实际同名 JPG/DAT 配对帧，不构造连续帧号。；终点判定：自动掉载
S23_Y_2,DATA_LIMITED,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/y-10-1_state_20250529141618_20250529141633.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/unixal/S23_Y_2,100.0,历史批次候选值；原始相机元数据未找到,191,000008.jpg,001528.jpg,51,9053,15327,15327,力文件记录终点（视觉断裂前）,True,001547.jpg,15.5382,001528.jpg,True,99.3723849372385,15.296,30.592,30.621000000000002,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S23_Y_2_应力应变.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S23_Y_2_应力应变.png,D:\2026.9.21_finally\Agents\PA12实验数据处理\应力应变\S23_Y_2_应力应变分析.md,False,当前配置为诊断模式，禁止发布正式 VFM,检查原始连续照片，001545–001546.jpg 仍连续，001547.jpg 首次显示试样断开；力文件最后支持到 001528.jpg，采集在视觉断裂前结束。只生成诊断曲线，不发布正式 VFM。；终点判定：力文件记录终点（视觉断裂前）
S24_Y_20,PRELOAD_RELEASE_ONLY,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/y-11-10_state_20250529142519_20250529142520.xls,D:/C盘迁移/Desktop/yuan/data/XY/picture-20250529/vertical_all_45°/PAPER/unixal/S24_Y_20,500.0,历史批次候选值；原始相机元数据未找到,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,,已确认这是从约 1555 N Y 向预载开始的释放记录；文件没有加载前零点，不能代表完整拉伸加载，不能生成正式照片—力、VFM 或拉伸应力—应变结果。；终点判定：UNKNOWN
