旋转序列,试验模式,工作速度,力文件,力文件选择依据,DIC标定(mm/pixel),JPG数量,DAT数量,配对数量,缺DAT JPG数量,状态,备注
S15_XY_0.2,双轴,0.2,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/xy-1-0.1_state_20250529102303_20250529102339.xls,序号与原始 XY-0.1-01 目录对应,0.087464,289,286,286,3,待审核,末尾无DAT图片未进入配对主索引
S16_XY_0.2,双轴,0.2,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/xy-2-0.1_state_20250529104919_20250529104947.xls,序号与原始 XY-0.1-02 目录对应,0.087209,259,258,258,1,首个闭环候选,已有 258 帧配对
S17_XY_20,双轴,20,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/xy-3-10_state_20250529111421_20250529111422.xls,序号与原始 Xy-03-10-01 目录对应；速度命名冲突,0.087464,21,20,20,1,诊断,旋转目录速度 20 与力文件名 10 不一致
S18_XY_2,双轴,2,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/xy-04-1_state_20250529112959_20250529113217.xls,两个候选中 Press 行数更多且覆盖更完整,0.087464,267,249,249,18,待审核,选择 113217 导出
S19_X_0.2,单轴X,0.2,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/x-05-0.1_state_20250529133138_20250529133153.xls,序号与原始 X-05-0.1-01 目录对应,0.084746,130,128,128,2,诊断,非加载方向力规则待确认
S20_X_2,单轴X,2,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/x-6-1_state_20250529133928_20250529133930.xls,序号与原始 X-06-1.0-01 目录对应,0.084034,133,133,133,0,诊断,非加载方向力规则待确认
S21_X_20,单轴X,20,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/x-7-10_state_20250529134610_20250529134611.xls,序号与原始 X-07-10-01 目录对应,0.087716,81,80,80,1,诊断,旋转目录速度 20 与力文件名 10 不一致；非加载方向力规则待确认
S22_Y_0.2,单轴Y,0.2,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/y-9-0.1_state_20250529140828_20250529141127.xls,序号与原始 Y-09-0.1-02 目录对应,0.083333,1825,233,233,1592,诊断,仅使用稀疏实际配对帧；不按连续编号补帧
S23_Y_2,单轴Y,2,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/y-10-1_state_20250529141618_20250529141633.xls,序号与原始 Y-10-1-01 目录对应,0.082645,1558,194,194,1364,未完成,未自动检测到断裂掉载；力文件路径见配置
S24_Y_20,单轴Y,20,D:/C盘迁移/Desktop/yuan/data/XY/data-20250529/20250529/y-11-10_state_20250529142519_20250529142520.xls,序号与原始 Y-11-10-01 目录对应,0.083333,711,157,157,554,未完成,初始 Y 通道非零且未检测到标准断裂掉载；力文件路径见配置
