速度,照片数量,设置频率,实际频率,照片位移,力数量,力位移,力数据时间,力传感频率
0.2 mm/s,284,10 Hz,9.963 Hz,5.6808 mm,284,5.8906 mm,28.4040 s,1000.000 Hz
0.2 mm/s,257,10 Hz,9.949 Hz,5.1464 mm,257,5.3105 mm,25.7320 s,1000.000 Hz
20 mm/s,12,50 Hz,49.327 Hz,4.4600 mm,12,4.7666 mm,0.2230 s,1000.000 Hz
2 mm/s,126,50 Hz,49.940 Hz,5.0060 mm,126,5.2979 mm,2.5030 s,1000.000 Hz
0.2 mm/s,126,10 Hz,9.861 Hz,2.5352 mm,126,2.7950 mm,12.6760 s,1000.000 Hz
2 mm/s,63,50 Hz,50.162 Hz,2.4720 mm,63,2.6494 mm,1.2360 s,1000.000 Hz
20 mm/s,36,200 Hz,197.740 Hz,3.5400 mm,36,3.8017 mm,0.1770 s,1000.000 Hz
0.2 mm/s,223,10 Hz,9.931 Hz,35.7660 mm,223,36.2344 mm,178.8300 s,1000.000 Hz
2 mm/s,191,100 Hz,99.372 Hz,30.5920 mm,191,30.6210 mm,15.2960 s,1000.000 Hz
20 mm/s,UNKNOWN,500 Hz,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
