照片,时间/s,X向力/N,Y向力/N,X向位移/mm,X向应变,X向应力/MPa,Y向位移/mm,Y向应变,Y向应力/MPa
000001.jpg,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000002.jpg,0.20501408450704228,17.18,17.83,0.022499999999999076,0.0007499999999999692,0.5726666666666667,0.01860000000000106,0.0006200000000000353,0.5943333333333333
000003.jpg,0.3050281690140845,30.68,31.33,0.041999999999999815,0.001399999999999994,1.0226666666666666,0.0389999999999997,0.00129999999999999,1.0443333333333333
000004.jpg,0.4050422535211267,44.68,44.33,0.060542253521125744,0.002018075117370858,1.4893333333333334,0.05668450704225236,0.0018894835680750787,1.4776666666666667
000005.jpg,0.5050563380281691,58.68,59.33,0.08200000000000074,0.002733333333333358,1.956,0.07899999999999885,0.002633333333333295,1.9776666666666667
000006.jpg,0.6050704225352113,73.68,73.33,0.10266338028169031,0.0034221126760563434,2.4560000000000004,0.09774084507042247,0.0032580281690140823,2.4443333333333332
000007.jpg,0.7050845070422534,87.18,86.83,0.12018450704225181,0.004006150234741727,2.906,0.11909999999999954,0.003969999999999985,2.8943333333333334
000008.jpg,0.8050985915492958,101.68,101.83,0.13969859154929587,0.004656619718309862,3.3893333333333335,0.13860000000000028,0.0046200000000000095,3.3943333333333334
000009.jpg,0.9051126760563382,116.79267605633814,116.4990140845072,0.1600999999999999,0.005336666666666664,3.8930892018779377,0.15830140845070417,0.005276713615023473,3.883300469483573
000010.jpg,1.0051267605633802,132.18,132.83,0.17970000000000041,0.0059900000000000135,4.406000000000001,0.1786000000000012,0.005953333333333374,4.427666666666667
000011.jpg,1.1051408450704225,146.68,145.83,0.20110000000000028,0.006703333333333342,4.889333333333334,0.19905915492957682,0.006635305164319228,4.861000000000001
000012.jpg,1.2051549295774648,159.68,160.83,0.22170000000000023,0.007390000000000008,5.322666666666667,0.21879999999999988,0.00729333333333333,5.361000000000001
000013.jpg,1.305169014084507,173.68,174.33,0.2411999999999992,0.008039999999999973,5.789333333333333,0.2372999999999994,0.00790999999999998,5.811000000000001
000014.jpg,1.4051830985915492,188.18,189.33,0.2608830985915489,0.008696103286384963,6.272666666666667,0.25980000000000025,0.008660000000000008,6.311000000000001
000015.jpg,1.5051971830985915,202.18,203.33,0.2832000000000008,0.009440000000000026,6.739333333333334,0.2794774647887319,0.009315915492957731,6.777666666666667
000016.jpg,1.605211267605634,216.18,218.33,0.2997999999999994,0.009993333333333314,7.206,0.29879999999999995,0.009959999999999998,7.277666666666667
000017.jpg,1.7052253521126763,230.68,231.83,0.32107464788732365,0.010702488262910788,7.689333333333334,0.3195253521126755,0.010650845070422518,7.727666666666667
000018.jpg,1.8052394366197184,244.68,245.83,0.3410394366197185,0.011367981220657282,8.156,0.33779999999999966,0.011259999999999989,8.194333333333335
000019.jpg,1.9052535211267605,258.68,259.83,0.3615535211267602,0.012051784037558673,8.622666666666667,0.3584000000000014,0.011946666666666713,8.661
000020.jpg,2.0052676056338026,273.0814084507041,273.73140845070407,0.38180000000000014,0.01272666666666667,9.10271361502347,0.378481690140843,0.012616056338028099,9.124380281690135
000021.jpg,2.105281690140845,287.18,289.83,0.4030464788732395,0.013434882629107985,9.572666666666667,0.3973999999999993,0.013246666666666644,9.661
000022.jpg,2.2052957746478876,301.18,303.83,0.4217999999999993,0.014059999999999977,10.039333333333333,0.4182957746478859,0.013943192488262864,10.127666666666666
000023.jpg,2.3053098591549297,315.68,316.83,0.44229999999999947,0.014743333333333315,10.522666666666668,0.44040000000000035,0.01468000000000001,10.561
000024.jpg,2.4053239436619718,328.18,330.83,0.4619,0.015396666666666666,10.939333333333334,0.46089999999999876,0.015363333333333291,11.027666666666667
000025.jpg,2.505338028169014,341.68,343.83,0.4820619718309871,0.016068732394366236,11.389333333333333,0.4794999999999998,0.01598333333333333,11.461
000026.jpg,2.6053521126760564,355.68,357.83,0.5022521126760573,0.01674173708920191,11.856,0.4989999999999988,0.01663333333333329,11.927666666666665
000027.jpg,2.7053661971830985,369.68,371.33,0.5225000000000009,0.017416666666666695,12.322666666666667,0.5186000000000011,0.017286666666666704,12.377666666666666
000028.jpg,2.805380281690141,383.18,384.83,0.5409999999999986,0.018033333333333287,12.772666666666668,0.5396197183098597,0.01798732394366199,12.827666666666666
000029.jpg,2.905394366197183,396.18,398.33,0.5593492957746484,0.018644976525821613,13.206,0.5576000000000008,0.018586666666666692,13.277666666666667
000030.jpg,3.0054084507042256,410.18,412.33,0.5809999999999995,0.01936666666666665,13.672666666666666,0.5820000000000007,0.019400000000000025,13.744333333333334
000031.jpg,3.105422535211268,426.18,428.33,0.6004028169014095,0.020013427230046985,14.206,0.6000225352112665,0.02000075117370888,14.277666666666667
000032.jpg,3.20543661971831,439.18,440.33,0.625,0.020833333333333332,14.639333333333333,0.6194929577464787,0.020649765258215956,14.677666666666665
000033.jpg,3.3054507042253527,451.68,454.33,0.6415000000000006,0.021383333333333355,15.056000000000001,0.6390507042253528,0.021301690140845094,15.144333333333332
000034.jpg,3.4054647887323943,465.18,467.33,0.6631,0.022103333333333332,15.506,0.6592000000000002,0.02197333333333334,15.577666666666666
000035.jpg,3.505478873239437,479.18,480.33,0.6846000000000014,0.02282000000000005,15.972666666666667,0.6796000000000006,0.022653333333333355,16.011
000036.jpg,3.605492957746479,491.68,493.33,0.7050000000000001,0.023500000000000004,16.389333333333333,0.7001999999999988,0.02333999999999996,16.444333333333333
000037.jpg,3.705507042253521,504.68,506.83,0.7217000000000002,0.024056666666666674,16.822666666666667,0.7193070422535222,0.023976901408450737,16.894333333333332
000038.jpg,3.805521126760564,517.68,520.33,0.7416690140845059,0.02472230046948353,17.255999999999997,0.7401999999999997,0.024673333333333325,17.344333333333335
000039.jpg,3.905535211267605,531.68,532.83,0.7616999999999994,0.02538999999999998,17.722666666666665,0.7592647887323949,0.02530882629107983,17.761000000000003
