照片,时间/s,X向力/N,Y向力/N
000001.jpg,0.1020,0.000000,0.000000
000002.jpg,0.2025,19.335625,18.275625
000003.jpg,0.3030,34.820000,34.760000
000004.jpg,0.4035,50.820000,49.260000
000005.jpg,0.5041,66.820000,65.260000
000006.jpg,0.6046,81.820000,79.260000
000007.jpg,0.7051,97.320000,94.260000
000008.jpg,0.8056,112.320000,110.260000
000009.jpg,0.9061,128.445000,125.447500
000010.jpg,1.0066,144.820000,141.760000
000011.jpg,1.1072,159.320000,156.760000
000012.jpg,1.2077,173.820000,172.260000
000013.jpg,1.3082,189.320000,186.260000
000014.jpg,1.4087,204.320000,200.760000
000015.jpg,1.5092,219.320000,215.760000
000016.jpg,1.6097,233.820000,230.260000
000017.jpg,1.7103,251.320000,248.260000
000018.jpg,1.8108,265.820000,261.760000
000019.jpg,1.9113,280.820000,275.760000
000020.jpg,2.0118,295.320000,289.760000
000021.jpg,2.1123,309.820000,304.760000
000022.jpg,2.2128,324.320000,318.260000
000023.jpg,2.3133,338.820000,332.760000
000024.jpg,2.4139,354.468437,348.978750
000025.jpg,2.5144,369.320000,362.260000
000026.jpg,2.6149,384.820000,376.760000
000027.jpg,2.7154,398.820000,390.760000
000028.jpg,2.8159,412.820000,404.260000
000029.jpg,2.9164,426.820000,418.260000
000030.jpg,3.0170,440.820000,432.260000
000031.jpg,3.1175,455.788750,446.463125
000032.jpg,3.2180,470.820000,461.260000
000033.jpg,3.3185,484.820000,475.260000
000034.jpg,3.4190,498.820000,488.260000
000035.jpg,3.5195,513.320000,501.760000
000036.jpg,3.6200,527.820000,515.260000
000037.jpg,3.7206,540.820000,529.260000
000038.jpg,3.8211,554.898125,542.877187
000039.jpg,3.9216,569.820000,557.260000
000040.jpg,4.0221,583.320000,570.260000
000041.jpg,4.1226,597.320000,583.760000
000042.jpg,4.2231,611.320000,596.760000
000043.jpg,4.3237,625.320000,610.760000
000044.jpg,4.4242,639.320000,623.760000
000045.jpg,4.5247,652.820000,637.260000
000046.jpg,4.6252,667.320000,651.260000
000047.jpg,4.7257,680.820000,664.260000
000048.jpg,4.8262,694.320000,677.260000
000049.jpg,4.9267,707.320000,690.260000
000050.jpg,5.0273,720.320000,703.760000
000051.jpg,5.1278,733.320000,715.760000
000052.jpg,5.2283,747.320000,728.260000
000053.jpg,5.3288,761.538750,743.072500
000054.jpg,5.4293,775.820000,756.260000
000055.jpg,5.5298,787.820000,768.260000
000056.jpg,5.6304,801.320000,780.760000
000057.jpg,5.7309,813.320000,793.760000
000058.jpg,5.8314,825.820000,806.760000
000059.jpg,5.9319,838.820000,818.760000
000060.jpg,6.0324,852.452812,831.892812
000061.jpg,6.1329,865.320000,844.760000
000062.jpg,6.2335,877.820000,856.760000
000063.jpg,6.3340,890.320000,870.260000
000064.jpg,6.4345,902.820000,881.260000
000065.jpg,6.5350,914.820000,893.760000
000066.jpg,6.6355,926.820000,905.760000
000067.jpg,6.7360,938.851250,918.291250
000068.jpg,6.8365,951.320000,931.260000
000069.jpg,6.9371,963.320000,942.760000
000070.jpg,7.0376,975.320000,954.760000
000071.jpg,7.1381,986.820000,965.760000
000072.jpg,7.2386,999.320000,977.760000
000073.jpg,7.3391,1010.820000,988.760000
000074.jpg,7.4396,1021.320000,1001.760000
000075.jpg,7.5402,1032.820000,1013.760000
000076.jpg,7.6407,1044.820000,1025.760000
000077.jpg,7.7412,1055.820000,1036.260000
000078.jpg,7.8417,1066.820000,1047.260000
000079.jpg,7.9422,1077.320000,1058.260000
000080.jpg,8.0427,1088.820000,1069.760000
000081.jpg,8.1433,1099.320000,1080.260000
000082.jpg,8.2438,1110.968437,1091.908437
000083.jpg,8.3443,1122.320000,1103.760000
000084.jpg,8.4448,1132.820000,1114.260000
000085.jpg,8.5453,1143.320000,1124.260000
000086.jpg,8.6458,1153.820000,1135.260000
000087.jpg,8.7463,1165.320000,1146.260000
000088.jpg,8.8469,1175.320000,1156.260000
000089.jpg,8.9474,1187.070000,1166.822500
000090.jpg,9.0479,1197.820000,1177.760000
000091.jpg,9.1484,1207.820000,1187.760000
000092.jpg,9.2489,1217.820000,1198.260000
000093.jpg,9.3494,1228.320000,1207.260000
000094.jpg,9.4500,1237.820000,1216.760000
000095.jpg,9.5505,1247.320000,1226.260000
000096.jpg,9.6510,1257.320000,1235.760000
000097.jpg,9.7515,1268.320000,1246.260000
000098.jpg,9.8520,1277.820000,1255.760000
000099.jpg,9.9525,1287.320000,1264.260000
000100.jpg,10.0530,1296.820000,1273.260000
000101.jpg,10.1536,1305.820000,1282.260000
