照片,时间/s,X向力/N,Y向力/N
000003.jpg,0.0500,0.000000,0.000000
000004.jpg,0.0700,19.040000,19.870000
000005.jpg,0.0900,45.540000,45.370000
000006.jpg,0.1101,73.040000,73.370000
000007.jpg,0.1301,102.040000,102.370000
000008.jpg,0.1501,115.540000,116.870000
000009.jpg,0.1701,146.040000,146.370000
000010.jpg,0.1902,175.540000,176.870000
000011.jpg,0.2102,206.040000,206.370000
000012.jpg,0.2302,236.540000,236.370000
000013.jpg,0.2502,254.380000,254.090000
000014.jpg,0.2703,280.540000,280.870000
000015.jpg,0.2903,312.040000,310.370000
000016.jpg,0.3103,342.040000,340.370000
000017.jpg,0.3303,372.540000,369.870000
000018.jpg,0.3504,402.540000,399.370000
000019.jpg,0.3704,416.540000,413.870000
000020.jpg,0.3904,446.540000,443.370000
000021.jpg,0.4104,476.540000,472.870000
000022.jpg,0.4305,506.040000,502.370000
000023.jpg,0.4505,536.540000,531.370000
000024.jpg,0.4705,557.352000,552.678000
000025.jpg,0.4905,579.040000,573.870000
000026.jpg,0.5106,609.040000,603.370000
000027.jpg,0.5306,638.040000,631.370000
000028.jpg,0.5506,666.540000,659.870000
000029.jpg,0.5706,694.540000,687.870000
000030.jpg,0.5906,708.040000,701.370000
000031.jpg,0.6107,736.040000,729.370000
000032.jpg,0.6307,763.540000,755.870000
000033.jpg,0.6507,791.040000,783.370000
000034.jpg,0.6707,817.040000,809.870000
000035.jpg,0.6908,839.792000,833.738000
000036.jpg,0.7108,856.040000,849.870000
000037.jpg,0.7308,881.040000,876.370000
000038.jpg,0.7508,905.540000,902.370000
000039.jpg,0.7709,930.040000,927.370000
000040.jpg,0.7909,953.540000,952.370000
000041.jpg,0.8109,965.040000,964.870000
000042.jpg,0.8309,989.540000,990.370000
000043.jpg,0.8510,1013.540000,1013.870000
000044.jpg,0.8710,1037.540000,1037.870000
000045.jpg,0.8910,1061.040000,1061.370000
000046.jpg,0.9110,1083.540000,1084.870000
000047.jpg,0.9311,1094.540000,1095.870000
000048.jpg,0.9511,1117.540000,1118.370000
000049.jpg,0.9711,1139.540000,1140.370000
000050.jpg,0.9911,1160.540000,1161.870000
000051.jpg,1.0112,1181.540000,1182.370000
000052.jpg,1.0312,1192.800000,1193.718000
000053.jpg,1.0512,1211.040000,1211.870000
000054.jpg,1.0712,1230.540000,1231.370000
000055.jpg,1.0912,1250.040000,1250.370000
000056.jpg,1.1113,1268.040000,1268.370000
000057.jpg,1.1313,1285.040000,1285.370000
000058.jpg,1.1513,1293.540000,1293.870000
000059.jpg,1.1713,1309.540000,1309.870000
000060.jpg,1.1914,1325.540000,1325.370000
000061.jpg,1.2114,1340.040000,1339.870000
000062.jpg,1.2314,1354.040000,1353.870000
