照片,时间/s,X向力/N,Y向力/N
000002.jpg,0.1690,0.000000,0.000000
000003.jpg,0.2704,20.600000,0.000000
000004.jpg,0.3718,31.100000,0.000000
000005.jpg,0.4732,41.824000,0.000000
000006.jpg,0.5746,53.600000,0.000000
000007.jpg,0.6760,64.100000,0.000000
000008.jpg,0.7774,75.100000,0.000000
000009.jpg,0.8789,85.600000,0.000000
000010.jpg,0.9803,95.600000,0.000000
000011.jpg,1.0817,106.100000,0.000000
000012.jpg,1.1831,116.600000,0.000000
000013.jpg,1.2845,127.100000,0.000000
000014.jpg,1.3859,137.100000,0.000000
000015.jpg,1.4873,149.100000,0.000000
000016.jpg,1.5887,159.100000,0.000000
000017.jpg,1.6901,169.100000,0.000000
000018.jpg,1.7915,178.600000,0.000000
000019.jpg,1.8929,190.504000,0.000000
000020.jpg,1.9943,201.600000,0.000000
000021.jpg,2.0958,211.100000,0.000000
000022.jpg,2.1972,221.600000,0.000000
000023.jpg,2.2986,231.600000,0.000000
000024.jpg,2.4000,242.100000,0.000000
000025.jpg,2.5014,252.100000,0.000000
000026.jpg,2.6028,261.600000,0.000000
000027.jpg,2.7042,272.100000,0.000000
000028.jpg,2.8056,283.316000,0.000000
000029.jpg,2.9070,293.600000,0.000000
000030.jpg,3.0084,303.100000,0.000000
000031.jpg,3.1098,312.100000,0.000000
000032.jpg,3.2112,322.100000,0.000000
000033.jpg,3.3126,333.600000,0.000000
000034.jpg,3.4141,343.600000,0.000000
000035.jpg,3.5155,353.100000,0.000000
000036.jpg,3.6169,363.600000,0.000000
000037.jpg,3.7183,373.100000,0.000000
000038.jpg,3.8197,383.600000,0.000000
000039.jpg,3.9211,392.600000,0.000000
000040.jpg,4.0225,403.100000,0.000000
000041.jpg,4.1239,413.100000,0.000000
000042.jpg,4.2253,424.100000,0.000000
000043.jpg,4.3267,434.100000,0.000000
000044.jpg,4.4281,444.100000,0.000000
000045.jpg,4.5295,453.600000,0.000000
000046.jpg,4.6310,462.600000,0.000000
000047.jpg,4.7324,473.600000,0.000000
000048.jpg,4.8338,483.600000,0.000000
000049.jpg,4.9352,493.100000,0.000000
000050.jpg,5.0366,503.100000,0.000000
000051.jpg,5.1380,512.604000,0.000000
000052.jpg,5.2394,522.600000,0.000000
000053.jpg,5.3408,532.600000,0.000000
000054.jpg,5.4422,541.600000,0.000000
000055.jpg,5.5436,551.600000,0.000000
000056.jpg,5.6450,563.100000,0.000000
000057.jpg,5.7464,572.100000,0.000000
000058.jpg,5.8478,581.100000,0.000000
000059.jpg,5.9493,590.600000,0.000000
000060.jpg,6.0507,600.764000,0.000000
000061.jpg,6.1521,610.600000,0.000000
000062.jpg,6.2535,620.100000,0.000000
000063.jpg,6.3549,629.100000,0.000000
000064.jpg,6.4563,638.100000,0.000000
000065.jpg,6.5577,648.100000,0.000000
000066.jpg,6.6591,656.600000,0.000000
000067.jpg,6.7605,666.600000,0.000000
000068.jpg,6.8619,675.100000,0.000000
000069.jpg,6.9633,684.772000,0.000000
000070.jpg,7.0647,694.100000,0.000000
000071.jpg,7.1662,703.100000,0.000000
000072.jpg,7.2676,711.600000,0.000000
000073.jpg,7.3690,721.100000,0.000000
000074.jpg,7.4704,730.600000,0.000000
000075.jpg,7.5718,739.600000,0.000000
000076.jpg,7.6732,748.100000,0.000000
000077.jpg,7.7746,757.100000,0.000000
000078.jpg,7.8760,766.100000,0.000000
000079.jpg,7.9774,774.600000,0.000000
000080.jpg,8.0788,782.600000,0.000000
000081.jpg,8.1802,791.600000,0.000000
000082.jpg,8.2816,800.600000,0.000000
000083.jpg,8.3830,810.100000,0.000000
000084.jpg,8.4845,818.100000,0.000000
000085.jpg,8.5859,826.100000,0.000000
000086.jpg,8.6873,834.600000,0.000000
000087.jpg,8.7887,842.600000,0.000000
000088.jpg,8.8901,851.600000,0.000000
000089.jpg,8.9915,860.600000,0.000000
000090.jpg,9.0929,868.600000,0.000000
000091.jpg,9.1943,876.100000,0.000000
000092.jpg,9.2957,884.600000,0.000000
000093.jpg,9.3971,892.600000,0.000000
000094.jpg,9.4985,901.100000,0.000000
000095.jpg,9.5999,908.100000,0.000000
000096.jpg,9.7014,916.100000,0.000000
000097.jpg,9.8028,926.100000,0.000000
000098.jpg,9.9042,934.100000,0.000000
000099.jpg,10.0056,941.600000,0.000000
000100.jpg,10.1070,949.600000,0.000000
000101.jpg,10.2084,958.100000,0.000000
000102.jpg,10.3098,965.600000,0.000000
000103.jpg,10.4112,973.600000,0.000000
000104.jpg,10.5126,981.600000,0.000000
000105.jpg,10.6140,989.100000,0.000000
000106.jpg,10.7154,996.600000,0.000000
000107.jpg,10.8168,1004.100000,0.000000
000108.jpg,10.9182,1011.600000,0.000000
000109.jpg,11.0197,1019.100000,0.000000
000110.jpg,11.1211,1029.100000,0.000000
000111.jpg,11.2225,1035.600000,0.000000
000112.jpg,11.3239,1043.100000,0.000000
000113.jpg,11.4253,1050.100000,0.000000
000114.jpg,11.5267,1057.100000,0.000000
000115.jpg,11.6281,1065.100000,0.000000
000116.jpg,11.7295,1071.600000,0.000000
000117.jpg,11.8309,1079.600000,0.000000
000118.jpg,11.9323,1086.600000,0.000000
000119.jpg,12.0337,1093.600000,0.000000
000120.jpg,12.1351,1100.100000,0.000000
000121.jpg,12.2366,1106.600000,0.000000
000122.jpg,12.3380,1114.100000,0.000000
000123.jpg,12.4394,1120.600000,0.000000
000124.jpg,12.5408,1128.600000,0.000000
000125.jpg,12.6422,1135.100000,0.000000
000126.jpg,12.7436,1141.600000,0.000000
000127.jpg,12.8450,178.600000,0.000000
