照片,时间/s,X向力/N,Y向力/N
000008.jpg,0.7611,0.000000,0.000000
000016.jpg,1.5639,0.000000,175.300000
000024.jpg,2.3668,0.000000,267.300000
000032.jpg,3.1696,0.000000,356.300000
000040.jpg,3.9724,0.000000,443.300000
000048.jpg,4.7753,0.000000,528.300000
000056.jpg,5.5781,0.000000,610.300000
000064.jpg,6.3809,0.000000,688.300000
000072.jpg,7.1837,0.000000,765.800000
000080.jpg,7.9866,0.000000,841.300000
000088.jpg,8.7894,0.000000,913.800000
000096.jpg,9.5922,0.000000,983.800000
000104.jpg,10.3951,0.000000,1049.800000
000112.jpg,11.1979,0.000000,1110.300000
000120.jpg,12.0007,0.000000,1165.800000
000128.jpg,12.8035,0.000000,1215.300000
000136.jpg,13.6064,0.000000,1259.300000
000144.jpg,14.4092,0.000000,1296.800000
000152.jpg,15.2120,0.000000,1327.300000
000160.jpg,16.0149,0.000000,1350.300000
000168.jpg,16.8177,0.000000,1365.800000
000176.jpg,17.6205,0.000000,1374.800000
000184.jpg,18.4233,0.000000,1378.300000
000192.jpg,19.2262,0.000000,1380.300000
000200.jpg,20.0290,0.000000,1379.800000
000208.jpg,20.8318,0.000000,1378.800000
000216.jpg,21.6347,0.000000,1378.800000
000224.jpg,22.4375,0.000000,1378.800000
000232.jpg,23.2403,0.000000,1379.300000
000240.jpg,24.0431,0.000000,1380.300000
000248.jpg,24.8460,0.000000,1379.800000
000256.jpg,25.6488,0.000000,1379.300000
000264.jpg,26.4516,0.000000,1377.800000
000272.jpg,27.2545,0.000000,1377.800000
000280.jpg,28.0573,0.000000,1377.300000
000288.jpg,28.8601,0.000000,1376.800000
000296.jpg,29.6629,0.000000,1377.330303
000304.jpg,30.4658,0.000000,1378.800000
000312.jpg,31.2686,0.000000,1380.800000
000320.jpg,32.0714,0.000000,1383.300000
000328.jpg,32.8743,0.000000,1384.300000
000336.jpg,33.6771,0.000000,1386.300000
000344.jpg,34.4799,0.000000,1388.300000
000352.jpg,35.2827,0.000000,1389.800000
000360.jpg,36.0856,0.000000,1391.800000
000368.jpg,36.8884,0.000000,1394.300000
000376.jpg,37.6912,0.000000,1397.300000
000384.jpg,38.4941,0.000000,1399.300000
000392.jpg,39.2969,0.000000,1401.800000
000400.jpg,40.0997,0.000000,1404.300000
000408.jpg,40.9025,0.000000,1406.300000
000416.jpg,41.7054,0.000000,1408.300000
000424.jpg,42.5082,0.000000,1410.300000
