照片,时间/s,X向力/N,Y向力/N
000008.jpg,0.0510,0.000000,0.000000
000016.jpg,0.1315,0.000000,78.370000
000024.jpg,0.2120,0.000000,157.370000
000032.jpg,0.2925,0.000000,245.301579
000040.jpg,0.3730,0.000000,332.870000
000048.jpg,0.4535,0.000000,415.370000
000056.jpg,0.5340,0.000000,497.717368
000064.jpg,0.6145,0.000000,588.370000
000072.jpg,0.6950,0.000000,667.370000
000080.jpg,0.7755,0.000000,741.370000
000088.jpg,0.8561,0.000000,824.370000
000096.jpg,0.9366,0.000000,892.870000
000104.jpg,1.0171,0.000000,960.370000
000112.jpg,1.0976,0.000000,1034.370000
000120.jpg,1.1781,0.000000,1095.370000
000128.jpg,1.2586,0.000000,1153.870000
000136.jpg,1.3391,0.000000,1214.370000
000144.jpg,1.4196,0.000000,1262.370000
000152.jpg,1.5001,0.000000,1304.870000
000160.jpg,1.5806,0.000000,1345.870000
000168.jpg,1.6611,0.000000,1375.870000
000176.jpg,1.7416,0.000000,1398.370000
000184.jpg,1.8221,0.000000,1417.870000
000192.jpg,1.9026,0.000000,1428.370000
000200.jpg,1.9831,0.000000,1434.870000
000208.jpg,2.0636,0.000000,1438.370000
000216.jpg,2.1441,0.000000,1437.870000
000224.jpg,2.2246,0.000000,1436.870000
000232.jpg,2.3051,0.000000,1433.870000
000240.jpg,2.3857,0.000000,1432.370000
000248.jpg,2.4662,0.000000,1430.870000
000256.jpg,2.5467,0.000000,1429.870000
000264.jpg,2.6272,0.000000,1428.870000
000272.jpg,2.7077,0.000000,1428.370000
000280.jpg,2.7882,0.000000,1427.370000
000288.jpg,2.8687,0.000000,1425.870000
000296.jpg,2.9492,0.000000,1424.370000
000304.jpg,3.0297,0.000000,1423.370000
000312.jpg,3.1102,0.000000,1422.370000
000320.jpg,3.1907,0.000000,1422.370000
000328.jpg,3.2712,0.000000,1423.870000
000336.jpg,3.3517,0.000000,1424.870000
000344.jpg,3.4322,0.000000,1425.870000
000352.jpg,3.5127,0.000000,1426.870000
000360.jpg,3.5932,0.000000,1426.370000
000368.jpg,3.6737,0.000000,1426.370000
000376.jpg,3.7542,0.000000,1425.370000
000384.jpg,3.8347,0.000000,1425.370000
000392.jpg,3.9153,0.000000,1425.870000
000400.jpg,3.9958,0.000000,1426.370000
000408.jpg,4.0763,0.000000,1427.501579
000416.jpg,4.1568,0.000000,1428.870000
000424.jpg,4.2373,0.000000,1429.870000
000432.jpg,4.3178,0.000000,1430.870000
000440.jpg,4.3983,0.000000,1432.870000
000448.jpg,4.4788,0.000000,1433.870000
000456.jpg,4.5593,0.000000,1434.370000
000464.jpg,4.6398,0.000000,1435.870000
000472.jpg,4.7203,0.000000,1437.370000
000480.jpg,4.8008,0.000000,1438.870000
000488.jpg,4.8813,0.000000,1441.870000
000496.jpg,4.9618,0.000000,1442.870000
000504.jpg,5.0423,0.000000,1443.870000
000512.jpg,5.1228,0.000000,1445.370000
000520.jpg,5.2033,0.000000,1445.870000
000528.jpg,5.2838,0.000000,1446.870000
000536.jpg,5.3643,0.000000,1448.370000
000544.jpg,5.4449,0.000000,1449.870000
000552.jpg,5.5254,0.000000,1451.370000
000560.jpg,5.6059,0.000000,1452.370000
000568.jpg,5.6864,0.000000,1453.870000
000576.jpg,5.7669,0.000000,1454.870000
000584.jpg,5.8474,0.000000,1455.370000
000592.jpg,5.9279,0.000000,1455.870000
000600.jpg,6.0084,0.000000,1456.370000
000608.jpg,6.0889,0.000000,1457.870000
000616.jpg,6.1694,0.000000,1458.370000
000624.jpg,6.2499,0.000000,1459.370000
000632.jpg,6.3304,0.000000,1460.870000
000640.jpg,6.4109,0.000000,1461.870000
000648.jpg,6.4914,0.000000,1462.870000
000656.jpg,6.5719,0.000000,1462.870000
000664.jpg,6.6524,0.000000,1463.870000
000672.jpg,6.7329,0.000000,1464.370000
000680.jpg,6.8134,0.000000,1464.870000
000688.jpg,6.8939,0.000000,1465.870000
000696.jpg,6.9745,0.000000,1466.870000
000704.jpg,7.0550,0.000000,1467.870000
000712.jpg,7.1355,0.000000,1468.870000
000720.jpg,7.2160,0.000000,1469.870000
000728.jpg,7.2965,0.000000,1469.870000
000736.jpg,7.3770,0.000000,1470.370000
000744.jpg,7.4575,0.000000,1470.370000
000752.jpg,7.5380,0.000000,1469.870000
000760.jpg,7.6185,0.000000,1470.117368
000768.jpg,7.6990,0.000000,1470.870000
000776.jpg,7.7795,0.000000,1470.870000
000784.jpg,7.8600,0.000000,1472.370000
000792.jpg,7.9405,0.000000,1472.870000
000800.jpg,8.0210,0.000000,1472.870000
000808.jpg,8.1015,0.000000,1473.870000
000816.jpg,8.1820,0.000000,1473.870000
000824.jpg,8.2625,0.000000,1473.870000
000832.jpg,8.3430,0.000000,1473.870000
000840.jpg,8.4235,0.000000,1473.370000
000848.jpg,8.5041,0.000000,1473.370000
000856.jpg,8.5846,0.000000,1473.870000
000864.jpg,8.6651,0.000000,1473.870000
000872.jpg,8.7456,0.000000,1473.870000
000880.jpg,8.8261,0.000000,1474.870000
000888.jpg,8.9066,0.000000,1474.370000
000896.jpg,8.9871,0.000000,1474.870000
000904.jpg,9.0676,0.000000,1474.870000
000912.jpg,9.1481,0.000000,1474.370000
000920.jpg,9.2286,0.000000,1474.370000
000928.jpg,9.3091,0.000000,1473.870000
000936.jpg,9.3896,0.000000,1473.370000
000944.jpg,9.4701,0.000000,1473.370000
000952.jpg,9.5506,0.000000,1473.370000
000960.jpg,9.6311,0.000000,1472.870000
