照片,时间/s,X向力/N,Y向力/N
Img000002.jpg,0.1690,0.000000,0.000000
Img000003.jpg,0.2696,20.600000,0.500000
Img000004.jpg,0.3702,31.100000,-0.000000
Img000005.jpg,0.4708,41.600000,0.500000
Img000006.jpg,0.5714,51.600000,-0.000000
Img000007.jpg,0.6720,64.100000,-0.000000
Img000008.jpg,0.7726,75.100000,-0.000000
Img000009.jpg,0.8732,85.600000,-0.000000
Img000010.jpg,0.9738,95.100000,-0.000000
Img000011.jpg,1.0744,105.600000,-0.000000
Img000012.jpg,1.1750,116.600000,0.500000
Img000013.jpg,1.2756,126.100000,0.500000
Img000014.jpg,1.3762,137.100000,-0.000000
Img000015.jpg,1.4768,147.100000,-0.000000
Img000016.jpg,1.5774,157.600000,0.500000
Img000017.jpg,1.6780,168.600000,-0.000000
Img000018.jpg,1.7787,178.100000,-0.000000
Img000019.jpg,1.8793,188.600000,-0.000000
Img000020.jpg,1.9799,199.100000,-0.000000
Img000021.jpg,2.0805,209.100000,-0.000000
Img000022.jpg,2.1811,219.100000,-0.000000
Img000023.jpg,2.2817,229.100000,-0.000000
Img000024.jpg,2.3823,240.100000,-0.000000
Img000025.jpg,2.4829,249.600000,-0.000000
Img000026.jpg,2.5835,259.600000,-0.000000
Img000027.jpg,2.6841,269.258730,-0.000000
Img000028.jpg,2.7847,281.100000,-0.000000
Img000029.jpg,2.8853,291.100000,-0.000000
Img000030.jpg,2.9859,300.600000,-0.000000
Img000031.jpg,3.0865,310.100000,-0.000000
Img000032.jpg,3.1871,319.600000,-0.000000
Img000033.jpg,3.2877,330.100000,-0.000000
Img000034.jpg,3.3883,339.703175,-0.000000
Img000035.jpg,3.4889,351.600000,-0.000000
Img000036.jpg,3.5895,361.100000,-0.000000
Img000037.jpg,3.6901,370.600000,-0.000000
Img000038.jpg,3.7907,380.600000,-0.000000
Img000039.jpg,3.8913,390.100000,-0.000000
Img000040.jpg,3.9919,400.100000,-0.000000
Img000041.jpg,4.0925,409.861905,-0.000000
Img000042.jpg,4.1931,420.600000,-0.000000
Img000043.jpg,4.2937,430.600000,-0.000000
Img000044.jpg,4.3943,440.600000,-0.000000
Img000045.jpg,4.4949,450.100000,-0.000000
Img000046.jpg,4.5955,460.100000,-0.000000
Img000047.jpg,4.6961,469.600000,-0.000000
Img000048.jpg,4.7967,479.473016,-0.000000
Img000049.jpg,4.8973,488.600000,-0.000000
Img000050.jpg,4.9980,498.600000,-0.000000
Img000051.jpg,5.0986,508.600000,-0.000000
Img000052.jpg,5.1992,518.600000,-0.000000
Img000053.jpg,5.2998,528.100000,-0.000000
Img000054.jpg,5.4004,538.100000,-0.000000
Img000055.jpg,5.5010,548.568254,-0.000000
Img000056.jpg,5.6016,558.100000,-0.000000
Img000057.jpg,5.7022,567.100000,-0.000000
Img000058.jpg,5.8028,576.600000,-0.000000
Img000059.jpg,5.9034,585.600000,-0.000000
Img000060.jpg,6.0040,595.600000,-0.000000
Img000061.jpg,6.1046,604.600000,-0.000000
Img000062.jpg,6.2052,616.100000,-0.000000
Img000063.jpg,6.3058,625.100000,-0.000000
Img000064.jpg,6.4064,634.100000,-0.000000
Img000065.jpg,6.5070,643.100000,-0.000000
Img000066.jpg,6.6076,652.600000,-0.000000
