照片,时间/s,X向力/N,Y向力/N
Img000010.jpg,0.0500,0.000000,0.000000
Img000011.jpg,0.0551,78.950000,-0.000000
Img000012.jpg,0.0601,86.892857,-0.000000
Img000013.jpg,0.0652,148.450000,-0.000000
Img000014.jpg,0.0702,148.450000,-0.000000
Img000015.jpg,0.0753,237.450000,-0.000000
Img000016.jpg,0.0803,237.450000,-0.000000
Img000017.jpg,0.0854,331.950000,-0.000000
Img000018.jpg,0.0905,331.950000,-0.000000
Img000019.jpg,0.0955,425.950000,-0.000000
Img000020.jpg,0.1006,425.950000,-0.000000
Img000021.jpg,0.1056,519.950000,-0.000000
Img000022.jpg,0.1107,519.950000,-0.000000
Img000023.jpg,0.1157,584.207143,-0.000000
Img000024.jpg,0.1208,606.450000,-0.000000
Img000025.jpg,0.1259,606.450000,-0.000000
Img000026.jpg,0.1309,690.950000,-0.000000
Img000027.jpg,0.1360,690.950000,-0.000000
Img000028.jpg,0.1410,768.950000,-0.000000
Img000029.jpg,0.1461,768.950000,-0.000000
Img000030.jpg,0.1511,842.450000,-0.000000
Img000031.jpg,0.1562,842.450000,-0.000000
Img000032.jpg,0.1613,909.450000,-0.000000
Img000033.jpg,0.1663,909.450000,-0.000000
Img000034.jpg,0.1714,928.950000,-0.000000
Img000035.jpg,0.1764,928.950000,-0.000000
Img000036.jpg,0.1815,882.807143,-0.000000
Img000037.jpg,0.1865,833.950000,-0.000000
Img000038.jpg,0.1916,833.950000,-0.000000
Img000039.jpg,0.1967,648.950000,-0.000000
Img000040.jpg,0.2017,648.950000,-0.000000
Img000041.jpg,0.2068,416.950000,0.500000
Img000042.jpg,0.2118,416.950000,0.500000
Img000043.jpg,0.2169,195.950000,0.500000
Img000044.jpg,0.2219,195.950000,0.500000
Img000045.jpg,0.2270,51.450000,0.500000
