照片,时间/s,X向力/N,Y向力/N
Img000001.jpg,0.1020,0.000000,0.000000
Img000002.jpg,0.2021,18.944514,17.884514
Img000003.jpg,0.3022,34.820000,34.760000
Img000004.jpg,0.4024,50.820000,49.260000
Img000005.jpg,0.5025,66.820000,65.260000
Img000006.jpg,0.6026,81.820000,79.260000
Img000007.jpg,0.7027,97.320000,94.260000
Img000008.jpg,0.8029,112.320000,110.260000
Img000009.jpg,0.9030,128.320000,125.260000
Img000010.jpg,1.0031,143.820000,140.260000
Img000011.jpg,1.1032,158.320000,155.260000
Img000012.jpg,1.2034,173.504825,170.999300
Img000013.jpg,1.3035,189.320000,186.260000
Img000014.jpg,1.4036,204.320000,200.760000
Img000015.jpg,1.5037,219.320000,215.760000
Img000016.jpg,1.6039,233.820000,230.260000
Img000017.jpg,1.7040,248.820000,246.760000
Img000018.jpg,1.8041,263.820000,259.760000
Img000019.jpg,1.9042,278.820000,274.260000
Img000020.jpg,2.0044,293.320000,288.760000
Img000021.jpg,2.1045,308.320000,303.260000
Img000022.jpg,2.2046,323.742179,317.874786
Img000023.jpg,2.3047,338.820000,332.760000
Img000024.jpg,2.4049,352.320000,347.260000
Img000025.jpg,2.5050,366.320000,360.260000
Img000026.jpg,2.6051,381.820000,375.260000
Img000027.jpg,2.7052,396.320000,388.760000
Img000028.jpg,2.8054,410.320000,402.260000
Img000029.jpg,2.9055,424.820000,416.760000
Img000030.jpg,3.0056,438.820000,430.760000
Img000031.jpg,3.1057,453.820000,444.260000
Img000032.jpg,3.2059,469.039844,459.549883
Img000033.jpg,3.3060,482.820000,473.760000
Img000034.jpg,3.4061,496.820000,487.260000
Img000035.jpg,3.5062,510.820000,500.260000
Img000036.jpg,3.6064,525.320000,513.260000
Img000037.jpg,3.7065,538.320000,527.760000
Img000038.jpg,3.8066,552.320000,540.760000
Img000039.jpg,3.9067,567.320000,554.260000
Img000040.jpg,4.0069,580.320000,568.260000
Img000041.jpg,4.1070,594.320000,580.760000
Img000042.jpg,4.2071,610.320000,595.760000
Img000043.jpg,4.3072,624.320000,609.760000
Img000044.jpg,4.4074,637.820000,621.760000
Img000045.jpg,4.5075,650.820000,635.760000
Img000046.jpg,4.6076,664.320000,648.260000
Img000047.jpg,4.7077,677.320000,661.260000
Img000048.jpg,4.8079,691.320000,674.760000
Img000049.jpg,4.9080,704.320000,687.260000
Img000050.jpg,5.0081,717.320000,700.760000
Img000051.jpg,5.1082,731.384202,713.985681
Img000052.jpg,5.2084,746.320000,727.260000
Img000053.jpg,5.3085,759.820000,740.260000
Img000054.jpg,5.4086,772.820000,753.260000
Img000055.jpg,5.5087,784.820000,765.260000
Img000056.jpg,5.6088,797.820000,777.760000
Img000057.jpg,5.7090,810.820000,790.260000
Img000058.jpg,5.8091,822.820000,803.760000
Img000059.jpg,5.9092,835.820000,816.760000
Img000060.jpg,6.0093,848.320000,828.260000
Img000061.jpg,6.1095,861.997043,841.201634
Img000062.jpg,6.2096,875.320000,854.260000
Img000063.jpg,6.3097,887.820000,867.260000
Img000064.jpg,6.4098,899.820000,878.760000
Img000065.jpg,6.5100,912.320000,890.760000
Img000066.jpg,6.6101,923.820000,902.760000
Img000067.jpg,6.7102,935.820000,915.760000
Img000068.jpg,6.8103,948.320000,927.760000
Img000069.jpg,6.9105,959.820000,938.760000
Img000070.jpg,7.0106,970.820000,950.260000
Img000071.jpg,7.1107,983.609883,963.475953
Img000072.jpg,7.2108,996.320000,975.760000
Img000073.jpg,7.3110,1007.820000,986.760000
Img000074.jpg,7.4111,1019.320000,998.760000
Img000075.jpg,7.5112,1030.320000,1009.760000
Img000076.jpg,7.6113,1041.820000,1021.760000
Img000077.jpg,7.7115,1052.320000,1031.760000
Img000078.jpg,7.8116,1063.820000,1043.760000
Img000079.jpg,7.9117,1074.320000,1055.260000
Img000080.jpg,8.0118,1084.820000,1065.760000
Img000081.jpg,8.1120,1096.761634,1077.721089
Img000082.jpg,8.2121,1107.820000,1088.260000
Img000083.jpg,8.3122,1119.320000,1100.260000
Img000084.jpg,8.4123,1129.820000,1111.260000
Img000085.jpg,8.5125,1140.320000,1121.260000
Img000086.jpg,8.6126,1151.320000,1132.260000
Img000087.jpg,8.7127,1161.820000,1142.260000
Img000088.jpg,8.8128,1172.320000,1153.260000
Img000089.jpg,8.9130,1183.320000,1163.260000
Img000090.jpg,9.0131,1192.860856,1173.882568
Img000091.jpg,9.1132,1203.820000,1184.260000
Img000092.jpg,9.2133,1214.320000,1195.260000
Img000093.jpg,9.3135,1225.320000,1203.760000
Img000094.jpg,9.4136,1234.820000,1213.760000
Img000095.jpg,9.5137,1243.820000,1223.260000
Img000096.jpg,9.6138,1254.820000,1233.760000
Img000097.jpg,9.7140,1264.820000,1242.760000
Img000098.jpg,9.8141,1274.320000,1251.760000
Img000099.jpg,9.9142,1282.820000,1260.760000
Img000100.jpg,10.0143,1292.820000,1270.086848
Img000101.jpg,10.1145,1302.320000,1279.760000
Img000102.jpg,10.2146,1311.820000,1288.260000
Img000103.jpg,10.3147,1319.820000,1296.760000
Img000104.jpg,10.4148,1328.820000,1305.260000
Img000105.jpg,10.5149,1338.320000,1313.760000
Img000106.jpg,10.6151,1346.820000,1321.260000
Img000107.jpg,10.7152,1354.820000,1329.260000
Img000108.jpg,10.8153,1362.820000,1337.260000
Img000109.jpg,10.9154,1371.320000,1344.760000
Img000110.jpg,11.0156,1378.320000,1352.760000
Img000111.jpg,11.1157,1385.820000,1359.760000
Img000112.jpg,11.2158,1392.820000,1367.260000
Img000113.jpg,11.3159,1400.320000,1374.260000
Img000114.jpg,11.4161,1407.320000,1380.760000
Img000115.jpg,11.5162,1414.320000,1386.760000
Img000116.jpg,11.6163,1420.820000,1393.760000
Img000117.jpg,11.7164,1426.820000,1399.260000
Img000118.jpg,11.8166,1432.820000,1404.260000
Img000119.jpg,11.9167,1438.820000,1411.106304
Img000120.jpg,12.0168,1443.911440,1416.260000
Img000121.jpg,12.1169,1448.820000,1421.260000
Img000122.jpg,12.2171,1453.820000,1426.260000
Img000123.jpg,12.3172,1458.820000,1430.760000
Img000124.jpg,12.4173,1462.320000,1435.260000
Img000125.jpg,12.5174,1466.320000,1439.260000
Img000126.jpg,12.6176,1470.820000,1443.260000
Img000127.jpg,12.7177,1474.820000,1446.260000
Img000128.jpg,12.8178,1477.320000,1449.760000
Img000129.jpg,12.9179,1479.851128,1453.260000
Img000130.jpg,13.0181,1482.820000,1455.760000
Img000131.jpg,13.1182,1485.320000,1457.760000
Img000132.jpg,13.2183,1487.320000,1461.260000
Img000133.jpg,13.3184,1488.820000,1462.760000
Img000134.jpg,13.4186,1490.820000,1464.260000
Img000135.jpg,13.5187,1492.820000,1465.760000
Img000136.jpg,13.6188,1493.320000,1467.760000
Img000137.jpg,13.7189,1495.320000,1469.260000
Img000138.jpg,13.8191,1496.349183,1470.760000
Img000139.jpg,13.9192,1497.820000,1470.760000
Img000140.jpg,14.0193,1497.820000,1471.760000
Img000141.jpg,14.1194,1498.820000,1473.760000
Img000142.jpg,14.2196,1499.820000,1475.260000
Img000143.jpg,14.3197,1500.320000,1474.760000
Img000144.jpg,14.4198,1500.320000,1474.760000
Img000145.jpg,14.5199,1500.820000,1475.760000
Img000146.jpg,14.6201,1501.820000,1477.760000
Img000147.jpg,14.7202,1502.320000,1477.260000
Img000148.jpg,14.8203,1502.623502,1477.911751
Img000149.jpg,14.9204,1503.820000,1479.260000
Img000150.jpg,15.0206,1504.320000,1479.760000
Img000151.jpg,15.1207,1504.820000,1480.760000
Img000152.jpg,15.2208,1504.820000,1480.760000
Img000153.jpg,15.3209,1505.320000,1481.760000
Img000154.jpg,15.4211,1505.320000,1482.260000
Img000155.jpg,15.5212,1506.320000,1483.760000
Img000156.jpg,15.6213,1507.320000,1483.760000
Img000157.jpg,15.7214,1507.320000,1484.260000
Img000158.jpg,15.8215,1509.142957,1485.760000
Img000159.jpg,15.9217,1509.820000,1486.760000
Img000160.jpg,16.0218,1510.320000,1486.760000
Img000161.jpg,16.1219,1511.320000,1487.760000
Img000162.jpg,16.2220,1511.320000,1489.260000
Img000163.jpg,16.3222,1512.320000,1490.260000
Img000164.jpg,16.4223,1513.820000,1491.260000
Img000165.jpg,16.5224,1514.320000,1491.760000
Img000166.jpg,16.6225,1514.820000,1492.760000
Img000167.jpg,16.7227,1515.820000,1493.760000
Img000168.jpg,16.8228,1518.216887,1495.553774
Img000169.jpg,16.9229,1518.820000,1495.760000
Img000170.jpg,17.0230,1520.320000,1498.260000
Img000171.jpg,17.1232,1521.820000,1499.760000
Img000172.jpg,17.2233,1522.320000,1499.760000
Img000173.jpg,17.3234,1524.320000,1501.760000
Img000174.jpg,17.4235,1524.320000,1502.760000
Img000175.jpg,17.5237,1525.820000,1504.760000
Img000176.jpg,17.6238,1527.820000,1505.760000
Img000177.jpg,17.7239,1528.320000,1506.760000
Img000178.jpg,17.8240,1530.320000,1508.760000
Img000179.jpg,17.9242,1532.320000,1509.760000
Img000180.jpg,18.0243,1534.320000,1511.760000
Img000181.jpg,18.1244,1535.320000,1512.760000
Img000182.jpg,18.2245,1536.320000,1514.260000
Img000183.jpg,18.3247,1537.820000,1515.760000
Img000184.jpg,18.4248,1540.320000,1516.760000
Img000185.jpg,18.5249,1541.320000,1518.260000
Img000186.jpg,18.6250,1542.320000,1519.760000
Img000187.jpg,18.7252,1543.899767,1521.760000
Img000188.jpg,18.8253,1546.320000,1523.260000
Img000189.jpg,18.9254,1546.820000,1524.760000
Img000190.jpg,19.0255,1548.820000,1525.760000
Img000191.jpg,19.1257,1551.320000,1528.260000
Img000192.jpg,19.2258,1551.820000,1529.760000
Img000193.jpg,19.3259,1553.820000,1530.760000
Img000194.jpg,19.4260,1554.820000,1532.260000
Img000195.jpg,19.5262,1556.820000,1534.260000
Img000196.jpg,19.6263,1558.320000,1535.760000
Img000197.jpg,19.7264,1559.820000,1537.057665
Img000198.jpg,19.8265,1561.320000,1538.260000
Img000199.jpg,19.9267,1562.320000,1540.260000
Img000200.jpg,20.0268,1564.820000,1542.260000
Img000201.jpg,20.1269,1566.820000,1543.760000
Img000202.jpg,20.2270,1567.820000,1544.260000
Img000203.jpg,20.3272,1569.320000,1546.760000
Img000204.jpg,20.4273,1570.320000,1548.260000
Img000205.jpg,20.5274,1572.320000,1549.260000
Img000206.jpg,20.6275,1574.320000,1551.260000
Img000207.jpg,20.7276,1573.995097,1552.260000
Img000208.jpg,20.8278,1575.820000,1554.260000
Img000209.jpg,20.9279,1577.320000,1555.760000
Img000210.jpg,21.0280,1578.820000,1556.760000
Img000211.jpg,21.1281,1580.320000,1557.760000
Img000212.jpg,21.2283,1581.820000,1560.260000
Img000213.jpg,21.3284,1583.820000,1561.760000
Img000214.jpg,21.4285,1585.320000,1562.760000
Img000215.jpg,21.5286,1586.320000,1564.260000
Img000216.jpg,21.6288,1587.320000,1565.260000
Img000217.jpg,21.7289,1588.425058,1567.260000
Img000218.jpg,21.8290,1589.820000,1568.260000
Img000219.jpg,21.9291,1590.820000,1569.260000
Img000220.jpg,22.0293,1591.820000,1571.260000
Img000221.jpg,22.1294,1593.820000,1573.260000
Img000222.jpg,22.2295,1595.820000,1574.260000
Img000223.jpg,22.3296,1596.320000,1575.260000
Img000224.jpg,22.4298,1597.820000,1576.760000
Img000225.jpg,22.5299,1598.820000,1578.260000
Img000226.jpg,22.6300,1600.812218,1579.267782
Img000227.jpg,22.7301,1601.320000,1580.760000
Img000228.jpg,22.8303,1602.320000,1582.260000
Img000229.jpg,22.9304,1603.320000,1583.760000
Img000230.jpg,23.0305,1605.320000,1584.260000
Img000231.jpg,23.1306,1605.820000,1585.260000
Img000232.jpg,23.2308,1606.820000,1587.260000
Img000233.jpg,23.3309,1608.820000,1588.260000
Img000234.jpg,23.4310,1609.820000,1589.760000
Img000235.jpg,23.5311,1611.320000,1590.260000
Img000236.jpg,23.6313,1612.689650,1591.890350
Img000237.jpg,23.7314,1613.320000,1593.760000
Img000238.jpg,23.8315,1614.820000,1594.760000
Img000239.jpg,23.9316,1615.320000,1595.760000
Img000240.jpg,24.0318,1616.320000,1596.260000
Img000241.jpg,24.1319,1617.820000,1597.260000
Img000242.jpg,24.2320,1618.820000,1599.260000
Img000243.jpg,24.3321,1619.820000,1599.760000
Img000244.jpg,24.4323,1621.320000,1600.760000
Img000245.jpg,24.5324,1621.820000,1602.760000
Img000246.jpg,24.6325,1623.320000,1603.260000
Img000247.jpg,24.7326,1624.820000,1603.760000
Img000248.jpg,24.8328,1625.820000,1605.260000
Img000249.jpg,24.9329,1625.820000,1606.260000
Img000250.jpg,25.0330,1627.320000,1607.760000
Img000251.jpg,25.1331,1627.320000,1607.760000
Img000252.jpg,25.2333,1628.820000,1608.760000
Img000253.jpg,25.3334,1629.320000,1609.760000
Img000254.jpg,25.4335,1629.820000,1610.760000
Img000255.jpg,25.5336,1630.820000,1611.260000
Img000256.jpg,25.6338,1632.070973,1612.260000
Img000257.jpg,25.7339,1632.320000,1613.260000
Img000258.jpg,25.8340,152.320000,126.260000
