照片,时间/s,X向力/N,Y向力/N
Img000001.jpg,0.1050,0.000000,0.000000
Img000002.jpg,0.2050,17.180000,17.830000
Img000003.jpg,0.3050,30.680000,31.330000
Img000004.jpg,0.4050,44.680000,44.330000
Img000005.jpg,0.5051,58.680000,59.330000
Img000006.jpg,0.6051,73.680000,73.330000
Img000007.jpg,0.7051,87.180000,86.830000
Img000008.jpg,0.8051,101.680000,101.830000
Img000009.jpg,0.9051,116.792676,116.499014
Img000010.jpg,1.0051,132.180000,132.830000
Img000011.jpg,1.1051,146.680000,145.830000
Img000012.jpg,1.2052,159.680000,160.830000
Img000013.jpg,1.3052,173.680000,174.330000
Img000014.jpg,1.4052,188.180000,189.330000
Img000015.jpg,1.5052,202.180000,203.330000
Img000016.jpg,1.6052,216.180000,218.330000
Img000017.jpg,1.7052,230.680000,231.830000
Img000018.jpg,1.8052,244.680000,245.830000
Img000019.jpg,1.9053,258.680000,259.830000
Img000020.jpg,2.0053,273.081408,273.731408
Img000021.jpg,2.1053,287.180000,289.830000
Img000022.jpg,2.2053,301.180000,303.830000
Img000023.jpg,2.3053,315.680000,316.830000
Img000024.jpg,2.4053,328.180000,330.830000
Img000025.jpg,2.5053,341.680000,343.830000
Img000026.jpg,2.6054,355.680000,357.830000
Img000027.jpg,2.7054,369.680000,371.330000
Img000028.jpg,2.8054,383.180000,384.830000
Img000029.jpg,2.9054,396.180000,398.330000
Img000030.jpg,3.0054,410.180000,412.330000
Img000031.jpg,3.1054,426.180000,428.330000
Img000032.jpg,3.2054,439.180000,440.330000
Img000033.jpg,3.3055,451.680000,454.330000
Img000034.jpg,3.4055,465.180000,467.330000
Img000035.jpg,3.5055,479.180000,480.330000
Img000036.jpg,3.6055,491.680000,493.330000
Img000037.jpg,3.7055,504.680000,506.830000
Img000038.jpg,3.8055,517.680000,520.330000
Img000039.jpg,3.9055,531.680000,532.830000
Img000040.jpg,4.0055,544.680000,545.330000
Img000041.jpg,4.1056,558.806761,559.456761
Img000042.jpg,4.2056,572.680000,574.330000
Img000043.jpg,4.3056,586.180000,586.330000
Img000044.jpg,4.4056,598.680000,599.330000
Img000045.jpg,4.5056,611.180000,612.330000
Img000046.jpg,4.6056,624.180000,625.330000
Img000047.jpg,4.7056,636.680000,638.330000
Img000048.jpg,4.8057,648.680000,650.830000
Img000049.jpg,4.9057,661.680000,663.330000
Img000050.jpg,5.0057,674.680000,676.330000
Img000051.jpg,5.1057,687.180000,689.330000
Img000052.jpg,5.2057,701.616620,702.266620
Img000053.jpg,5.3057,714.180000,715.330000
Img000054.jpg,5.4057,727.180000,728.830000
Img000055.jpg,5.5058,739.180000,740.330000
Img000056.jpg,5.6058,751.680000,752.830000
Img000057.jpg,5.7058,763.680000,765.330000
Img000058.jpg,5.8058,775.180000,777.330000
Img000059.jpg,5.9058,787.180000,790.330000
Img000060.jpg,6.0058,799.180000,802.330000
Img000061.jpg,6.1058,811.680000,814.330000
Img000062.jpg,6.2059,823.680000,826.330000
Img000063.jpg,6.3059,837.863099,839.576479
Img000064.jpg,6.4059,850.180000,851.830000
Img000065.jpg,6.5059,861.180000,863.830000
Img000066.jpg,6.6059,872.180000,875.830000
Img000067.jpg,6.7059,884.680000,888.330000
Img000068.jpg,6.8059,895.180000,899.330000
Img000069.jpg,6.9060,907.180000,910.830000
Img000070.jpg,7.0060,918.180000,921.830000
Img000071.jpg,7.1060,928.680000,934.330000
Img000072.jpg,7.2060,941.180000,946.330000
Img000073.jpg,7.3060,952.215211,956.351127
Img000074.jpg,7.4060,964.680000,969.830000
Img000075.jpg,7.5060,975.680000,981.830000
Img000076.jpg,7.6061,986.680000,992.830000
Img000077.jpg,7.7061,998.180000,1002.830000
Img000078.jpg,7.8061,1008.180000,1014.330000
Img000079.jpg,7.9061,1018.680000,1025.830000
Img000080.jpg,8.0061,1029.680000,1036.830000
Img000081.jpg,8.1061,1040.180000,1047.330000
Img000082.jpg,8.2061,1050.680000,1058.330000
Img000083.jpg,8.3062,1060.680000,1068.330000
Img000084.jpg,8.4062,1072.018028,1079.083521
Img000085.jpg,8.5062,1084.180000,1091.330000
Img000086.jpg,8.6062,1094.180000,1100.830000
Img000087.jpg,8.7062,1103.180000,1111.830000
Img000088.jpg,8.8062,1113.180000,1121.830000
Img000089.jpg,8.9062,1123.180000,1131.830000
Img000090.jpg,9.0063,1132.680000,1140.830000
Img000091.jpg,9.1063,1142.680000,1151.330000
Img000092.jpg,9.2063,1152.180000,1161.830000
Img000093.jpg,9.3063,1161.680000,1170.330000
Img000094.jpg,9.4063,1170.680000,1180.330000
Img000095.jpg,9.5063,1180.165915,1190.153944
Img000096.jpg,9.6063,1191.180000,1201.330000
Img000097.jpg,9.7064,1200.180000,1209.830000
Img000098.jpg,9.8064,1209.180000,1219.330000
Img000099.jpg,9.9064,1218.180000,1227.830000
Img000100.jpg,10.0064,1226.180000,1236.830000
Img000101.jpg,10.1064,1235.680000,1245.330000
Img000102.jpg,10.2064,1243.680000,1253.830000
Img000103.jpg,10.3064,1252.180000,1263.330000
Img000104.jpg,10.4065,1260.180000,1271.330000
Img000105.jpg,10.5065,1268.180000,1279.330000
Img000106.jpg,10.6065,1276.637746,1287.808873
Img000107.jpg,10.7065,1286.180000,1296.330000
Img000108.jpg,10.8065,1293.680000,1303.830000
Img000109.jpg,10.9065,1301.180000,1311.830000
Img000110.jpg,11.0065,1309.180000,1319.330000
Img000111.jpg,11.1065,1315.680000,1326.330000
Img000112.jpg,11.2066,1322.180000,1333.330000
Img000113.jpg,11.3066,1329.680000,1340.830000
Img000114.jpg,11.4066,1336.680000,1347.330000
Img000115.jpg,11.5066,1343.180000,1354.330000
Img000116.jpg,11.6066,1349.680000,1360.330000
Img000117.jpg,11.7066,1356.630704,1367.963803
Img000118.jpg,11.8066,1363.180000,1373.330000
Img000119.jpg,11.9067,1369.680000,1378.830000
Img000120.jpg,12.0067,1375.180000,1384.330000
Img000121.jpg,12.1067,1380.180000,1390.330000
Img000122.jpg,12.2067,1385.680000,1395.330000
Img000123.jpg,12.3067,1390.680000,1400.330000
Img000124.jpg,12.4067,1395.180000,1404.330000
Img000125.jpg,12.5067,1400.180000,1409.330000
Img000126.jpg,12.6068,1404.180000,1413.330000
Img000127.jpg,12.7068,1408.680000,1417.330000
Img000128.jpg,12.8068,1412.468732,1421.330000
Img000129.jpg,12.9068,1416.680000,1425.330000
Img000130.jpg,13.0068,1420.180000,1428.330000
Img000131.jpg,13.1068,1424.180000,1430.830000
Img000132.jpg,13.2068,1427.180000,1434.330000
Img000133.jpg,13.3069,1429.180000,1436.330000
Img000134.jpg,13.4069,1432.180000,1439.330000
Img000135.jpg,13.5069,1434.680000,1441.830000
Img000136.jpg,13.6069,1436.680000,1443.330000
Img000137.jpg,13.7069,1438.680000,1445.330000
Img000138.jpg,13.8069,1440.180000,1447.330000
Img000139.jpg,13.9069,1443.623662,1448.330000
Img000140.jpg,14.0070,1444.680000,1450.830000
Img000141.jpg,14.1070,1446.180000,1451.330000
Img000142.jpg,14.2070,1447.680000,1453.330000
Img000143.jpg,14.3070,1449.680000,1454.330000
Img000144.jpg,14.4070,1450.180000,1454.330000
Img000145.jpg,14.5070,1451.180000,1456.330000
Img000146.jpg,14.6070,1452.180000,1457.330000
Img000147.jpg,14.7071,1454.180000,1458.330000
Img000148.jpg,14.8071,1454.680000,1459.330000
Img000149.jpg,14.9071,1455.637746,1459.830000
Img000150.jpg,15.0071,1455.680000,1460.830000
Img000151.jpg,15.1071,1457.680000,1461.830000
Img000152.jpg,15.2071,1459.180000,1462.830000
Img000153.jpg,15.3071,1459.680000,1463.330000
Img000154.jpg,15.4072,1460.680000,1464.330000
Img000155.jpg,15.5072,1461.680000,1464.830000
Img000156.jpg,15.6072,1462.680000,1465.330000
Img000157.jpg,15.7072,1463.180000,1466.330000
Img000158.jpg,15.8072,1464.180000,1466.830000
Img000159.jpg,15.9072,1464.680000,1467.830000
Img000160.jpg,16.0072,1465.560282,1468.449718
Img000161.jpg,16.1073,1466.180000,1469.330000
Img000162.jpg,16.2073,1466.680000,1470.330000
Img000163.jpg,16.3073,1468.680000,1471.330000
Img000164.jpg,16.4073,1470.180000,1472.330000
Img000165.jpg,16.5073,1471.180000,1473.330000
Img000166.jpg,16.6073,1472.180000,1474.330000
Img000167.jpg,16.7073,1473.180000,1475.830000
Img000168.jpg,16.8074,1474.680000,1476.830000
Img000169.jpg,16.9074,1475.680000,1477.330000
Img000170.jpg,17.0074,1476.180000,1478.830000
Img000171.jpg,17.1074,1477.180000,1480.830000
Img000172.jpg,17.2074,1478.680000,1480.830000
Img000173.jpg,17.3074,1480.680000,1481.830000
Img000174.jpg,17.4074,1481.680000,1483.830000
Img000175.jpg,17.5075,1482.680000,1484.830000
Img000176.jpg,17.6075,1484.680000,1485.830000
Img000177.jpg,17.7075,1485.680000,1487.330000
Img000178.jpg,17.8075,1487.180000,1488.330000
Img000179.jpg,17.9075,1488.680000,1490.330000
Img000180.jpg,18.0075,1490.180000,1491.830000
Img000181.jpg,18.1075,1491.680000,1492.330000
Img000182.jpg,18.2075,1492.405352,1493.830000
Img000183.jpg,18.3076,1493.680000,1495.830000
Img000184.jpg,18.4076,1495.180000,1496.830000
Img000185.jpg,18.5076,1497.680000,1498.330000
Img000186.jpg,18.6076,1498.680000,1499.830000
Img000187.jpg,18.7076,1500.180000,1501.330000
Img000188.jpg,18.8076,1502.180000,1503.330000
Img000189.jpg,18.9076,1503.680000,1504.330000
Img000190.jpg,19.0077,1505.680000,1505.330000
Img000191.jpg,19.1077,1506.180000,1506.330000
Img000192.jpg,19.2077,1508.180000,1508.330000
Img000193.jpg,19.3077,1509.475775,1509.977887
Img000194.jpg,19.4077,1510.680000,1511.830000
Img000195.jpg,19.5077,1512.180000,1512.830000
Img000196.jpg,19.6077,1513.680000,1513.830000
Img000197.jpg,19.7078,1515.680000,1515.830000
Img000198.jpg,19.8078,1516.680000,1517.330000
Img000199.jpg,19.9078,1518.680000,1518.830000
Img000200.jpg,20.0078,1520.180000,1519.830000
Img000201.jpg,20.1078,1522.680000,1521.830000
Img000202.jpg,20.2078,1523.180000,1523.330000
Img000203.jpg,20.3078,1524.180000,1524.830000
Img000204.jpg,20.4079,1525.320845,1525.900423
Img000205.jpg,20.5079,1527.180000,1527.330000
Img000206.jpg,20.6079,1529.180000,1528.330000
Img000207.jpg,20.7079,1530.180000,1529.830000
Img000208.jpg,20.8079,1531.180000,1531.330000
Img000209.jpg,20.9079,1533.180000,1532.830000
Img000210.jpg,21.0079,1534.680000,1533.830000
Img000211.jpg,21.1080,1535.680000,1535.330000
Img000212.jpg,21.2080,1537.680000,1536.830000
Img000213.jpg,21.3080,1538.680000,1538.330000
Img000214.jpg,21.4080,1540.180000,1539.330000
Img000215.jpg,21.5080,1540.180000,1540.830000
Img000216.jpg,21.6080,1542.180000,1542.330000
Img000217.jpg,21.7080,1543.180000,1543.830000
Img000218.jpg,21.8081,1545.180000,1544.830000
Img000219.jpg,21.9081,1546.180000,1545.830000
Img000220.jpg,22.0081,1547.680000,1546.830000
Img000221.jpg,22.1081,1548.680000,1548.830000
Img000222.jpg,22.2081,1550.180000,1550.830000
Img000223.jpg,22.3081,1552.180000,1551.330000
Img000224.jpg,22.4081,1552.539155,1552.330000
Img000225.jpg,22.5082,1553.180000,1553.830000
Img000226.jpg,22.6082,1554.680000,1555.330000
Img000227.jpg,22.7082,1556.180000,1556.330000
Img000228.jpg,22.8082,1557.180000,1557.830000
Img000229.jpg,22.9082,1558.680000,1559.330000
Img000230.jpg,23.0082,1560.180000,1559.830000
Img000231.jpg,23.1082,1561.180000,1561.330000
Img000232.jpg,23.2083,1562.680000,1561.830000
Img000233.jpg,23.3083,1563.680000,1563.830000
Img000234.jpg,23.4083,1565.180000,1565.330000
Img000235.jpg,23.5083,1566.532113,1565.830000
Img000236.jpg,23.6083,1567.180000,1566.830000
Img000237.jpg,23.7083,1568.180000,1568.330000
Img000238.jpg,23.8083,1569.680000,1569.330000
Img000239.jpg,23.9084,1570.680000,1570.830000
Img000240.jpg,24.0084,1571.180000,1570.830000
Img000241.jpg,24.1084,1572.680000,1572.830000
Img000242.jpg,24.2084,1574.180000,1573.330000
Img000243.jpg,24.3084,1575.680000,1574.830000
Img000244.jpg,24.4084,1576.180000,1575.830000
Img000245.jpg,24.5084,1577.180000,1577.330000
Img000246.jpg,24.6085,1578.680000,1577.330000
Img000247.jpg,24.7085,1580.680000,1578.330000
Img000248.jpg,24.8085,1580.680000,1579.330000
Img000249.jpg,24.9085,1581.680000,1580.330000
Img000250.jpg,25.0085,1582.680000,1581.830000
Img000251.jpg,25.1085,1583.680000,1582.330000
Img000252.jpg,25.2085,1584.680000,1582.830000
Img000253.jpg,25.3085,1586.180000,1583.830000
Img000254.jpg,25.4086,1586.680000,1585.330000
Img000255.jpg,25.5086,1588.180000,1585.830000
Img000256.jpg,25.6086,1589.180000,1585.830000
Img000257.jpg,25.7086,1590.180000,1587.132817
Img000258.jpg,25.8086,1591.180000,1588.330000
Img000259.jpg,25.9086,1592.180000,1589.330000
Img000260.jpg,26.0086,1593.180000,1589.330000
Img000261.jpg,26.1087,1593.180000,1590.330000
Img000262.jpg,26.2087,1594.680000,1591.330000
Img000263.jpg,26.3087,1594.680000,1591.830000
Img000264.jpg,26.4087,1595.680000,1592.830000
Img000265.jpg,26.5087,1596.680000,1592.830000
Img000266.jpg,26.6087,1596.680000,1593.830000
Img000267.jpg,26.7087,1598.180000,1594.830000
Img000268.jpg,26.8088,1599.560282,1595.830000
Img000269.jpg,26.9088,1600.180000,1595.830000
Img000270.jpg,27.0088,1600.180000,1596.330000
Img000271.jpg,27.1088,1601.180000,1596.830000
Img000272.jpg,27.2088,1602.180000,1597.830000
Img000273.jpg,27.3088,1602.180000,1598.330000
Img000274.jpg,27.4088,1602.680000,1599.330000
Img000275.jpg,27.5089,1602.680000,1599.830000
Img000276.jpg,27.6089,1603.680000,1600.830000
Img000277.jpg,27.7089,1604.680000,1600.830000
Img000278.jpg,27.8089,1605.680000,1600.830000
Img000279.jpg,27.9089,1606.180000,1602.287746
Img000280.jpg,28.0089,1607.180000,1602.830000
Img000281.jpg,28.1089,1607.680000,1602.330000
Img000282.jpg,28.2090,1607.680000,1602.830000
Img000283.jpg,28.3090,1607.180000,1603.830000
Img000284.jpg,28.4090,1608.180000,1603.330000
Img000285.jpg,28.5090,228.680000,187.330000
