照片,时间/s,X向力/N,Y向力/N
Img000003.jpg,0.0500,0.000000,0.000000
Img000004.jpg,0.0703,293.950000,285.950000
Img000005.jpg,0.0905,420.950000,415.950000
Img000006.jpg,0.1108,680.450000,666.950000
Img000007.jpg,0.1311,941.950000,917.950000
Img000008.jpg,0.1514,1186.950000,1157.450000
Img000009.jpg,0.1716,1409.950000,1379.450000
Img000010.jpg,0.1919,1607.450000,1569.950000
Img000011.jpg,0.2122,1698.586364,1658.313636
Img000012.jpg,0.2325,1634.450000,1589.450000
Img000013.jpg,0.2527,943.950000,889.450000
Img000014.jpg,0.2730,190.950000,159.450000
